init_top20,ori_top20
-9.600000381469728,-9.4
-9.399999618530272,-9.4
-9.399999618530272,-9.3
-9.199999809265137,-9.3
-8.899999618530273,-9.1
-8.899999618530273,-9.1
-8.899999618530273,-9.0
-8.899999618530273,-9.0
-8.899999618530273,-8.9
-8.899999618530273,-8.7
-8.899999618530273,-8.6
-8.899999618530273,-8.5
-8.800000190734863,-8.5
-8.800000190734863,-8.5
-8.699999809265137,-8.5
-8.699999809265137,-8.4
-8.600000381469727,-8.2
-8.600000381469727,-8.2
-8.600000381469727,-8.2
-8.600000381469727,-8.2
