0,1,2,3,4
N=C(N)c1ccc2c(c1)=CC(c1cccc(C3(O)CCCCC3)n1)N=2,C1=NC(N)C1c1ccc2c(c1)CC(c1cccc(C3(O)CCCCC3)C1)n1C2=N1,C1=NC=NC2=C1c1ccc(cc1)C2=C1c1cccc(c1)C3(O)CCCCC3N1,C1=NC(=N)C1c1ccc2c(c1)CC(c1cccc(C3(O)CCCCC3)N1)C2=N1,C1=NC(N)c1cccc2c1cccc1CC(C3(O)CCCCC3)c2N=1
C1CCC2CC(=O)C(C(=O)O)C2=C(C(C(C1)C)C1OC(=O)C2=C(C(O)C(C(O)C2)Cl)C(C)C1)C,C1CCC(=O)C(C(=O)O)C1=CC(=O)C1C(=O)C2=CC(=O)C(C(=O)C3=C(C(=O)C4=C(C(=O)C5=C(C(=O)C(C(=O)C1=CC(=O)C1=CC(=O)C1,C1CCC1C(=O)C(C(=O)O)C1CCCC1/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1,C1=CC=CC(C(=O)O)C1C(C(=O)O)C1=CC=CC(=O)C1(O)C(=O)C1(O)C(=O)C1(Cl)C(=O)C1(O)C(=O)C1C(=O)C1(O)C(=O)C1C(=,C1CCC2CC(C(C(=O)O)C1)C(=O)C3=C(C(C(=O)O)C2)C(O)C(O)C3Cl
C1=COc(cc1C(=O)O)C(=O)O,C1=COc(cc1C(=O)O)C(=O)O,C1=COc(ccc1C(=O)O)C(=O)O,O=C(O)c1ccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)c1
CC(=O)Nc1ccc(cc1)Nc2ccc(cc2)C(=O)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C,C1CC(C)C2CC(C(C(=O)N)C(=O)N)C(=O)C(=O)C(C)C(=O)C(C)C(=O)C(C)C(=O)C(C)C(=O)C(C)C(=O)C(C)C(=O)C(C)C(=O)C(C,CC(=O)Nc1ccc(cc1)C(=O)Nc2ccc(cc2)C(C)C(=O)Nc3ccc(cc3)C(C)C(=O)Nc4ccc(cc4)C(C)C,C1CCC1C(=O)Nc2ccc(cc2)C(=O)Nc3ccc(cc3)C(C)COC(=O)Nc4ccc(cc4)C(C)C,CC(=O)N1C2CC(C(C(C(C(C2)C)C)C)C)C3=CC(=O)N(C(C(C(C3)C)C)C)C4=CC(=O)N(C(C(C(C4)C)C)C)C1O
C1=CC=CC2=C1C(=O)N(C1=CC=CC=C1)C1=CC=CC=C1C(F)(F)F C1=CC=C(C=C1)C1=CC=NC=C1C1=CC=CC=C1C1=CC=CC=C1N1C=CC=CC=C1,COc1cn(c2c(ccc(C(F)(F)F)c2)nc2ccccc2-c2ccccc2)n1c1ccc(cc1)c1ccc(cc1)O,CC(=O)c1c(cc2c(ccc2)C(F)(F)F)nc1c2ccccc2Nc1ccc(cc1)Nc1cccc2c(ccc2)c1=O,CC1=CC=CC2=C1C(=O)C3=C(C(=O)N3)C4=C(C=C(C(=C4C5=C(C(=C(C(=C5C6=C(C(=C(C(=C6C7=CC(=C(C(=C7C8=CC(=C(C(=C8C9=C(C(=C(C(=,CC(=O)C1C(C(C(C(C1=O)C2=C(C=CC(=C2)C(F)(F)F)C3=CC=CC=C3)N1C(C(C(C(C1=O)C2=CC=CC=C2)N3C(C(C(C(C3=O)C4=CC=CC=C4
C1=NC2=C(N)C1c1ccc2c2c3c(ccc3)C1(C3(O)CCCCC3)N1C1=2,C1=NC=NC2=C1c1ccccc1C2=C1c1ccccc1C1(C(C(O)CCCCC1)N)N=2,C1=NC(N)c1cccc2c1=CCc1cccc(C3(O)CCCCC3)c1N=2,N=C(N)c1ccc2c(c1)CC(c1cccc(C3(O)CCCCC3)n1)N=2,C1=NC=NC2=C1c1ccc(cc1)c2c1ccc2c(c1)CC(=C1C3(O)CCCCC3)N1=2
COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,C1=NC=NC2=C1c1ccc2c2=C(C1)C(C1=O)C1=CC=C(C(C1)N=2)C1=CC=CC=C1N2,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,C1CC1CCC1C2C(C(C3C4C(C5C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C
C1=NC=NC2=1c1ccc2c(c1)=CC(c1cccc(C3(C)CCCCC3)n1)N=2,C1=NC=CC(C1)c1ccc2c(c1)CC(c1cccc(C3(O)CCCCC3)n1)N=2,C1=NC=NC2=C1c1ccccc1C2=C1c1cccc(C3C(O)CCCCC3)c1n2N=1,C1=NC=NC2=C1c1ccccc1C2(C1(O)CCCCC1)N1C=CC=C2C1=CC=CC1N2,C1=NC=NC2=C1c1ccccc1C2=CC3=C(C4=CC=CC=C4)C5(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C
C1CCCNc2ccc(cc2)Nc1c2ccc(cc2)Nc1ccc(cc1)Nc1ccc(cc1)Nc1ccc(cc1)Nc1ccc(cc1)Nc1ccc(cc1)S1,C1CCc2c1ccc3c2Nc4c3nc(Nc5c4ccc6c5Nc7c6c(ccc7)N)cc5n5,C1c2c(ccc1Nc3c(cc(Nc4ccc(cc4)C3)C2)C2c3ccc(cc3C2)C2c1ccc(cc1C2)C2)C1c2ccc(cc2C1)C1c2ccc(cc2C1)C2c3ccc(cc3C2)C,C1CCCNc2cc(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,C1CCNc2c(ccc2Nc2ccc(cc2)N3CCCNC3)Nc2c(cc3cnn3c4cn(C)c4)n3cnn23)S1
C1CCNc2cc(C3CCN(C(C)C)CC3)Nc3c(c4cn(C)c4)nn23S1,C1CCNc2c3ccc(cc3)Nc2c1CCNc2ccc(cc2)Nc2cc3ncc(C)c3n2CCN2CCN(C)C3CCNc4ccc(cc4)n3C2CCN(C)C3CCNc4ccc(cc4)n3C2CCN(C)C3,C1CCNc2cc(C(C3CCCNC3)Nc3c(c4cnn(C)c4)nn23)cc1c3cccnc3S,C1c2cc(Nc3cc(C(C)C)nc3c3c(cc2c3[nH]c3c(ccc3N)N)N)cc3n1,C1CCc2c3c(cc2Nc1c(cc(C)N3)Nc1ccc(cc1)N)Nc1ccc(cc1)N
C1CC1OC1c2ccccc2-c3c2ccccc2c3n3c2ccccc2n3c2ccc3c(N)cc(N)c3c2=O,COCc1cccc(c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1
N=C(N)c1ccc2c(c1)CC(c1cccc(C3(O)CCCCC3)n1)N=2,N=C(N)c1ccc2c(c1)CC(C1(O)CCCCC1)c1cccc(N2)c1N=2,C1=NC=CC=C1c1ccc2c(c1)CC(C1(O)CCCCC1)C2=CC1=NC=CC=C1N,C1=NC(N)C2=C1C=CC3=C2C1=CC=C(C2=C1C=CC(=C1C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,C1=NC=NC2=C1c1ccc(cc1)C2(C1=CC=CC=C1)N(C1=CC=CC=C1)C3(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C
O=C(O)c1ccc(C(=O)O)c1,C1=COc(cc1C(=O)O)C(=O)O,C1=COc2ccccc2C(=O)O1,O=C(O)c1ccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)c1
C1=CC(=O)Nc2ccc(Nc3ccc(cc3)Nc4ccc(cc4)C5CCCC5)cc2CC1C1(O)CCCCC1,C1[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,C1CCNc1ccc(cc1)C(=C1c2ccc(cc2)cc2cc3c(cc2)nc3)C1(C(C(C(C(C(C1O)C)C)C)C)C),C1CCC1c1ccc(cc1)Nc1ccccc1C(=C1)c2ccc(cc2)c1ccc1C(C(C)C)C(=O)C1CCCCC1,C1CCC1C1=CC=CC2=C1C(=O)Nc3ccc(cc3)N1C(=C(C)C)C1(O)CC2CC1c3ccc(cc3)nc3ccccc3C1
C1CCC2[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,C1CC[C@]12CCc3c(ccc4cc(O)ccc34)[C@H]1CCC2=O,C1CC[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,C1CCC2[C@H]1CCc3c(ccc4cc(O)ccc34)C[C@@H]2CCC1=O,C1CC[C@H]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O
COCc1cccc(c2c(c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,C1COC1c1cccc(c1-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COC1c2cccc(c2-c3c(ccc3n3c(cc3c4ccc(cc4)c3)C)n3c(cc3c4ccccc4)c3)n3c(cc3c4ccc(cc4)c3)C)c1=O,COCc1cccc(c2c(c3ccc4nccnc4c3)n(C)n(C)c2=O)c1
COCc1cccc(c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COc1ccc(NC2=NCc3cccc(-c4cnn(C)c4)c3C2)c(OC)c1
C1CCc1c2c(ccc2Nc2ccc(cc3)Nc3c(ccc3Nc3c(ccc3Nc3ccc(cc4)Nc4c(ccc4Nc4ccc(cc5)Nc5c(ccc5Nc5c(ccc5Nc5ccc(cc6)Nc6c(ccc,C1CCc2cc(Nc3cc(C(C)C)nc3c3c(ccc3N)nc3c(ccc3N)C3)nc2s1,C1CCc2c3c(ccc3n2)Nc2ccc(cc2)Nc2ccc(cc2)Nc2ccc(cc2)Nc2ccc(cc2)Nc2ccc(cc2)Nc2ccc(cc2)Nc2ccc(cc2)Nc2ccc(cc2)Nc2ccc(cc2)Nc2,C1CCc2cc(Nc3cc([C@H]4CCCNC4)nc3c3c(ccc3n2)nn2c5cnn(C)c5)sn1,C1CCc1c2c(cc3c2Nc2cc(C(C)C)Nc2c3)Nc2cc(C(C)C)Nc2c3s3c1c4cnn(C)c4c3n2
Nc1cccnc1C=C1c2ccc(-c3cccnc3)cc2CC1C1(O)CCCCC1,O=C1c2c(ccc3c(cc2C1)C(F)C3)C1c(ccc2c(cc1C)C2)C(O)c2nccc1c2n1c3c(cc2C)C1CCC2nccc1c2n2,O=C1C2=CC(=O)C3=CC=CC(=C3)C2N=CC(=O)N1C4CCCCC4N1C5=CC=CC2=C5C6=CC=CC=C6N2,O=c1c2cc(-c3ccc(F)cc3)cc(O)c2ncn1C1CCCCCn1ccc2cnccc21,Nc1cccnc1C=C1c2ccc(cc3cccnc3)cc2CC1C1(O)CCCCC1
COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1
C1=CC(=O)OCC(C(=O)O)c2c(O)c(O)c(Cl)c2C1,C1CCC(=O)C(C(C)C)C1/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1,C1CCC2=CC=CC2OC(=O)C1C3=CC(=O)C(C(Cl)C3)C4=C(C(C(C(O4)C)C)C)O,O=C1CCCCC/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1,C1CCC(=O)C1CCC(=O)/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1
C1CCC(=O)C(C(C(=O)O)C1)C2=CC(=O)C(C(C(=O)c3ccc(O)c(O)c3Cl)C2)C,O=C1CCCCC/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1,C1=CC(=O)C(C(C(C(C(C(C1)C)O)C(=O)C2=CC(=O)C3=C(C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=,C1CCCOC(=O)c2c(O)c(Cl)c(O)c2C1C(=O)C1CCCCC/C=C/CCOC(=O)c2c(O)c(Cl)c(O)c2C1,C1=CC(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C
C1CCC(=O)Nc1ccc(cc1)C(=O)C1CCC1(C2C3C(C(C(C(C2)C)C)C)C3)C2C1(C(C(C(C(C2)C)C)C)C)C(=O)O,Nc1cccnc1C=C1c2ccc(cc3cccnc3)cc2CC1C1(O)CCCCC1,Nc1ccc(cc2cc3ccc(cc3n2)C1)C(=C1C2C3CCC(C(C(C(C(C3)C2)C)C)O)C1)C,C1CCC(=O)OCC(=O)C2=C(C(=O)C(=O)c3c(O)ccc(O)c3C)C(=O)C(=O)C1(C(=O)C(=O)c4c(O)ccc(O)c4Cl)C2,C1CCC1=C/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1
C1CCC1C1=CC=CC=C1N1C=CC=CC2=CC=CC=C2N1C1CCCCC1OC1CCCCC1,C1CCC(=O)C(C(=O)O)C1CCC(=O)C1CC2=C(C(=O)c3ccc(O)c(O)c3C(Cl)C2)C1,C1CCC(=O)C(C1)C(C(=O)O)C(C(=O)O)c2c(O)cc(O)c(Cl)c2C1,C1CCC2=CC=CC2OC(=O)C3=CC(=O)C(C(Cl)C(C(O)C3)C1)C,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O
C1CCC2CC3CC(C(N2)C2CCCCC2OC2CCCCC2)C3C1(C2CCC2)C1CCC2CC3CC(C(N2)C2CCCCC2OC2CCCCC2)C3C1,C1CCC2CCC3C1CCC4C2CCC5C3CCC6C4CCC7C5CCC8C6CCC9C7CCC1C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,c1ccc(cc2ccccc2c3ccccc3n2c2ccccc2C2CCCCC2OC2CCCCC2)c(C2CCC2)c1,C1CCC2CCC3C1(N2C4CCCC4C5CCCC5OC5CCCC5)C(C6CCC6)C3,C1CCC(N2CC3=CC=CC3N2C2CCCCC2OC2CCCCC2)C(C2CCC2)C1
C1CCC(=O)C1CCC(=O)C1CCC(=O)C1C(=O)C1CCC(=O)C1C(=O)C1C(=O)C1CCC(=O)C1C(=O)C1CCC(=O)C1C(=O)C1CCC(=O)C1C(=O)C1,C1CCCOC(=O)C2=CC(=O)C(C(=O)C(C(=O)C1)C(Cl)C2)C,C1CCC(=O)C(C(C(C(C(C1)C(=O)O)C(=O)C2=CC(=O)C3=C(C(=O)C(=O)C2)C(=O)C(=O)C3)C)Cl)C)C,C1CCC(=O)C1CC(=O)Oc2c(O)cc(O)c(Cl)c2C1,C1CCC(=O)C2CCC(=O)C(C(=O)O)C1(C)C(=O)C3=CC(=O)C2=CC(=O)C(C)C3=O
C1c2ccc(cc2)nc1C(=C1c2ccc(cc2)nc2ccc(cc2)C1(C)CCCC1)C1OC1,C1CCC1C1=CC=CC=C1N1CC=CC=C1C1=CC=CC=C1C1CCC1C1(C(C(C)C)C)C1OC1,C1CC1CC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC(=O)C1=CC=C(C=C1)C1CC(=O)C1=CC=C(C=C1)C1CC1,Nc1cccnc1C=C1c2ccc(cc3cccnc3)c2CC1C1(O)CCCCC1,C1c2ccc(cc2)Nc1c1ccc(cc1)C(=C1c2ccc(cc2)Nc1c(cc(C(C(C)C)C)C(O)C1)C1CCCCC1)C1CC1
Nc1cccnc1C=C1c2ccc(-c3cccnc3)cc2CC1C1(O)CCCCC1,Nc1cccnc1C=C1c2ccc(-c3cccnc3)cc2CC1C1(O)CCCCC1,C1CCC1C(=O)C1CC2C3C(C4C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,C1CCC2C(C1)C1=CC=CC=C1C1=CC=CC=C1C1(N)C(C1)C1(N)C(C1)C1(C)C(C)C1(C)C(C)C1(C)C(C)C1(C)C(C)C1(C)C(C)C1(C)C,C1CCC(=O)C2CC(C(=O)O)C(C(=O)O)C(C)C(C)C(C)c3ccc(O)c(Cl)c3C1C2
C1CCC2CCC1CC(=O)C2=CC(=O)C1C(=O)C2(O)C(C(=O)C2C(=O)C(O)C(Cl)C2)C1,C1CCC(O)C2CCCC2C2CCCC2N2C3CCCC2(C(C3)CC4C2CCCC2)C(C4)CC1,C1CCC(C(C2CCC(C3C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,C1CCC(C(C1)C2CCC2OC3CCCC3C3CCCC3N3C4CCCC4(C(C3)CC4C2CCC2)C2CCC2)C1,C1CCC(OC2CCCC2C2CCCC2N2C3CCCC24C(CC3)CC4C2CCC2)C1
C1CCC2(C(=O)C(C(C(=O)O)C1)C(C(C(=O)C2)C(=O)O)C)C3C(C(Cl)C(C(C(=O)C3)O)O)C,C1CCC(=O)C(C(C(C(C1)C)C(=O)O)C(=O)C2C(O)C3=CC=CC=C3C2)Cl,C1CCC(=O)C1CC(=O)C1C(C(C(O)C(C(=O)C1)Cl)C(C)C)C1C2C(O)C(O)C(C(Cl)C2)C1,C1CCC1C(=O)Nc1ccc(cc1)C(=C1)c2ccc(cc2)cc1Nc1ccc(cc1)C1CCCO1,C1c2ccc(cc2)Nc1c1ccc(cc1)C(=C1c2ccc(cc2)c3cccnc3)c2ccc(cc2)C1CCCO1
O=C1CCCCC/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1,C1CCC(C(=O)O)CC1=C(C(=O)C1C(C(C(C(C(C1)O)O)O)C(C(C(C(C1)O)O)C(C(C(C(C1)O)Cl)O))C(C(C(C(C1)O)Cl))C(C(C(C(C1)O)Cl))C(C,C1=CC=CC1CC(=O)Oc2c(O)cc(O)c(Cl)c2C1,C1CCC2CCC1CC(=O)C2=C/CCOC(=O)C1C(=O)C2(O)C(C)c(O)c2C(Cl)C1,C1CCCOC(=O)C2=C(C(=O)C(C(=O)C1)C(C(=O)C2(Cl)C3=CC=CC=C3)C)C
