model_name,q_name,q_bit,rank,scale_mode,seed,perplexity,hella,wino_res,boolq_res,mmlu_res,bbh_res
google_gemma-2-2b,mxint,3,64,cholesky,42,18.25,65.86,63.38,72.29,33.47,30.37
google_gemma-2-2b,mxint,3,64,cholesky,1234,18.34,65.95,63.61,72.84,33.52,30.78
google_gemma-2-2b,mxint,3,64,cholesky,4321,18.30,65.98,63.85,71.96,33.71,30.59
meta-llama_Llama-3.1-8B,mxint,3,64,cholesky,42,10.79,71.95,68.67,75.93,49.88,31.84
meta-llama_Llama-3.1-8B,mxint,3,64,cholesky,1234,10.77,72.45,68.98,77.03,49.81,31.85
meta-llama_Llama-3.1-8B,mxint,3,64,cholesky,4321,10.79,71.88,69.38,77.34,48.83,31.65
TinyLlama_TinyLlama_v1.1,mxint,3,64,cholesky,42,18.75,55.75,58.88,60.95,25.27,29.78
TinyLlama_TinyLlama_v1.1,mxint,3,64,cholesky,1234,18.66,55.89,59.04,61.04,25.01,29.91
TinyLlama_TinyLlama_v1.1,mxint,3,64,cholesky,4321,18.73,55.95,57.70,59.94,25.01,29.74
meta-llama_Llama-2-7b-hf,mxint,3,64,cholesky,42,10.59,72.17,68.43,73.09,35.39,30.37
meta-llama_Llama-2-7b-hf,mxint,3,64,cholesky,1234,10.59,72.20,68.67,72.91,35.39,29.55
meta-llama_Llama-2-7b-hf,mxint,3,64,cholesky,4321,10.58,72.06,68.43,73.33,35.01,30.44
meta-llama_Llama-2-13b-hf,mxint,3,64,cholesky,42,8.91,75.91,68.67,75.93,47.13,32.31
meta-llama_Llama-2-13b-hf,mxint,3,64,cholesky,1234,8.90,76.03,69.22,75.93,46.88,31.68
meta-llama_Llama-2-13b-hf,mxint,3,64,cholesky,4321,8.90,75.90,69.61,75.72,47.06,32.03
