family,algorithm,prop1_mean,prop1_se,welfare_mean,welfare_se,trials
correlated,Alg. 1,1.000000,0.000000,0.905089,0.000738,500
correlated,Greedy-1,0.729674,0.009559,0.965415,0.000604,500
correlated,Greedy-2,1.000000,0.000000,0.746283,0.001391,500
correlated,Greedy-3,1.000000,0.000000,0.769560,0.001461,500
dense,Alg. 1,1.000000,0.000000,0.959786,0.000362,500
dense,Greedy-1,0.422569,0.007223,0.954182,0.000423,500
dense,Greedy-2,0.999932,0.000068,0.676692,0.003642,500
dense,Greedy-3,1.000000,0.000000,0.746859,0.002724,500
specialist,Alg. 1,1.000000,0.000000,0.780770,0.001156,500
specialist,Greedy-1,0.976694,0.005119,0.966545,0.000850,500
specialist,Greedy-2,1.000000,0.000000,0.299923,0.003445,500
specialist,Greedy-3,1.000000,0.000000,0.400142,0.003674,500
uniform,Alg. 1,1.000000,0.000000,0.892475,0.000920,500
uniform,Greedy-1,0.775225,0.010092,0.945829,0.000875,500
uniform,Greedy-2,1.000000,0.000000,0.639248,0.002268,500
uniform,Greedy-3,1.000000,0.000000,0.711017,0.001832,500
