epoch,train_loss,test_loss,train_acc,test_acc,test_balanced_acc,test_worst_acc,kappa,seed
1,1.7316603288776216,2.7856487548828124,0.4626012386850881,0.2205,0.22049999999999997,0.0,,123
2,1.077840674504678,2.2074791870117187,0.6237891059234556,0.2886,0.2886,0.0,,123
3,1.0226795947114418,2.0195859252929687,0.6391932666349055,0.3434,0.34340000000000004,0.0,,123
4,1.1054338949226814,1.9783399597167968,0.6332380498650151,0.3661,0.3661,0.0,,123
5,4.576964877026411,6.948096118164062,0.39010639987295537,0.1933,0.19329999999999997,0.0,96.27217830911621,123
6,1.0516114061515218,2.234785968017578,0.6565030967127203,0.3064,0.3064,0.0,41.55665792958456,123
7,0.8386208017951101,1.9433871215820313,0.7129585516912815,0.3508,0.35079999999999995,0.0,30.576106912682704,123
8,0.9967388209415198,1.965113201904297,0.6590439892012069,0.4065,0.4065,0.0,15.695124671698803,123
9,1.1273188440311668,1.8395705017089843,0.6260123868508813,0.45,0.45,0.0,9.252277700461741,123
10,0.807580441127642,1.7325684814453124,0.7175639193266635,0.4428,0.44279999999999997,0.016,24.526105362201204,123
11,0.6538975868449242,1.5112872772216797,0.772987136731777,0.493,0.493,0.071,19.539832046954402,123
12,0.7203270129330559,1.768385919189453,0.7535334286168016,0.4718,0.4717999999999999,0.002,22.04293256442177,123
13,0.6437099763319873,1.7001354736328125,0.7733841511831031,0.4949,0.49490000000000006,0.019,28.414633138041463,123
14,0.7872568333889163,1.8215398498535156,0.7501191043353979,0.4844,0.48439999999999994,0.173,23.768102942529776,123
15,0.5000023691166161,1.8256447875976562,0.8256312529776084,0.4709,0.4709,0.068,39.00740699287292,123
16,0.8173637286015535,1.8064808349609376,0.7246307765602668,0.4993,0.49930000000000013,0.073,28.470220526191582,123
17,0.5597597721627502,1.2968440795898437,0.7981578529458472,0.5969,0.5969,0.264,16.610661929659088,123
18,0.4501072459700222,1.496676483154297,0.8432586946164841,0.5662,0.5662,0.138,27.028729014931976,123
19,0.857608551636033,1.954489990234375,0.759488645386692,0.5087,0.5086999999999999,0.1,90.94563383593106,123
20,0.5741301010729151,1.686470114135742,0.8091154518024456,0.542,0.542,0.15,13.204567794193387,123
21,0.608878953051374,1.912438525390625,0.7931554708591393,0.5213,0.5213,0.141,16.351605736132537,123
22,0.2383201357408499,1.694371435546875,0.9184532316976338,0.5754,0.5753999999999999,0.068,11.18621716424348,123
23,1.2013712797124025,4.1845506591796875,0.7148642210576465,0.3775,0.37750000000000006,0.007,86.20292624796387,123
24,0.3360801637409338,1.6272774841308593,0.8835953628712085,0.6023,0.6023000000000001,0.181,18.99679407575788,123
25,0.623213028555657,2.0032629272460936,0.8411148165793235,0.5819,0.5819,0.218,84.80325373359257,123
26,0.2895225858393029,2.103919445800781,0.9002699698269017,0.5728,0.5728,0.127,34.74305244518184,123
27,0.10086864841652614,2.156198254394531,0.9653009369541051,0.5662,0.5662,0.024,25.127082434153888,123
28,1.276419385153092,2.6270227966308592,0.701921549944418,0.5087,0.5087,0.161,33.79775137727147,123
29,0.18056459504118869,2.504851770019531,0.9402890265205653,0.5255,0.5255,0.043,45.66563594600233,123
30,0.2955168331518464,2.1290310791015625,0.900746387168493,0.554,0.5539999999999999,0.112,8.78298619250007,123
31,0.07585358536392994,1.5832349365234375,0.977608384945212,0.6247,0.6247,0.345,0.14792535550083266,123
32,0.053432708811112506,1.6388577514648437,0.9846752421788153,0.6172,0.6172,0.275,0.014061054575014774,123
33,0.052403140374738415,1.617809747314453,0.9853898681912021,0.6204,0.6204,0.295,0.012319465788698315,123
34,0.0527499322571678,1.6071064025878907,0.9849928537398761,0.6227,0.6227,0.301,0.014245529332951937,123
35,0.05139535435498925,1.6070893493652343,0.9855486739717326,0.6229,0.6229,0.295,0.00587798648623352,123
36,0.0505835816503158,1.6012984802246093,0.9858662855327934,0.6237,0.6237,0.303,0.004291140452253305,123
37,0.04895451369125805,1.5973581665039063,0.986898523106241,0.6244,0.6244000000000001,0.304,-0.0009613645661996523,123
38,0.048854284481868224,1.5888062347412109,0.9868191202159758,0.6258,0.6258,0.306,-0.0016164316925756411,123
39,0.04803575465314555,1.5926603790283202,0.987295537557567,0.6243,0.6243,0.31,-0.0030149322504454544,123
40,0.04728502914491714,1.5809992248535156,0.9876925520088932,0.6271,0.6270999999999999,0.318,-0.006706337675205509,123
41,0.046796462527149835,1.5801040466308593,0.988010163569954,0.6279,0.6278999999999999,0.313,-0.010035420793203893,123
42,0.046790012920283314,1.5716800506591797,0.9880895664602192,0.6278,0.6278,0.32,-0.006793769672499757,123
43,0.045621550989961256,1.5688451202392577,0.9886453866920756,0.6296,0.6296000000000002,0.32,-0.014631678873140756,123
44,0.04471073817767585,1.5743775421142578,0.9889629982531364,0.6287,0.6287,0.322,-0.017560860559696422,123
45,0.04500918644315499,1.5714063018798827,0.989201206923932,0.6296,0.6296000000000002,0.32,-0.016516260849054082,123
46,0.04472128819033553,1.5663311462402343,0.988804192472606,0.6301,0.6301,0.32,-0.015898454497255667,123
47,0.04380547237411385,1.5664746337890625,0.9894394155947277,0.6317,0.6317000000000002,0.323,-0.02287096399098167,123
48,0.04305789620985734,1.5607537475585938,0.9899158329363189,0.6312,0.6312,0.328,-0.022820455405391706,123
49,0.042523291672489576,1.5578731323242188,0.9899952358265841,0.6323,0.6323000000000001,0.338,-0.026805008712161637,123
50,0.04229701725816053,1.5558660095214845,0.9903128473876449,0.6316,0.6315999999999999,0.33,-0.02604973436010379,123
51,0.04269573217879331,1.5582121978759766,0.9897570271557885,0.6311,0.6311,0.328,-0.02403782476987849,123
52,0.04248731867442041,1.5586382080078125,0.9899952358265841,0.6316,0.6315999999999999,0.327,-0.02105189335239402,123
53,0.041917863376030415,1.5575230926513672,0.9902334444973797,0.6316,0.6316,0.331,-0.022668101884569435,123
54,0.041761490699316145,1.5483274993896485,0.9903128473876449,0.6333,0.6333,0.337,-0.027733150077795744,123
55,0.04168615743283603,1.55282109375,0.9904716531681753,0.6323,0.6323000000000001,0.332,-0.030048942947569306,123
56,0.041278646808967756,1.550572219848633,0.9907892647292361,0.6323,0.6323000000000001,0.331,-0.02776793436670661,123
57,0.04137102035902901,1.5491172149658203,0.9906304589487057,0.6335,0.6335,0.336,-0.031049278762417178,123
58,0.04098385236406016,1.5359081237792969,0.9908686676195013,0.6359,0.6359000000000001,0.344,-0.032770885383170904,123
59,0.040786025636590284,1.535410708618164,0.9911068762902969,0.6353,0.6353000000000001,0.344,-0.03221358897273091,123
60,0.040802928764176065,1.5475227600097656,0.9911862791805621,0.6335,0.6335,0.333,-0.03164075060978559,123
61,0.04087678776935337,1.549950518798828,0.9910274734000317,0.6329,0.6329,0.333,-0.031451899519966645,123
62,0.04027390237723113,1.5449294860839844,0.9913450849610926,0.6341,0.6341,0.335,-0.03151963262318658,123
63,0.04045420914429302,1.5462751953125,0.9910274734000317,0.6349,0.6348999999999999,0.34,-0.03206217410261158,123
64,0.039807047979479954,1.541662811279297,0.9915832936318882,0.6342,0.6342,0.34,-0.03924429074921458,123
65,0.04003315424756321,1.5363570190429687,0.9915832936318882,0.6351,0.6351,0.344,-0.03367993227685866,123
66,0.03997578510352879,1.5413308349609376,0.9914244878513578,0.635,0.635,0.342,-0.03303061623802058,123
67,0.0395042244282832,1.5383117248535156,0.991503890741623,0.6358,0.6358,0.344,-0.03577218794471006,123
68,0.039430139934484666,1.5296530883789063,0.991503890741623,0.6372,0.6372,0.345,-0.037988402152260146,123
69,0.03954367594471314,1.5365848510742188,0.9912656820708273,0.6355,0.6355000000000001,0.344,-0.03913536737292315,123
70,0.03954412574822588,1.5381404357910156,0.9913450849610926,0.6363,0.6363000000000001,0.346,-0.034516492918434005,123
71,0.038893315230586596,1.5377497009277343,0.9918215023026838,0.6361,0.6361,0.34,-0.04125034990109091,123
72,0.039214869728348874,1.5305817626953124,0.9917420994124186,0.6375,0.6375000000000001,0.344,-0.03915421573617724,123
73,0.03915923431560655,1.5379615966796876,0.991503890741623,0.6358,0.6357999999999999,0.343,-0.03793819610719637,123
74,0.03883441800406306,1.5348602813720704,0.9916626965221534,0.6356,0.6355999999999999,0.344,-0.04305834867113791,123
75,0.03868427306143882,1.5277895233154297,0.9917420994124186,0.6381,0.6381,0.347,-0.03954702655338453,123
