class_id,class_name,train_count,test_count,irs_correct,irs_acc,irs_loss
0,airplane,4500,1000,965,0.965,0.10199331939220428
1,automobile,2913,1000,987,0.987,0.05870550749078393
2,bird,1886,1000,875,0.875,0.5284249801635742
3,cat,1221,1000,810,0.81,0.8261069755554199
4,deer,790,1000,859,0.859,0.7301092176437378
5,dog,511,1000,655,0.655,1.6927445793151856
6,frog,331,1000,789,0.789,1.1447115421295166
7,horse,214,1000,662,0.662,1.812409511566162
8,ship,138,1000,613,0.613,2.3471674118041994
9,truck,90,1000,626,0.626,2.2209479141235353
