dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
227_cpu_small_sample_4914,985772,0.000931288625264784,0.0008422037687968471,-9.56576232664802,0.0244140625,True,[10]
227_cpu_small_sample_4914,305711,0.0009330241241752062,0.0007989768969547007,-14.36696262693136,0.0029296875,True,"[5, 6]"
227_cpu_small_sample_4914,435829,0.000872746985608338,0.0008201531821031863,-6.026237199603941,0.0322265625,True,[11]
227_cpu_small_sample_4914,117952,0.0011127177382622326,0.0008227012436139362,-26.06379719453602,0.0185546875,True,"[9, 2, 8]"
227_cpu_small_sample_4914,963395,0.000882982289379035,0.0008188775290463461,-7.260027874145825,0.001953125,True,"[9, 3, 7]"
227_cpu_small_sample_4914,152315,0.000832945444900723,0.0007688852402812656,-7.690804363194838,0.013671875,True,"[9, 3]"
227_cpu_small_sample_4914,882371,0.0009050832615373829,0.0008033536416746045,-11.239807892367766,0.0244140625,True,[9]
227_cpu_small_sample_4914,359783,0.0009934632845904018,0.0009060712722653603,-8.796702775087725,0.1611328125,False,[7]
227_cpu_small_sample_4914,304137,0.0008292289089094952,0.0007675497928149178,-7.438129017437476,0.0048828125,True,"[11, 9, 2]"
227_cpu_small_sample_4914,122579,0.0008777211066933087,0.0008150928181033903,-7.135328991444875,0.0048828125,True,"[9, 8]"
227_cpu_small_sample_4914,610581,0.0010272174926218786,0.0009365807722717687,-8.82351799897488,0.0419921875,True,"[11, 9]"
227_cpu_small_sample_4914,448242,0.000885579528405123,0.0008085538479765395,-8.697771115746344,0.052734375,False,"[11, 8, 10]"
227_cpu_small_sample_4914,374564,0.000938598196456427,0.0008352294398838123,-11.013099850699902,0.0185546875,True,[6]
227_cpu_small_sample_4914,735831,0.0009014652948512083,0.0008084540701138403,-10.317782089738683,0.2158203125,False,[10]
227_cpu_small_sample_4914,736326,0.001043340071126954,0.0007800275246164052,-25.237461283944953,0.0244140625,True,"[11, 5]"
