dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
294_satellite_image_sample_2574,985772,0.019990904462982732,0.016381944531475536,-18.053009748457992,0.0009765625,True,"[18, 22, 30]"
294_satellite_image_sample_2574,305711,0.01698747673867565,0.013797169592806989,-18.78034739912396,0.0009765625,True,"[25, 33]"
294_satellite_image_sample_2574,435829,0.018043456978921905,0.01633554383751104,-9.465553875878788,0.0009765625,True,"[18, 30, 14, 22]"
294_satellite_image_sample_2574,117952,0.01867079528975497,0.01558732072593689,-16.514961017809682,0.0009765625,True,"[18, 22, 6, 10]"
294_satellite_image_sample_2574,963395,0.014972946863127484,0.01279389231200655,-14.553277795215402,0.0009765625,True,"[18, 14, 22, 30]"
294_satellite_image_sample_2574,152315,0.015705956222624086,0.01240851085061615,-20.994871787927426,0.0009765625,True,"[19, 15]"
294_satellite_image_sample_2574,882371,0.018156856362831847,0.015617763117362354,-13.984211775046953,0.0068359375,True,"[17, 21, 5, 13, 25]"
294_satellite_image_sample_2574,359783,0.01713232489706391,0.014731236625277484,-14.014958776540116,0.0009765625,True,[22]
294_satellite_image_sample_2574,304137,0.017597997090171413,0.014304214542370292,-18.716803571019557,0.0009765625,True,"[22, 30]"
294_satellite_image_sample_2574,122579,0.019991454274731223,0.01581005795025615,-20.91591870712612,0.0009765625,False,[0]
294_satellite_image_sample_2574,610581,0.016174087461826737,0.014939980677647137,-7.630147834258203,0.0009765625,False,[0]
294_satellite_image_sample_2574,448242,0.017688658221545722,0.012661935093895214,-28.417775190702105,0.0009765625,True,"[8, 32, 20, 4, 16]"
294_satellite_image_sample_2574,374564,0.016948385967859424,0.012857421830613586,-24.137780110766066,0.0009765625,True,"[21, 33, 9, 32]"
294_satellite_image_sample_2574,735831,0.01841362019385758,0.017099538079084375,-7.136468010845351,0.0009765625,True,"[1, 5, 32, 8, 28]"
294_satellite_image_sample_2574,736326,0.015532471149251603,0.012875507439225106,-17.10586605631337,0.0009765625,True,"[6, 10, 2, 7]"
