dataset,metric,mean,std
294_satellite_image_sample_1287,mse,0.02030832522605776,0.003874672600046323
294_satellite_image_sample_1287,aug_mse,0.01628511129062638,0.0022111607851808632
294_satellite_image_sample_1287,delta_mse,-18.36357038783959,11.94282160451837
294_satellite_image_sample_1287,p_wilcoxon,0.0011067708333333333,0.0003319674162495302
294_satellite_image_sample_1287,should_proceed,0.8,0.4
294_satellite_image_sample_2574,mse,0.01746715947834842,0.001444741825283642
294_satellite_image_sample_2574,aug_mse,0.014546802480405656,0.0015179722889108707
294_satellite_image_sample_2574,delta_mse,-16.69479677713541,5.683456706006676
294_satellite_image_sample_2574,p_wilcoxon,0.0013671875,0.00146158491670857
294_satellite_image_sample_2574,should_proceed,0.8666666666666667,0.339934634239519
294_satellite_image_sample_3861,mse,0.01584844393264331,0.002036112555237838
294_satellite_image_sample_3861,aug_mse,0.012114933325576316,0.001372257653063739
294_satellite_image_sample_3861,delta_mse,-23.14360701041935,6.736451265584411
294_satellite_image_sample_3861,p_wilcoxon,0.0009765625,0.0
294_satellite_image_sample_3861,should_proceed,0.9333333333333333,0.24944382578492946
294_satellite_image_sample_5148,mse,0.014153234458728006,0.001686474828263545
294_satellite_image_sample_5148,aug_mse,0.010759874980579275,0.0011387420834469907
294_satellite_image_sample_5148,delta_mse,-23.718116066617025,4.777156008369325
294_satellite_image_sample_5148,p_wilcoxon,0.0009765625,0.0
294_satellite_image_sample_5148,should_proceed,0.7333333333333333,0.44221663871405326
294_satellite_image_sample_6435,mse,0.012318368727108014,0.0013260803595764768
294_satellite_image_sample_6435,aug_mse,0.009888074696341965,0.0010815225337498769
294_satellite_image_sample_6435,delta_mse,-19.66399967188782,4.042719924052211
294_satellite_image_sample_6435,p_wilcoxon,0.0011067708333333333,0.00048719497223619036
294_satellite_image_sample_6435,should_proceed,0.8,0.4
