dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
294_satellite_image_sample_3861,985772,0.014313660989214307,0.013869160575555923,-3.1054278426275848,0.0009765625,True,[18]
294_satellite_image_sample_3861,305711,0.016472270189126014,0.015854747096843685,-3.7488645171081543,0.0009765625,True,"[18, 22, 6]"
294_satellite_image_sample_3861,435829,0.014619869213337182,0.014386126873594772,-1.598799115994657,0.0009765625,True,"[18, 22, 14, 30, 6]"
294_satellite_image_sample_3861,117952,0.015229369421563109,0.014104780033174152,-7.384346372192287,0.0009765625,True,"[18, 14, 22, 30]"
294_satellite_image_sample_3861,963395,0.012534950521937928,0.011824426179450814,-5.668345808334833,0.0009765625,True,"[3, 17]"
294_satellite_image_sample_3861,152315,0.012780403858249132,0.012263668643592702,-4.0431837709330525,0.0009765625,True,"[18, 22, 14]"
294_satellite_image_sample_3861,882371,0.014242249480539796,0.012746934111698874,-10.499151632500737,0.0009765625,True,"[18, 22, 14, 6, 30]"
294_satellite_image_sample_3861,359783,0.014042089270792051,0.014112541439614162,0.5017214138401306,0.0009765625,True,"[17, 13, 29, 21]"
294_satellite_image_sample_3861,304137,0.013804889417358534,0.012413717848297543,-10.077382925731408,0.0009765625,True,"[8, 24, 20, 4, 0]"
294_satellite_image_sample_3861,122579,0.01441605830379601,0.013567865117904426,-5.88366922509074,0.0009765625,True,[18]
294_satellite_image_sample_3861,610581,0.017046758308484566,0.016123235696988727,-5.417584943620518,0.0009765625,True,"[30, 34, 31, 35, 29]"
294_satellite_image_sample_3861,448242,0.01266551751035956,0.012330670098708172,-2.6437720478259528,0.0009765625,True,[18]
294_satellite_image_sample_3861,374564,0.016024993452873337,0.015667538198762786,-2.230610921382053,0.0009765625,True,"[18, 14, 22, 6]"
294_satellite_image_sample_3861,735831,0.01585755196589891,0.014545811800832864,-8.272021859911897,0.0009765625,True,"[18, 22, 6, 10, 2]"
294_satellite_image_sample_3861,736326,0.014930599105656148,0.014661060345721878,-1.8052775915211638,0.0009765625,True,"[22, 18, 14, 30]"
