dataset,metric,mean,std
294_satellite_image_sample_1287,mse,0.0177750539830326,0.0017662951771143327
294_satellite_image_sample_1287,aug_mse,0.01697382914985696,0.00199127579371792
294_satellite_image_sample_1287,delta_mse,-4.537309909161452,5.482415147637158
294_satellite_image_sample_1287,p_wilcoxon,0.0010416666666666667,0.00024359748611809518
294_satellite_image_sample_1287,should_proceed,1.0,0.0
294_satellite_image_sample_2574,mse,0.016360558464880007,0.0013729906125923726
294_satellite_image_sample_2574,aug_mse,0.015761969061262503,0.0015501265067053855
294_satellite_image_sample_2574,delta_mse,-3.7274594783666566,3.2660780031338357
294_satellite_image_sample_2574,p_wilcoxon,0.0009765625,0.0
294_satellite_image_sample_2574,should_proceed,1.0,0.0
294_satellite_image_sample_3861,mse,0.01459874873394577,0.0013194618930181532
294_satellite_image_sample_3861,aug_mse,0.013898152270716101,0.001324283720936222
294_satellite_image_sample_3861,delta_mse,-4.791781144062327,3.1037423987857733
294_satellite_image_sample_3861,p_wilcoxon,0.0009765625,0.0
294_satellite_image_sample_3861,should_proceed,1.0,0.0
294_satellite_image_sample_5148,mse,0.01366065337172183,0.0012392827071570662
294_satellite_image_sample_5148,aug_mse,0.013003844900324153,0.001170211860233904
294_satellite_image_sample_5148,delta_mse,-4.730123727102314,4.076376397035406
294_satellite_image_sample_5148,p_wilcoxon,0.0009765625,0.0
294_satellite_image_sample_5148,should_proceed,1.0,0.0
294_satellite_image_sample_6435,mse,0.012540173287151181,0.0011169940815753828
294_satellite_image_sample_6435,aug_mse,0.011862911305377286,0.001010082379809391
294_satellite_image_sample_6435,delta_mse,-5.307266208367599,3.173468634043778
294_satellite_image_sample_6435,p_wilcoxon,0.0009765625,0.0
294_satellite_image_sample_6435,should_proceed,1.0,0.0
