dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
623_fri_c4_1000_10_sample_400,985772,0.004108514384081415,0.002630228032532438,-35.98104359270713,0.0009765625,True,"[3, 1, 8]"
623_fri_c4_1000_10_sample_400,305711,0.00627706589509115,0.0029557542828340276,-52.911848748544855,0.0009765625,True,"[3, 2, 4]"
623_fri_c4_1000_10_sample_400,435829,0.00614122838617623,0.00415889877725125,-32.27904067836266,0.0009765625,True,"[1, 0, 8, 9]"
623_fri_c4_1000_10_sample_400,117952,0.005248598975409527,0.003328375079358918,-36.585456519866455,0.0009765625,True,"[3, 1, 2, 0]"
623_fri_c4_1000_10_sample_400,963395,0.008970447504870877,0.006888023098564189,-23.214275599694993,0.0009765625,True,"[2, 4, 0, 8, 9]"
623_fri_c4_1000_10_sample_400,152315,0.0059978542775093405,0.004767980599727606,-20.505227717743917,0.0009765625,True,"[3, 8]"
623_fri_c4_1000_10_sample_400,882371,0.005667592208061194,0.0040089078701915455,-29.26612002025216,0.0048828125,True,"[1, 2, 4, 0]"
623_fri_c4_1000_10_sample_400,359783,0.0046510547702700725,0.003740510596543914,-19.577154402619215,0.0009765625,True,"[3, 9, 6, 5]"
623_fri_c4_1000_10_sample_400,304137,0.0065328956319656555,0.0035707152841102812,-45.342532848088624,0.001953125,True,"[3, 8, 5, 7, 6]"
623_fri_c4_1000_10_sample_400,122579,0.006229208452682161,0.003394457555018515,-45.50740144910489,0.0009765625,True,"[3, 2, 4]"
623_fri_c4_1000_10_sample_400,610581,0.007038674555379575,0.0028124070720799677,-60.043513164982485,0.0009765625,True,[4]
623_fri_c4_1000_10_sample_400,448242,0.005622831166931907,0.0027626196698824646,-50.867817512829824,0.0009765625,True,"[8, 7]"
623_fri_c4_1000_10_sample_400,374564,0.0035639890783937577,0.0023796690349749254,-33.230181613030915,0.0009765625,True,"[3, 2]"
623_fri_c4_1000_10_sample_400,735831,0.008405365430062785,0.005711310468010549,-32.051610182427396,0.0009765625,True,"[1, 0, 8, 9]"
623_fri_c4_1000_10_sample_400,736326,0.007062064869649503,0.004482029817007729,-36.53372066475826,0.0009765625,True,"[3, 7]"
