dataset,metric,mean,std
ConcreteCompressiveStrength_sample_201,mse,0.010333808782161051,0.003978055220142145
ConcreteCompressiveStrength_sample_201,aug_mse,0.007925457551668276,0.0019279506784336663
ConcreteCompressiveStrength_sample_201,delta_mse,-17.804757395838116,22.0787279705793
ConcreteCompressiveStrength_sample_201,p_wilcoxon,0.0011067708333333333,0.0003319674162495302
ConcreteCompressiveStrength_sample_201,should_proceed,1.0,0.0
ConcreteCompressiveStrength_sample_402,mse,0.0063545641660966426,0.002069033209333434
ConcreteCompressiveStrength_sample_402,aug_mse,0.004955539685525113,0.001416109019797452
ConcreteCompressiveStrength_sample_402,delta_mse,-19.826531840083103,10.89600512108529
ConcreteCompressiveStrength_sample_402,p_wilcoxon,0.001171875,0.0005289087503018204
ConcreteCompressiveStrength_sample_402,should_proceed,1.0,0.0
ConcreteCompressiveStrength_sample_603,mse,0.006024494626080282,0.000545796110263661
ConcreteCompressiveStrength_sample_603,aug_mse,0.004939000665789546,0.0005258902755326256
ConcreteCompressiveStrength_sample_603,delta_mse,-17.63666389373825,9.521889540023796
ConcreteCompressiveStrength_sample_603,p_wilcoxon,0.0027994791666666667,0.00580340747345483
ConcreteCompressiveStrength_sample_603,should_proceed,1.0,0.0
ConcreteCompressiveStrength_sample_804,mse,0.004966003732014374,0.0009900486238648024
ConcreteCompressiveStrength_sample_804,aug_mse,0.0036123173083840022,0.0004910870610012986
ConcreteCompressiveStrength_sample_804,delta_mse,-24.76763948114132,15.760261097983191
ConcreteCompressiveStrength_sample_804,p_wilcoxon,0.0018880208333333333,0.003158726424663594
ConcreteCompressiveStrength_sample_804,should_proceed,1.0,0.0
ConcreteCompressiveStrength_sample_1005,mse,0.004223894172177673,0.0009360390650063128
ConcreteCompressiveStrength_sample_1005,aug_mse,0.0030642383857213966,0.0006228361112695888
ConcreteCompressiveStrength_sample_1005,delta_mse,-26.89615264428095,6.653025066751748
ConcreteCompressiveStrength_sample_1005,p_wilcoxon,0.0009765625,0.0
ConcreteCompressiveStrength_sample_1005,should_proceed,1.0,0.0
