dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
EnergyEfficiency_sample_306,985772,0.004070816154819396,0.0024963252265658123,-38.67752481009393,0.0009765625,True,[1]
EnergyEfficiency_sample_306,305711,0.003303061483713907,0.002789716413771519,-15.541493020141766,0.0185546875,True,"[8, 4, 3]"
EnergyEfficiency_sample_306,435829,0.00294296500481789,0.0024865945212189777,-15.507166509006876,0.0009765625,True,"[8, 4]"
EnergyEfficiency_sample_306,117952,0.0037658920120398425,0.002745714107164101,-27.08994048725123,0.0009765625,True,[1]
EnergyEfficiency_sample_306,963395,0.002597397768743066,0.0012857827785063187,-50.49727100025441,0.0009765625,True,"[8, 4, 3]"
EnergyEfficiency_sample_306,152315,0.0022077227013082264,0.002078544714054742,-5.851187161183684,0.0009765625,True,"[2, 6]"
EnergyEfficiency_sample_306,882371,0.0039532187428065425,0.003607172314053249,-8.753536074445037,0.001953125,True,[8]
EnergyEfficiency_sample_306,359783,0.002683732499434222,0.0015305898400728567,-42.96786880229189,0.0009765625,True,"[0, 6, 7, 5]"
EnergyEfficiency_sample_306,304137,0.003866468422732528,0.0021161774387666635,-45.268467050582835,0.0068359375,True,"[8, 4, 3, 1]"
EnergyEfficiency_sample_306,122579,0.0026865835846280883,0.001288093690276876,-52.05458346254318,0.0009765625,True,"[2, 6, 7, 5]"
EnergyEfficiency_sample_306,610581,0.003356068331714477,0.0031369041637245854,-6.530384555010821,0.0048828125,True,"[8, 4, 1, 0]"
EnergyEfficiency_sample_306,448242,0.003133097238688052,0.0015220093428625905,-51.42157338532161,0.0009765625,True,[0]
EnergyEfficiency_sample_306,374564,0.0037448708508742204,0.004017159267473001,7.270969479100104,0.0009765625,True,"[8, 4, 3]"
EnergyEfficiency_sample_306,735831,0.002636818312581137,0.0016284845751703596,-38.24054666943422,0.001953125,True,"[4, 3]"
EnergyEfficiency_sample_306,736326,0.0032533058746943865,0.0022527727980099113,-30.754350043352893,0.0009765625,True,[6]
