dataset,metric,mean,std
EnergyEfficiency_sample_153,mse,0.005830592219632796,0.001842154594427636
EnergyEfficiency_sample_153,aug_mse,0.004257812479522094,0.0017940478386285646
EnergyEfficiency_sample_153,delta_mse,-25.102809284740683,26.307321947680574
EnergyEfficiency_sample_153,p_wilcoxon,0.010872395833333333,0.016966600507146302
EnergyEfficiency_sample_153,should_proceed,0.8666666666666667,0.339934634239519
EnergyEfficiency_sample_306,mse,0.0032134679322397323,0.0005590256982410384
EnergyEfficiency_sample_306,aug_mse,0.0023321360794461036,0.000801662704458995
EnergyEfficiency_sample_306,delta_mse,-28.125661570120947,18.7258835212331
EnergyEfficiency_sample_306,p_wilcoxon,0.0029296875,0.004496431419227085
EnergyEfficiency_sample_306,should_proceed,1.0,0.0
EnergyEfficiency_sample_459,mse,0.001883991602404221,0.0005838401445630486
EnergyEfficiency_sample_459,aug_mse,0.0010630391090946294,0.0004880462092591114
EnergyEfficiency_sample_459,delta_mse,-42.98405869331766,18.000920223557078
EnergyEfficiency_sample_459,p_wilcoxon,0.0009765625,0.0
EnergyEfficiency_sample_459,should_proceed,0.9333333333333333,0.24944382578492946
EnergyEfficiency_sample_612,mse,0.0009058151969188067,0.00030535783277892993
EnergyEfficiency_sample_612,aug_mse,0.0005222331611957053,0.000206176900546213
EnergyEfficiency_sample_612,delta_mse,-40.709621836991325,15.055383290570079
EnergyEfficiency_sample_612,p_wilcoxon,0.0014322916666666666,0.0010618168248893289
EnergyEfficiency_sample_612,should_proceed,0.8666666666666667,0.339934634239519
EnergyEfficiency_sample_765,mse,0.0005273753522654251,0.00029071573839072664
EnergyEfficiency_sample_765,aug_mse,0.0003479677094177402,0.00012350008854022574
EnergyEfficiency_sample_765,delta_mse,-28.30554218361815,16.510040413649527
EnergyEfficiency_sample_765,p_wilcoxon,0.013020833333333334,0.033811571761493714
EnergyEfficiency_sample_765,should_proceed,0.8,0.4000000000000001
