dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
EnergyEfficiency_sample_153,985772,0.0064468620011406495,0.004442441310194206,-31.091416112083664,0.0009765625,True,[7]
EnergyEfficiency_sample_153,305711,0.003199096548629753,0.00152656697306979,-52.281309742788046,0.0244140625,True,"[7, 5]"
EnergyEfficiency_sample_153,435829,0.004060160482961936,0.003659334868849726,-9.872161846661864,0.0048828125,True,"[1, 0, 2]"
EnergyEfficiency_sample_153,117952,0.0033418199605233885,0.002429091476412116,-27.312317685969028,0.0966796875,False,"[8, 4, 3]"
EnergyEfficiency_sample_153,963395,0.003534010514897414,0.0022400184802860035,-36.61539854385443,0.0048828125,True,"[7, 5]"
EnergyEfficiency_sample_153,152315,0.003109336555877534,0.005597789977191164,80.03165230247404,0.1376953125,False,"[2, 6, 7, 5]"
EnergyEfficiency_sample_153,882371,0.001488181145940504,0.001280698149290283,-13.942052499199974,0.013671875,True,[8]
EnergyEfficiency_sample_153,359783,0.008939823323571147,0.008364920002085044,-6.4308130113744735,0.001953125,True,"[6, 7]"
EnergyEfficiency_sample_153,304137,0.0027603597027017956,0.0027259213221842637,-1.2476048133808129,0.0244140625,True,"[4, 3, 2, 6]"
EnergyEfficiency_sample_153,122579,0.0015321538000173005,0.0014019148244827412,-8.500385244163395,0.013671875,True,[8]
EnergyEfficiency_sample_153,610581,0.0034369283734424602,0.00162777753276582,-52.638595981695644,0.0009765625,True,"[3, 1, 0]"
EnergyEfficiency_sample_153,448242,0.0027506269929631426,0.00246154740530822,-10.509588846269144,0.2783203125,False,"[8, 4, 3]"
EnergyEfficiency_sample_153,374564,0.005809960188863172,0.005907821490852469,1.6843713004588612,0.009765625,True,"[3, 1, 0, 2, 6]"
EnergyEfficiency_sample_153,735831,0.004980709324915849,0.0044977284447996245,-9.697030053533284,0.001953125,True,"[6, 7]"
EnergyEfficiency_sample_153,736326,0.0044732916808949644,0.003510394711752981,-21.525467996071708,0.3125,False,"[8, 4]"
