dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
HousePrice_sample_800,985772,0.0002533662165534885,0.00016279892210300812,-35.745607951390234,0.0009765625,True,"[3, 5, 6, 2]"
HousePrice_sample_800,305711,0.00023932223782042135,0.000131464373026496,-45.06804957876833,0.0009765625,True,"[5, 1, 6]"
HousePrice_sample_800,435829,0.00017767832969353526,0.00021799019965887487,22.68811848629526,0.0009765625,True,[4]
HousePrice_sample_800,117952,0.0001780095536400684,0.00012115770718957902,-31.937525423743622,0.0009765625,True,"[3, 1]"
HousePrice_sample_800,963395,0.0002314691952799653,0.0001584284123476895,-31.55529306780193,0.0009765625,True,"[5, 1]"
HousePrice_sample_800,152315,0.00019819836606026916,0.00011603700827426123,-41.45410450105522,0.0009765625,True,[1]
HousePrice_sample_800,882371,0.0003076867436857902,0.00016767928986845482,-45.50324532678309,0.0009765625,True,[4]
HousePrice_sample_800,359783,0.0002691011309692992,0.00015920095211257673,-40.839731316201934,0.0009765625,True,"[4, 1]"
HousePrice_sample_800,304137,0.0002241207532185714,0.00017089305877726128,-23.749560751029772,0.001953125,True,"[4, 6]"
HousePrice_sample_800,122579,0.0001745380263170745,0.00013605040890343197,-22.051135919071303,0.0009765625,True,"[0, 5, 3, 1]"
HousePrice_sample_800,610581,0.00029819522510036463,0.00018001432334065778,-39.632057059240395,0.0029296875,True,"[0, 4, 3, 5]"
HousePrice_sample_800,448242,0.0002678839695125469,0.0001856065476020738,-30.713828102588085,0.0009765625,True,"[4, 1, 2]"
HousePrice_sample_800,374564,0.00023716549310363348,0.00015321825732974738,-35.39605811761323,0.0009765625,True,[4]
HousePrice_sample_800,735831,0.0002107901245409514,0.00015077980027377173,-28.46922947546393,0.0009765625,True,"[0, 5]"
HousePrice_sample_800,736326,0.00020644023420349436,0.00015391941417500031,-25.44117440630429,0.001953125,True,[0]
