dataset,metric,mean,std
HousePrice_sample_200,mse,0.0007851707655889471,0.00032604826614975193
HousePrice_sample_200,aug_mse,0.0006352742634258806,0.00018845157871541656
HousePrice_sample_200,delta_mse,-14.229071226344832,18.433985698502077
HousePrice_sample_200,p_wilcoxon,0.0014322916666666666,0.0010001491859203916
HousePrice_sample_200,should_proceed,1.0,0.0
HousePrice_sample_400,mse,0.00032747939456799957,7.53139023236421e-05
HousePrice_sample_400,aug_mse,0.0003097461923417373,7.911913569860403e-05
HousePrice_sample_400,delta_mse,-5.39357942002246,8.766750078058381
HousePrice_sample_400,p_wilcoxon,0.0037109375,0.010231094416959996
HousePrice_sample_400,should_proceed,1.0,0.0
HousePrice_sample_600,mse,0.000269699924660341,6.430668813090441e-05
HousePrice_sample_600,aug_mse,0.00025524077518601385,6.281811283281447e-05
HousePrice_sample_600,delta_mse,-4.874002315591838,10.539522681739632
HousePrice_sample_600,p_wilcoxon,0.0015625,0.001461584916708571
HousePrice_sample_600,should_proceed,0.9333333333333333,0.24944382578492946
HousePrice_sample_800,mse,0.00024297551572009647,3.678045937327545e-05
HousePrice_sample_800,aug_mse,0.00021986058734209198,4.370591391214072e-05
HousePrice_sample_800,delta_mse,-9.856522073889408,7.732090487531933
HousePrice_sample_800,p_wilcoxon,0.0033854166666666668,0.006446956334988089
HousePrice_sample_800,should_proceed,1.0,0.0
HousePrice_sample_1000,mse,0.00019552077039971272,2.4931803920142203e-05
HousePrice_sample_1000,aug_mse,0.000182631819859385,2.5466402545310948e-05
HousePrice_sample_1000,delta_mse,-6.495108494063568,7.257858085023797
HousePrice_sample_1000,p_wilcoxon,0.0013020833333333333,0.0009873535734442123
HousePrice_sample_1000,should_proceed,1.0,0.0
