dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
ParkinsonsTelemonitoring_sample_1175,985772,0.0010445417137434903,0.0006360148802153425,-39.11062891533984,0.0009765625,True,"[19, 0]"
ParkinsonsTelemonitoring_sample_1175,305711,0.0026667978299670008,0.0014296557326670966,-46.390546872284375,0.0009765625,True,"[0, 15, 14]"
ParkinsonsTelemonitoring_sample_1175,435829,0.0011675550090554567,0.0006108689096949259,-47.67964635866585,0.0009765625,True,"[17, 11]"
ParkinsonsTelemonitoring_sample_1175,117952,0.001913375508652168,0.0008998718888995842,-52.96940486431346,0.001953125,True,"[0, 1]"
ParkinsonsTelemonitoring_sample_1175,963395,0.002480670790920355,0.0009120218757074972,-63.23486860708642,0.0009765625,False,[0]
ParkinsonsTelemonitoring_sample_1175,152315,0.001258213202903035,0.0009757373480632613,-22.450555612357764,0.0009765625,True,"[14, 17, 11, 7, 8]"
ParkinsonsTelemonitoring_sample_1175,882371,0.0014285633471782676,0.0013374459462503784,-6.378254146577846,0.0009765625,True,[16]
ParkinsonsTelemonitoring_sample_1175,359783,0.001324025206726305,0.0009906256079137245,-25.180759181837768,0.001953125,True,"[14, 17, 18, 15]"
ParkinsonsTelemonitoring_sample_1175,304137,0.0017119674580167864,0.0011257005793552234,-34.245211608211214,0.0009765625,True,"[18, 1]"
ParkinsonsTelemonitoring_sample_1175,122579,0.001550639681829756,0.0011545965808069053,-25.540627243301262,0.0009765625,True,[19]
ParkinsonsTelemonitoring_sample_1175,610581,0.001611458669592664,0.0011742741932184806,-27.12973560064637,0.0009765625,True,"[0, 18, 3, 13, 1]"
ParkinsonsTelemonitoring_sample_1175,448242,0.001289053779793116,0.0009195712501248415,-28.66308104907569,0.0009765625,True,"[0, 14, 15, 13, 7]"
ParkinsonsTelemonitoring_sample_1175,374564,0.0020475266859494973,0.0008031056092186578,-60.77679403498301,0.0009765625,True,"[19, 0, 14]"
ParkinsonsTelemonitoring_sample_1175,735831,0.001636982733772168,0.001214504599578916,-25.808343941399915,0.0009765625,True,"[19, 18, 13, 2, 5]"
ParkinsonsTelemonitoring_sample_1175,736326,0.0016118623907515274,0.001014515745236075,-37.05940711458258,0.0009765625,True,[19]
