dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
ParkinsonsTelemonitoring_sample_2350,985772,0.0003111302404205054,0.0003006885564090985,-3.356049221475396,0.0048828125,True,"[0, 14]"
ParkinsonsTelemonitoring_sample_2350,305711,0.0005039874955096063,0.00038416005371199105,-23.775875962250197,0.013671875,True,"[19, 14]"
ParkinsonsTelemonitoring_sample_2350,435829,0.0002840130165686675,0.0002777068649044234,-2.220374171730771,0.0009765625,True,[19]
ParkinsonsTelemonitoring_sample_2350,117952,0.00027990201049113233,0.0002516557350090728,-10.091487171705902,0.0009765625,True,"[19, 0, 14, 17]"
ParkinsonsTelemonitoring_sample_2350,963395,0.00031766220423087995,0.00034281106973833365,7.916857961854114,0.0419921875,True,"[19, 0, 14, 11, 17]"
ParkinsonsTelemonitoring_sample_2350,152315,0.00025149727044349724,0.0002565209546918272,1.9975104459269366,0.0029296875,True,"[19, 0]"
ParkinsonsTelemonitoring_sample_2350,882371,0.0002872827381936308,0.0002694075607978025,-6.222155047749618,0.0009765625,True,[14]
ParkinsonsTelemonitoring_sample_2350,359783,0.00043507201139725396,0.0003798638915617745,-12.689421150805815,0.0009765625,True,[0]
ParkinsonsTelemonitoring_sample_2350,304137,0.0003150916166592031,0.00036189041217694207,14.852440700875771,0.052734375,False,"[0, 14]"
ParkinsonsTelemonitoring_sample_2350,122579,0.00032247796353137664,0.00031083201234455244,-3.6113944218985568,0.0009765625,True,"[19, 0, 15, 16]"
ParkinsonsTelemonitoring_sample_2350,610581,0.00033042596234232065,0.00030604761447690127,-7.3778548430657125,0.0009765625,True,"[0, 15]"
ParkinsonsTelemonitoring_sample_2350,448242,0.000400028509864048,0.0003382959848112018,-15.432031350422086,0.0009765625,True,"[19, 14, 17, 15]"
ParkinsonsTelemonitoring_sample_2350,374564,0.00045390490994385034,0.0003670755901153544,-19.129407487404585,0.0009765625,True,"[0, 16]"
ParkinsonsTelemonitoring_sample_2350,735831,0.00036633430693750217,0.0003809697811463447,3.9951142799572397,0.0009765625,True,"[0, 14, 15]"
ParkinsonsTelemonitoring_sample_2350,736326,0.0003003322209745324,0.00022868244826481436,-23.85683842953161,0.0009765625,True,"[19, 0]"
