dataset,metric,mean,std
ParkinsonsTelemonitoring_sample_1175,mse,0.0007856492598912197,9.986884025934905e-05
ParkinsonsTelemonitoring_sample_1175,aug_mse,0.0007199846649899033,0.0001185451571683516
ParkinsonsTelemonitoring_sample_1175,delta_mse,-8.399820264425273,9.25432152990495
ParkinsonsTelemonitoring_sample_1175,p_wilcoxon,0.0010416666666666667,0.00024359748611809518
ParkinsonsTelemonitoring_sample_1175,should_proceed,1.0,0.0
ParkinsonsTelemonitoring_sample_2350,mse,0.00034394283183386716,7.035712769287811e-05
ParkinsonsTelemonitoring_sample_2350,aug_mse,0.000317107235344029,5.043634720237267e-05
ParkinsonsTelemonitoring_sample_2350,delta_mse,-6.60006439129508,10.873746630827652
ParkinsonsTelemonitoring_sample_2350,p_wilcoxon,0.0083984375,0.015737711962019105
ParkinsonsTelemonitoring_sample_2350,should_proceed,0.9333333333333333,0.24944382578492946
ParkinsonsTelemonitoring_sample_3525,mse,0.00020691163698869774,4.6114695122467006e-05
ParkinsonsTelemonitoring_sample_3525,aug_mse,0.0001998406736519164,4.5804250376593655e-05
ParkinsonsTelemonitoring_sample_3525,delta_mse,-2.794173486130069,12.994156314216458
ParkinsonsTelemonitoring_sample_3525,p_wilcoxon,0.04342447916666667,0.09043683508319743
ParkinsonsTelemonitoring_sample_3525,should_proceed,0.8,0.4
ParkinsonsTelemonitoring_sample_4700,mse,0.00014753937938053165,2.6184557604536975e-05
ParkinsonsTelemonitoring_sample_4700,aug_mse,0.00013823910987230908,2.8377088257244516e-05
ParkinsonsTelemonitoring_sample_4700,delta_mse,-6.264352924558938,9.301635493516358
ParkinsonsTelemonitoring_sample_4700,p_wilcoxon,0.020377604166666667,0.023363780184312385
ParkinsonsTelemonitoring_sample_4700,should_proceed,0.8,0.4
ParkinsonsTelemonitoring_sample_5875,mse,0.00010994029436235824,3.0895417489097846e-05
ParkinsonsTelemonitoring_sample_5875,aug_mse,0.00011272575896133405,4.027568046904474e-05
ParkinsonsTelemonitoring_sample_5875,delta_mse,1.6511605331699408,14.54831803848589
ParkinsonsTelemonitoring_sample_5875,p_wilcoxon,0.2736328125,0.3681855963253741
ParkinsonsTelemonitoring_sample_5875,should_proceed,0.4666666666666667,0.4988876515698588
