dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
WineQuality_sample_5315,985772,0.01398461622053782,0.013580549796099975,-2.889363698407636,0.0009765625,True,"[4, 2, 0]"
WineQuality_sample_5315,305711,0.013501719451356644,0.013497096118779814,-0.034242546614052544,0.0009765625,True,"[7, 2]"
WineQuality_sample_5315,435829,0.012268552835456269,0.012094513215709932,-1.4185831212574644,0.0009765625,True,"[10, 7, 1]"
WineQuality_sample_5315,117952,0.012664510402592,0.012352420170798089,-2.464289750435493,0.0009765625,True,"[4, 2, 0]"
WineQuality_sample_5315,963395,0.013468224971125735,0.013345869595964363,-0.9084743937949292,0.0009765625,True,"[10, 7, 1, 4]"
WineQuality_sample_5315,152315,0.013983049535897553,0.01393928116075384,-0.3130102273566974,0.0009765625,True,"[7, 1, 4, 2]"
WineQuality_sample_5315,882371,0.013720989211084047,0.013839709471368276,0.8652456354118035,0.0009765625,True,"[10, 7]"
WineQuality_sample_5315,359783,0.012996217488489063,0.01265023659954221,-2.6621660437222836,0.0009765625,True,"[2, 0, 3, 5, 8]"
WineQuality_sample_5315,304137,0.013164751765027944,0.012978330102839265,-1.4160666719436925,0.0009765625,True,[10]
WineQuality_sample_5315,122579,0.012968733926974106,0.01298744589114778,0.14428520377578774,0.0009765625,True,"[10, 7]"
WineQuality_sample_5315,610581,0.013621187259592884,0.01340681978354076,-1.5737796710866907,0.0009765625,True,"[10, 7]"
WineQuality_sample_5315,448242,0.013527221750834916,0.013515954809368243,-0.08329087579256746,0.0009765625,True,"[7, 4, 2, 0]"
WineQuality_sample_5315,374564,0.013591264048583396,0.013564275722113339,-0.19857112902512486,0.0009765625,True,[10]
WineQuality_sample_5315,735831,0.012793977435318297,0.012453447131158129,-2.6616453396276913,0.0009765625,True,"[7, 1]"
WineQuality_sample_5315,736326,0.013530260256082338,0.013453531986536685,-0.5670864277068204,0.0009765625,True,"[7, 1]"
