dataset_name,method,baseline,mse_mean,mse_std,mse_count,aug_mse_mean,aug_mse_std,aug_mse_count,delta_percent_mean,delta_percent_std,delta_percent_count,quality_score_mean,quality_score_std,quality_score_count,mse_se,aug_mse_se,delta_percent_se,quality_score_se
227_cpu_small,ada,mlp,0.00085,3e-05,10,0.000845,2.7e-05,10,-0.567952,3.20968,10,0.971226,0.000635,10,9e-06,9e-06,1.01499,0.000201
227_cpu_small,ada,xgboost,0.000675,3e-05,10,0.000687,3e-05,10,1.853135,1.939187,10,0.971226,0.000635,10,9e-06,9e-06,0.613225,0.000201
227_cpu_small,c_mixup,mlp,0.00085,3e-05,10,0.000842,3.3e-05,10,-0.906323,3.098994,10,0.964325,0.005895,10,9e-06,1e-05,0.979988,0.001864
227_cpu_small,c_mixup,xgboost,0.000675,3e-05,10,0.000686,3.6e-05,10,1.705489,4.845328,10,0.964325,0.005895,10,9e-06,1.1e-05,1.532227,0.001864
227_cpu_small,crda,mlp,0.00085,3e-05,10,0.000746,3.9e-05,10,-12.227517,3.303259,10,0.988816,0.004988,10,9e-06,1.2e-05,1.044582,0.001577
227_cpu_small,crda,xgboost,0.000675,3e-05,10,0.000665,2.8e-05,10,-1.363026,2.197954,10,0.979408,0.005669,10,9e-06,9e-06,0.695054,0.001793
227_cpu_small,ctgan,mlp,0.00085,3e-05,10,0.001768,0.000361,10,107.955363,42.125205,10,0.914849,0.003901,10,9e-06,0.000114,13.321159,0.001234
227_cpu_small,ctgan,xgboost,0.000675,3e-05,10,0.000956,7.8e-05,10,41.621124,8.884425,10,0.914849,0.003901,10,9e-06,2.5e-05,2.809502,0.001234
227_cpu_small,tabddpm,mlp,0.00085,3e-05,10,0.001105,0.000176,10,30.23612,22.531698,10,0.960575,0.000757,10,9e-06,5.6e-05,7.125149,0.000239
227_cpu_small,tabddpm,xgboost,0.000675,3e-05,10,0.000921,9.5e-05,10,36.459971,12.551584,10,0.960575,0.000757,10,9e-06,3e-05,3.969159,0.000239
227_cpu_small,tvae,mlp,0.00085,3e-05,10,0.001159,0.000106,10,36.578284,14.676143,10,0.946712,0.002718,10,9e-06,3.4e-05,4.641004,0.00086
227_cpu_small,tvae,xgboost,0.000675,3e-05,10,0.000837,6.1e-05,10,24.182165,8.30874,10,0.946712,0.002718,10,9e-06,1.9e-05,2.627454,0.00086
294_satellite_image,ada,mlp,0.014971,0.001894,10,0.015415,0.001847,10,3.326706,7.622579,10,0.98908,0.000504,10,0.000599,0.000584,2.410471,0.000159
294_satellite_image,ada,xgboost,0.012548,0.001034,10,0.01271,0.001016,10,1.366173,3.558539,10,0.98908,0.000504,10,0.000327,0.000321,1.125309,0.000159
294_satellite_image,c_mixup,mlp,0.014971,0.001894,10,0.014803,0.001651,10,-0.751746,6.380969,10,0.977544,0.006956,10,0.000599,0.000522,2.01784,0.0022
294_satellite_image,c_mixup,xgboost,0.012548,0.001034,10,0.01336,0.001355,10,6.444658,5.464234,10,0.977544,0.006956,10,0.000327,0.000428,1.727943,0.0022
294_satellite_image,crda,mlp,0.014971,0.001894,10,0.011419,0.001245,10,-23.450045,4.900385,10,0.996151,0.001096,10,0.000599,0.000394,1.549638,0.000347
294_satellite_image,crda,xgboost,0.012548,0.001034,10,0.012457,0.001056,10,-0.721343,2.116307,10,0.994724,0.002312,10,0.000327,0.000334,0.669235,0.000731
294_satellite_image,ctgan,mlp,0.014971,0.001894,10,0.023165,0.002936,10,55.103972,10.137172,10,0.898393,0.002763,10,0.000599,0.000928,3.205655,0.000874
294_satellite_image,ctgan,xgboost,0.012548,0.001034,10,0.013907,0.001013,10,10.954649,3.621928,10,0.898393,0.002763,10,0.000327,0.00032,1.145354,0.000874
294_satellite_image,tabddpm,mlp,0.014971,0.001894,10,0.01636,0.001728,10,9.900631,9.343488,10,0.90145,0.001161,10,0.000599,0.000546,2.95467,0.000367
294_satellite_image,tabddpm,xgboost,0.012548,0.001034,10,0.013859,0.000772,10,10.699813,4.510718,10,0.90145,0.001161,10,0.000327,0.000244,1.426414,0.000367
294_satellite_image,tvae,mlp,0.014971,0.001894,10,0.017717,0.002159,10,18.815874,10.455666,10,0.968832,0.004692,10,0.000599,0.000683,3.306372,0.001484
294_satellite_image,tvae,xgboost,0.012548,0.001034,10,0.014112,0.001401,10,12.494395,6.747579,10,0.968832,0.004692,10,0.000327,0.000443,2.133772,0.001484
503_wind,ada,mlp,0.005818,0.000338,10,0.006671,0.000504,10,14.675748,6.371337,10,0.992588,0.000584,10,0.000107,0.000159,2.014794,0.000185
503_wind,ada,xgboost,0.005317,0.000282,10,0.005307,0.000251,10,-0.160505,0.920506,10,0.992588,0.000584,10,8.9e-05,7.9e-05,0.29109,0.000185
503_wind,c_mixup,mlp,0.005818,0.000338,10,0.006088,0.000536,10,4.940035,10.899437,10,0.980753,0.007497,10,0.000107,0.000169,3.446705,0.002371
503_wind,c_mixup,xgboost,0.005317,0.000282,10,0.005218,0.000297,10,-1.859365,2.029499,10,0.980753,0.007497,10,8.9e-05,9.4e-05,0.641784,0.002371
503_wind,crda,mlp,0.005818,0.000338,10,0.005344,0.00025,10,-8.033072,3.479204,10,0.994783,0.003,10,0.000107,7.9e-05,1.100221,0.000949
503_wind,crda,xgboost,0.005317,0.000282,10,0.00518,0.000278,10,-2.578549,0.801157,10,0.993642,0.002548,10,8.9e-05,8.8e-05,0.253348,0.000806
503_wind,ctgan,mlp,0.005818,0.000338,10,0.006604,0.000354,10,13.685117,6.14658,10,0.884509,0.00856,10,0.000107,0.000112,1.943719,0.002707
503_wind,ctgan,xgboost,0.005317,0.000282,10,0.005689,0.000267,10,7.055981,2.827196,10,0.884509,0.00856,10,8.9e-05,8.4e-05,0.894038,0.002707
503_wind,tabddpm,mlp,0.005818,0.000338,10,0.005404,0.000381,10,-7.06621,4.585159,10,0.978019,0.001668,10,0.000107,0.00012,1.449955,0.000527
503_wind,tabddpm,xgboost,0.005317,0.000282,10,0.005296,0.000269,10,-0.373141,1.474292,10,0.978019,0.001668,10,8.9e-05,8.5e-05,0.466212,0.000527
503_wind,tvae,mlp,0.005818,0.000338,10,0.006139,0.00049,10,5.534751,5.950985,10,0.948153,0.003512,10,0.000107,0.000155,1.881867,0.001111
503_wind,tvae,xgboost,0.005317,0.000282,10,0.005572,0.000297,10,4.826845,2.802434,10,0.948153,0.003512,10,8.9e-05,9.4e-05,0.886207,0.001111
623_fri_c4_1000_10,ada,mlp,0.003671,0.000831,10,0.004222,0.000863,10,16.70084,20.380675,10,0.987728,0.000792,10,0.000263,0.000273,6.444935,0.00025
623_fri_c4_1000_10,ada,xgboost,0.001485,0.000218,10,0.001745,0.000221,10,18.288774,11.254453,10,0.987728,0.000792,10,6.9e-05,7e-05,3.558971,0.00025
623_fri_c4_1000_10,c_mixup,mlp,0.003671,0.000831,10,0.006273,0.001997,10,78.123983,60.582985,10,0.976339,0.008457,10,0.000263,0.000632,19.158022,0.002674
623_fri_c4_1000_10,c_mixup,xgboost,0.001485,0.000218,10,0.00351,0.001342,10,141.50844,100.489334,10,0.976339,0.008457,10,6.9e-05,0.000424,31.777518,0.002674
623_fri_c4_1000_10,crda,mlp,0.003671,0.000831,10,0.002406,0.0005,10,-33.277753,12.000014,10,0.991522,0.005567,10,0.000263,0.000158,3.794738,0.00176
623_fri_c4_1000_10,crda,xgboost,0.001485,0.000218,10,0.00151,0.00017,10,2.262607,5.719201,10,0.989547,0.004446,10,6.9e-05,5.4e-05,1.80857,0.001406
623_fri_c4_1000_10,ctgan,mlp,0.003671,0.000831,10,0.010604,0.002596,10,198.932602,85.952061,10,0.913777,0.010085,10,0.000263,0.000821,27.180428,0.003189
623_fri_c4_1000_10,ctgan,xgboost,0.001485,0.000218,10,0.0038,0.000843,10,164.111137,81.461659,10,0.913777,0.010085,10,6.9e-05,0.000267,25.760438,0.003189
623_fri_c4_1000_10,tabddpm,mlp,0.003671,0.000831,10,0.002908,0.000358,10,-19.186604,8.567804,10,0.983252,0.001926,10,0.000263,0.000113,2.709378,0.000609
623_fri_c4_1000_10,tabddpm,xgboost,0.001485,0.000218,10,0.001811,0.000175,10,25.048928,25.794957,10,0.983252,0.001926,10,6.9e-05,5.5e-05,8.157082,0.000609
623_fri_c4_1000_10,tvae,mlp,0.003671,0.000831,10,0.006286,0.002403,10,71.608414,48.576614,10,0.866705,0.011642,10,0.000263,0.00076,15.361274,0.003682
623_fri_c4_1000_10,tvae,xgboost,0.001485,0.000218,10,0.00317,0.000894,10,116.501313,63.760496,10,0.866705,0.011642,10,6.9e-05,0.000283,20.162839,0.003682
ConcreteCompressiveStrength,ada,mlp,0.004883,0.000664,10,0.004697,0.000646,10,-3.772237,4.658766,10,0.968219,0.001892,10,0.00021,0.000204,1.473231,0.000598
ConcreteCompressiveStrength,ada,xgboost,0.002625,0.000622,10,0.002621,0.000636,10,-0.139814,4.415735,10,0.968219,0.001892,10,0.000197,0.000201,1.396378,0.000598
ConcreteCompressiveStrength,c_mixup,mlp,0.004883,0.000664,10,0.004645,0.00073,10,-4.753079,9.063804,10,0.961238,0.004992,10,0.00021,0.000231,2.866226,0.001579
ConcreteCompressiveStrength,c_mixup,xgboost,0.002625,0.000622,10,0.002545,0.000592,10,-2.765518,5.339558,10,0.961238,0.004992,10,0.000197,0.000187,1.688516,0.001579
ConcreteCompressiveStrength,crda,mlp,0.004883,0.000664,10,0.004153,0.000773,10,-15.356977,7.166789,10,0.982922,0.008519,10,0.00021,0.000244,2.266338,0.002694
ConcreteCompressiveStrength,crda,xgboost,0.002625,0.000622,10,0.002582,0.000642,10,-1.733958,5.878459,10,0.982728,0.005405,10,0.000197,0.000203,1.858932,0.001709
ConcreteCompressiveStrength,ctgan,mlp,0.004883,0.000664,10,0.011694,0.00257,10,142.29471,55.501682,10,0.899236,0.009621,10,0.00021,0.000813,17.551173,0.003042
ConcreteCompressiveStrength,ctgan,xgboost,0.002625,0.000622,10,0.003276,0.000685,10,26.057794,13.602136,10,0.899236,0.009621,10,0.000197,0.000217,4.301373,0.003042
ConcreteCompressiveStrength,tabddpm,mlp,0.004883,0.000664,10,0.004567,0.000568,10,-5.923179,9.265428,10,0.934878,0.001745,10,0.00021,0.00018,2.929986,0.000552
ConcreteCompressiveStrength,tabddpm,xgboost,0.002625,0.000622,10,0.002595,0.000675,10,-1.12527,9.526345,10,0.934878,0.001745,10,0.000197,0.000213,3.012495,0.000552
