Dataset,Method,Baseline,MSE_Mean,MSE_SE,Aug_MSE_Mean,Aug_MSE_SE,Delta_Percent_Mean,Delta_Percent_SE,Quality_Score_Mean,Quality_Score_SE,N_Seeds
227_cpu_small,ada,mlp,0.00085,9e-06,0.000845,9e-06,-0.567952,1.01499,0.971226,0.000201,10
227_cpu_small,ada,xgboost,0.000675,9e-06,0.000687,9e-06,1.853135,0.613225,0.971226,0.000201,10
227_cpu_small,c_mixup,mlp,0.00085,9e-06,0.000842,1e-05,-0.906323,0.979988,0.964325,0.001864,10
227_cpu_small,c_mixup,xgboost,0.000675,9e-06,0.000686,1.1e-05,1.705489,1.532227,0.964325,0.001864,10
227_cpu_small,crda,mlp,0.00085,9e-06,0.000746,1.2e-05,-12.227517,1.044582,0.988816,0.001577,10
227_cpu_small,crda,xgboost,0.000675,9e-06,0.000665,9e-06,-1.363026,0.695054,0.979408,0.001793,10
227_cpu_small,ctgan,mlp,0.00085,9e-06,0.001768,0.000114,107.955363,13.321159,0.914849,0.001234,10
227_cpu_small,ctgan,xgboost,0.000675,9e-06,0.000956,2.5e-05,41.621124,2.809502,0.914849,0.001234,10
227_cpu_small,tabddpm,mlp,0.00085,9e-06,0.001105,5.6e-05,30.23612,7.125149,0.960575,0.000239,10
227_cpu_small,tabddpm,xgboost,0.000675,9e-06,0.000921,3e-05,36.459971,3.969159,0.960575,0.000239,10
227_cpu_small,tvae,mlp,0.00085,9e-06,0.001159,3.4e-05,36.578284,4.641004,0.946712,0.00086,10
227_cpu_small,tvae,xgboost,0.000675,9e-06,0.000837,1.9e-05,24.182165,2.627454,0.946712,0.00086,10
294_satellite_image,ada,mlp,0.014971,0.000599,0.015415,0.000584,3.326706,2.410471,0.98908,0.000159,10
294_satellite_image,ada,xgboost,0.012548,0.000327,0.01271,0.000321,1.366173,1.125309,0.98908,0.000159,10
294_satellite_image,c_mixup,mlp,0.014971,0.000599,0.014803,0.000522,-0.751746,2.01784,0.977544,0.0022,10
294_satellite_image,c_mixup,xgboost,0.012548,0.000327,0.01336,0.000428,6.444658,1.727943,0.977544,0.0022,10
294_satellite_image,crda,mlp,0.014971,0.000599,0.011419,0.000394,-23.450045,1.549638,0.996151,0.000347,10
294_satellite_image,crda,xgboost,0.012548,0.000327,0.012457,0.000334,-0.721343,0.669235,0.994724,0.000731,10
294_satellite_image,ctgan,mlp,0.014971,0.000599,0.023165,0.000928,55.103972,3.205655,0.898393,0.000874,10
294_satellite_image,ctgan,xgboost,0.012548,0.000327,0.013907,0.00032,10.954649,1.145354,0.898393,0.000874,10
294_satellite_image,tabddpm,mlp,0.014971,0.000599,0.01636,0.000546,9.900631,2.95467,0.90145,0.000367,10
294_satellite_image,tabddpm,xgboost,0.012548,0.000327,0.013859,0.000244,10.699813,1.426414,0.90145,0.000367,10
294_satellite_image,tvae,mlp,0.014971,0.000599,0.017717,0.000683,18.815874,3.306372,0.968832,0.001484,10
294_satellite_image,tvae,xgboost,0.012548,0.000327,0.014112,0.000443,12.494395,2.133772,0.968832,0.001484,10
503_wind,ada,mlp,0.005818,0.000107,0.006671,0.000159,14.675748,2.014794,0.992588,0.000185,10
503_wind,ada,xgboost,0.005317,8.9e-05,0.005307,7.9e-05,-0.160505,0.29109,0.992588,0.000185,10
503_wind,c_mixup,mlp,0.005818,0.000107,0.006088,0.000169,4.940035,3.446705,0.980753,0.002371,10
503_wind,c_mixup,xgboost,0.005317,8.9e-05,0.005218,9.4e-05,-1.859365,0.641784,0.980753,0.002371,10
503_wind,crda,mlp,0.005818,0.000107,0.005344,7.9e-05,-8.033072,1.100221,0.994783,0.000949,10
503_wind,crda,xgboost,0.005317,8.9e-05,0.00518,8.8e-05,-2.578549,0.253348,0.993642,0.000806,10
503_wind,ctgan,mlp,0.005818,0.000107,0.006604,0.000112,13.685117,1.943719,0.884509,0.002707,10
503_wind,ctgan,xgboost,0.005317,8.9e-05,0.005689,8.4e-05,7.055981,0.894038,0.884509,0.002707,10
503_wind,tabddpm,mlp,0.005818,0.000107,0.005404,0.00012,-7.06621,1.449955,0.978019,0.000527,10
503_wind,tabddpm,xgboost,0.005317,8.9e-05,0.005296,8.5e-05,-0.373141,0.466212,0.978019,0.000527,10
503_wind,tvae,mlp,0.005818,0.000107,0.006139,0.000155,5.534751,1.881867,0.948153,0.001111,10
503_wind,tvae,xgboost,0.005317,8.9e-05,0.005572,9.4e-05,4.826845,0.886207,0.948153,0.001111,10
623_fri_c4_1000_10,ada,mlp,0.003671,0.000263,0.004222,0.000273,16.70084,6.444935,0.987728,0.00025,10
623_fri_c4_1000_10,ada,xgboost,0.001485,6.9e-05,0.001745,7e-05,18.288774,3.558971,0.987728,0.00025,10
623_fri_c4_1000_10,c_mixup,mlp,0.003671,0.000263,0.006273,0.000632,78.123983,19.158022,0.976339,0.002674,10
623_fri_c4_1000_10,c_mixup,xgboost,0.001485,6.9e-05,0.00351,0.000424,141.50844,31.777518,0.976339,0.002674,10
623_fri_c4_1000_10,crda,mlp,0.003671,0.000263,0.002406,0.000158,-33.277753,3.794738,0.991522,0.00176,10
623_fri_c4_1000_10,crda,xgboost,0.001485,6.9e-05,0.00151,5.4e-05,2.262607,1.80857,0.989547,0.001406,10
623_fri_c4_1000_10,ctgan,mlp,0.003671,0.000263,0.010604,0.000821,198.932602,27.180428,0.913777,0.003189,10
623_fri_c4_1000_10,ctgan,xgboost,0.001485,6.9e-05,0.0038,0.000267,164.111137,25.760438,0.913777,0.003189,10
623_fri_c4_1000_10,tabddpm,mlp,0.003671,0.000263,0.002908,0.000113,-19.186604,2.709378,0.983252,0.000609,10
623_fri_c4_1000_10,tabddpm,xgboost,0.001485,6.9e-05,0.001811,5.5e-05,25.048928,8.157082,0.983252,0.000609,10
623_fri_c4_1000_10,tvae,mlp,0.003671,0.000263,0.006286,0.00076,71.608414,15.361274,0.866705,0.003682,10
623_fri_c4_1000_10,tvae,xgboost,0.001485,6.9e-05,0.00317,0.000283,116.501313,20.162839,0.866705,0.003682,10
ConcreteCompressiveStrength,ada,mlp,0.004883,0.00021,0.004697,0.000204,-3.772237,1.473231,0.968219,0.000598,10
ConcreteCompressiveStrength,ada,xgboost,0.002625,0.000197,0.002621,0.000201,-0.139814,1.396378,0.968219,0.000598,10
ConcreteCompressiveStrength,c_mixup,mlp,0.004883,0.00021,0.004645,0.000231,-4.753079,2.866226,0.961238,0.001579,10
ConcreteCompressiveStrength,c_mixup,xgboost,0.002625,0.000197,0.002545,0.000187,-2.765518,1.688516,0.961238,0.001579,10
ConcreteCompressiveStrength,crda,mlp,0.004883,0.00021,0.004153,0.000244,-15.356977,2.266338,0.982922,0.002694,10
ConcreteCompressiveStrength,crda,xgboost,0.002625,0.000197,0.002582,0.000203,-1.733958,1.858932,0.982728,0.001709,10
ConcreteCompressiveStrength,ctgan,mlp,0.004883,0.00021,0.011694,0.000813,142.29471,17.551173,0.899236,0.003042,10
ConcreteCompressiveStrength,ctgan,xgboost,0.002625,0.000197,0.003276,0.000217,26.057794,4.301373,0.899236,0.003042,10
ConcreteCompressiveStrength,tabddpm,mlp,0.004883,0.00021,0.004567,0.00018,-5.923179,2.929986,0.934878,0.000552,10
ConcreteCompressiveStrength,tabddpm,xgboost,0.002625,0.000197,0.002595,0.000213,-1.12527,3.012495,0.934878,0.000552,10
ConcreteCompressiveStrength,tvae,mlp,0.004883,0.00021,0.006632,0.000418,36.798893,8.232914,0.865315,0.002671,10
ConcreteCompressiveStrength,tvae,xgboost,0.002625,0.000197,0.00285,0.000243,7.933784,2.684884,0.865315,0.002671,10
EnergyEfficiency,ada,mlp,0.001475,0.000102,0.001119,7.1e-05,-22.85846,4.13048,0.973573,0.000371,10
EnergyEfficiency,ada,xgboost,0.000928,9.4e-05,0.000721,6.4e-05,-20.656581,3.503999,0.973573,0.000371,10
EnergyEfficiency,c_mixup,mlp,0.001475,0.000102,0.001567,0.000166,11.94714,14.165477,0.955291,0.001792,10
EnergyEfficiency,c_mixup,xgboost,0.000928,9.4e-05,0.000707,5.6e-05,-17.97177,9.075581,0.955291,0.001792,10
EnergyEfficiency,crda,mlp,0.001475,0.000102,0.000974,8.6e-05,-32.491409,5.362738,0.984091,0.002206,10
EnergyEfficiency,crda,xgboost,0.000928,9.4e-05,0.000816,7.4e-05,-10.745223,3.755297,0.98151,0.003068,10
EnergyEfficiency,ctgan,mlp,0.001475,0.000102,0.006589,0.000728,360.153916,51.528325,0.894976,0.002569,10
EnergyEfficiency,ctgan,xgboost,0.000928,9.4e-05,0.000658,4.1e-05,-24.697346,6.182468,0.894976,0.002569,10
EnergyEfficiency,tabddpm,mlp,0.001475,0.000102,0.001561,9.7e-05,11.089014,11.06908,0.949577,0.000757,10
EnergyEfficiency,tabddpm,xgboost,0.000928,9.4e-05,0.000909,5.7e-05,3.441319,7.656828,0.949577,0.000757,10
EnergyEfficiency,tvae,mlp,0.001475,0.000102,0.003164,0.000354,127.724345,33.638632,0.887214,0.002893,10
EnergyEfficiency,tvae,xgboost,0.000928,9.4e-05,0.000714,6.4e-05,-19.444906,8.138649,0.887214,0.002893,10
HousePrice,ada,mlp,0.000763,8.3e-05,0.000332,2.7e-05,-52.5844,5.81874,0.974449,0.000317,10
HousePrice,ada,xgboost,0.000634,6.8e-05,0.000321,1.1e-05,-42.949099,7.412465,0.974449,0.000317,10
HousePrice,c_mixup,mlp,0.000763,8.3e-05,0.000357,4.1e-05,-51.017621,5.063143,0.963487,0.001671,10
HousePrice,c_mixup,xgboost,0.000634,6.8e-05,0.000483,1.5e-05,-12.813328,12.645201,0.963487,0.001671,10
HousePrice,crda,mlp,0.000763,8.3e-05,0.000421,3.3e-05,-42.291843,3.354243,0.989162,0.001969,10
HousePrice,crda,xgboost,0.000634,6.8e-05,0.000539,4.6e-05,-12.767845,3.575459,0.985789,0.002074,10
HousePrice,ctgan,mlp,0.000763,8.3e-05,0.021664,0.001294,3032.868261,374.339899,0.926492,0.002689,10
HousePrice,ctgan,xgboost,0.000634,6.8e-05,0.005156,0.00022,824.054153,139.558132,0.926492,0.002689,10
HousePrice,tabddpm,mlp,0.000763,8.3e-05,0.000707,0.000141,-4.335736,16.07087,0.95646,0.000444,10
HousePrice,tabddpm,xgboost,0.000634,6.8e-05,0.000497,6.1e-05,-13.425268,12.934939,0.95646,0.000444,10
HousePrice,tvae,mlp,0.000763,8.3e-05,0.007951,0.00175,992.463704,263.724538,0.839516,0.006732,10
HousePrice,tvae,xgboost,0.000634,6.8e-05,0.002199,0.000386,298.565431,94.799087,0.839516,0.006732,10
