dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
503_wind_sample_700,985772,0.0064904531590113095,0.006052100496141435,-6.753806739384112,0.1611328125,False,"[12, 11, 9, 10]"
503_wind_sample_700,305711,0.006318735570392826,0.006445309582916244,2.0031541297042934,0.5,False,"[12, 9, 11, 10]"
503_wind_sample_700,435829,0.006953897675643884,0.007056244334728348,1.4717883963540945,0.1611328125,False,"[9, 11]"
503_wind_sample_700,117952,0.007887165485952701,0.007513655098924656,-4.7356732617475785,0.0009765625,True,"[12, 11]"
503_wind_sample_700,963395,0.008549732831868436,0.007933836645335217,-7.203689268950203,0.0029296875,True,"[12, 11, 9, 13]"
503_wind_sample_700,152315,0.008848804555497617,0.008495388151211912,-3.9939451941689974,0.0185546875,True,"[12, 11, 9, 10, 8]"
503_wind_sample_700,882371,0.0072147696601851195,0.007355070642174243,1.944635637688858,0.5,False,"[12, 11]"
503_wind_sample_700,359783,0.008057649407881194,0.007448398752497191,-7.561146241831953,0.0009765625,True,"[12, 11, 9, 13]"
503_wind_sample_700,304137,0.010274116327966364,0.009940400194839492,-3.2481249235857828,0.0185546875,True,"[11, 9, 12, 10]"
503_wind_sample_700,122579,0.006699270501421914,0.00650393728612856,-2.9157385905210846,0.0185546875,True,[12]
503_wind_sample_700,610581,0.006282840497580384,0.006588481885981116,4.864700743532156,0.1376953125,False,"[12, 11, 9, 10, 13]"
503_wind_sample_700,448242,0.006517415243697741,0.006341487262043006,-2.6993520448901163,0.0068359375,True,"[12, 11, 9, 13]"
503_wind_sample_700,374564,0.0059626272576079565,0.005881321152815635,-1.3635952958249993,0.0244140625,True,"[12, 11, 13, 9, 10]"
503_wind_sample_700,735831,0.007383791286922771,0.007181862102717791,-2.7347628929139893,0.34765625,False,"[12, 11, 9, 10]"
503_wind_sample_700,736326,0.00860424703741866,0.008251761695528614,-4.096643673259704,0.0029296875,True,"[12, 11, 10, 9]"
