dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
HousePrice_sample_700,985772,0.00016730969727852323,0.00014752441677920038,-11.825543181986616,0.0009765625,True,"[0, 4, 3]"
HousePrice_sample_700,305711,0.00013343973357343806,0.00010941500582394476,-18.00417844529897,0.0966796875,False,"[0, 4, 3]"
HousePrice_sample_700,435829,0.00015947589672597225,0.00015899123413347428,-0.3039096204806168,0.0966796875,False,"[0, 4, 3]"
HousePrice_sample_700,117952,0.00015574319194391973,0.00011460559693998962,-26.413735644215517,0.2783203125,False,[0]
HousePrice_sample_700,963395,0.00017206703409854344,0.0001566644680166309,-8.951491587337664,0.0048828125,True,"[0, 4, 3]"
HousePrice_sample_700,152315,0.0001731621543832488,0.00013743259263567043,-20.633585828748934,0.013671875,True,"[0, 4, 3]"
HousePrice_sample_700,882371,0.0001613128985845926,0.00013517767359518313,-16.20157173959908,0.0068359375,True,"[0, 4, 3, 2]"
HousePrice_sample_700,359783,0.00013281543657392192,0.00011444382560502131,-13.832436532085945,0.2158203125,False,"[0, 4]"
HousePrice_sample_700,304137,0.00020232161341881603,0.00017601660798420576,-13.00157951002376,0.0654296875,False,"[0, 4, 3, 5, 2]"
HousePrice_sample_700,122579,0.00016566138024009272,0.0001392954079415173,-15.915581688600732,0.080078125,False,[0]
HousePrice_sample_700,610581,0.00018955820564347118,0.00015445220532204286,-18.51990537801203,0.0009765625,True,"[0, 4, 3, 5, 1]"
HousePrice_sample_700,448242,0.00017585669835171405,0.00014825909223398204,-15.693235672227111,0.0654296875,False,"[0, 4]"
HousePrice_sample_700,374564,0.0001737374205027431,0.00016331473451383852,-5.99910252998145,0.0322265625,True,"[0, 4]"
HousePrice_sample_700,735831,0.0001424992345948348,0.00012937007774236462,-9.21349289334785,0.0244140625,True,"[0, 4, 3, 5, 2]"
HousePrice_sample_700,736326,0.0001631096111818644,0.00013508007575828827,-17.184478106764466,0.001953125,True,"[0, 4]"
