dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
ParkinsonsTelemonitoring_sample_500,985772,0.0016179166820703178,0.0014875462985526828,-8.057917009101518,0.0068359375,True,"[19, 0, 14, 15, 17]"
ParkinsonsTelemonitoring_sample_500,305711,0.0011993136460944466,0.001056988884279361,-11.867184391553032,0.1875,False,"[19, 0]"
ParkinsonsTelemonitoring_sample_500,435829,0.0014129062904675543,0.0013591979039560235,-3.8012702522371713,0.0009765625,True,"[19, 0, 14, 17]"
ParkinsonsTelemonitoring_sample_500,117952,0.001532830590910415,0.0016445802337626534,7.290410532964731,0.1875,False,[19]
ParkinsonsTelemonitoring_sample_500,963395,0.0012286654438769503,0.0010130056010436168,-17.552364958913227,0.1875,False,"[19, 0, 14, 17, 11]"
ParkinsonsTelemonitoring_sample_500,152315,0.0012570820609315,0.0011673894816934302,-7.134982037020512,0.1162109375,False,"[19, 0, 14, 15]"
ParkinsonsTelemonitoring_sample_500,882371,0.0015535593521781063,0.0013850379769971305,-10.847437205711326,0.080078125,False,"[19, 0]"
ParkinsonsTelemonitoring_sample_500,359783,0.0013951206898071083,0.0014117496253181906,1.19193526643071,0.0048828125,True,"[19, 0, 14, 15]"
ParkinsonsTelemonitoring_sample_500,304137,0.0013827529025817868,0.0012289126146602602,-11.125652864968568,0.0419921875,True,"[0, 14]"
ParkinsonsTelemonitoring_sample_500,122579,0.0016589527009577562,0.0015191926508621905,-8.424595228958529,0.009765625,True,"[19, 0]"
ParkinsonsTelemonitoring_sample_500,610581,0.0015174951920112379,0.0014985947466232424,-1.2455028185588792,0.0654296875,False,"[19, 0, 14]"
ParkinsonsTelemonitoring_sample_500,448242,0.0018606349037188232,0.0018199029158699918,-2.1891445639024067,0.3125,False,"[19, 0, 14, 17]"
ParkinsonsTelemonitoring_sample_500,374564,0.0018013846748183911,0.0018237855561656533,1.243536800351684,0.0322265625,True,"[19, 0, 14, 15]"
ParkinsonsTelemonitoring_sample_500,735831,0.001529811663570167,0.001665017823186705,8.838091827656966,0.1611328125,False,"[19, 0, 14, 15]"
ParkinsonsTelemonitoring_sample_500,736326,0.0015735180150000861,0.0013654501275025593,-13.223101706752013,0.0419921875,True,"[19, 14, 15, 17]"
