dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
294_satellite_image_sample_6435,985772,0.039331136621963504,0.03933245633050993,0.00335537861289671,0.384765625,False,"[18, 14, 22]"
294_satellite_image_sample_6435,305711,0.04110401982977403,0.04113004791803696,0.06332248858072857,0.4609375,False,[18]
294_satellite_image_sample_6435,435829,0.04015605268428992,0.04016704120068653,0.02736453326974656,0.5390625,False,"[18, 14, 22, 30]"
294_satellite_image_sample_6435,117952,0.03991895244076586,0.039926619044358874,0.01920542279857786,0.2158203125,False,"[18, 14, 22, 30]"
294_satellite_image_sample_6435,963395,0.04111187222160993,0.04115868445162041,0.1138654784635907,0.4228515625,False,"[18, 14, 22, 6]"
294_satellite_image_sample_6435,152315,0.039569695237068894,0.039695051202417404,0.31679790455165446,0.384765625,False,"[18, 14, 22]"
294_satellite_image_sample_6435,882371,0.039500846798400435,0.03962262870668345,0.30830201920619116,0.34765625,False,[18]
294_satellite_image_sample_6435,359783,0.04125233612684164,0.04123861178336929,-0.03326925154045856,0.1376953125,False,"[18, 14]"
294_satellite_image_sample_6435,304137,0.039379984668869196,0.039257605415883835,-0.3107651107901633,0.4228515625,False,"[18, 14, 22, 6]"
294_satellite_image_sample_6435,122579,0.03855658133758089,0.03856624182190757,0.025055344617033192,0.34765625,False,"[18, 14]"
294_satellite_image_sample_6435,610581,0.04231625804446236,0.04225909013287434,-0.1350968025763289,0.3125,False,"[18, 14]"
294_satellite_image_sample_6435,448242,0.042681420306242154,0.042629495112469856,-0.12165760511185247,0.3125,False,"[18, 14]"
294_satellite_image_sample_6435,374564,0.04119085804960384,0.04135538977327702,0.39943747584729383,0.0966796875,False,"[18, 14, 22, 6, 30]"
294_satellite_image_sample_6435,735831,0.040200533513525115,0.04018740938556012,-0.032646651220637445,0.5,False,"[18, 14, 22, 30]"
294_satellite_image_sample_6435,736326,0.041112642088522104,0.04111341192794175,0.0018725126397496062,0.3125,False,[18]
