dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
ParkinsonsTelemonitoring_sample_5875,985772,0.0046838856637299395,0.004683955121384925,0.001482906714035552,0.5771484375,False,"[19, 0, 14]"
ParkinsonsTelemonitoring_sample_5875,305711,0.004466940752091543,0.004467826406066064,0.01982685743271833,0.384765625,False,[19]
ParkinsonsTelemonitoring_sample_5875,435829,0.004911126966681166,0.004911255673315703,0.0026207148666856864,0.4228515625,False,"[19, 0, 14]"
ParkinsonsTelemonitoring_sample_5875,117952,0.004209959401446702,0.004217010208671884,0.1674792213615766,0.384765625,False,"[19, 0, 14]"
ParkinsonsTelemonitoring_sample_5875,963395,0.004581182896890874,0.004574307595076497,-0.15007699908777847,0.34765625,False,"[19, 0, 14, 17, 15]"
ParkinsonsTelemonitoring_sample_5875,152315,0.004644404818762964,0.004645579738355464,0.0252975276348283,0.5,False,"[19, 0]"
ParkinsonsTelemonitoring_sample_5875,882371,0.0045528579203554355,0.004553978563093674,0.02461405029198233,0.3125,False,"[19, 0]"
ParkinsonsTelemonitoring_sample_5875,359783,0.00493843637880641,0.0049380017796284165,-0.008800339715997252,0.4228515625,False,"[19, 0, 15, 14, 17]"
ParkinsonsTelemonitoring_sample_5875,304137,0.004910263600045726,0.004910131415178255,-0.002692011635991125,0.34765625,False,"[19, 0, 14]"
ParkinsonsTelemonitoring_sample_5875,122579,0.004505589964196332,0.004512092998598899,0.1443325836182093,0.5390625,False,[19]
ParkinsonsTelemonitoring_sample_5875,610581,0.004918517012655637,0.004907103026786463,-0.23206153073791974,0.4609375,False,"[19, 0, 15, 14, 17]"
ParkinsonsTelemonitoring_sample_5875,448242,0.004555846898473365,0.004553740857208973,-0.046227217712205844,0.34765625,False,[19]
ParkinsonsTelemonitoring_sample_5875,374564,0.00447281583485504,0.004475781856522584,0.06631217955433287,0.5771484375,False,"[19, 0]"
ParkinsonsTelemonitoring_sample_5875,735831,0.004817919969910039,0.004816115961575107,-0.03744371733442478,0.3125,False,"[19, 0]"
ParkinsonsTelemonitoring_sample_5875,736326,0.004650830938190767,0.004658959965387694,0.1747865554555988,0.5,False,"[19, 0]"
