dataset,metric,mean,std
ParkinsonsTelemonitoring_sample_1175,mse,0.004750211078194481,0.00041757600063626894
ParkinsonsTelemonitoring_sample_1175,aug_mse,0.004754154557153458,0.0004189656512444983
ParkinsonsTelemonitoring_sample_1175,delta_mse,0.08202320784151082,0.38608573702018595
ParkinsonsTelemonitoring_sample_1175,p_wilcoxon,0.42486979166666666,0.15979079981124875
ParkinsonsTelemonitoring_sample_1175,should_proceed,0.0,0.0
ParkinsonsTelemonitoring_sample_2350,mse,0.004671552178595348,0.0003608821097306852
ParkinsonsTelemonitoring_sample_2350,aug_mse,0.004680564557987512,0.00037082916225926845
ParkinsonsTelemonitoring_sample_2350,delta_mse,0.17929670917517238,0.5393955420486692
ParkinsonsTelemonitoring_sample_2350,p_wilcoxon,0.3333984375,0.0964652635846216
ParkinsonsTelemonitoring_sample_2350,should_proceed,0.0,0.0
ParkinsonsTelemonitoring_sample_3525,mse,0.004651356590576346,0.00035984724625583425
ParkinsonsTelemonitoring_sample_3525,aug_mse,0.004650358372811783,0.0003563438257826693
ParkinsonsTelemonitoring_sample_3525,delta_mse,-0.015150466051282155,0.2395372597048601
ParkinsonsTelemonitoring_sample_3525,p_wilcoxon,0.35520833333333335,0.10309433400844152
ParkinsonsTelemonitoring_sample_3525,should_proceed,0.0,0.0
ParkinsonsTelemonitoring_sample_4700,mse,0.004617552580092689,0.0002865210276444042
ParkinsonsTelemonitoring_sample_4700,aug_mse,0.004619635992064239,0.0002853070024049461
ParkinsonsTelemonitoring_sample_4700,delta_mse,0.04687966160315555,0.1880499120931813
ParkinsonsTelemonitoring_sample_4700,p_wilcoxon,0.44928385416666666,0.11094796813384873
ParkinsonsTelemonitoring_sample_4700,should_proceed,0.0,0.0
ParkinsonsTelemonitoring_sample_5875,mse,0.00465470526780613,0.00020374799959112144
ParkinsonsTelemonitoring_sample_5875,aug_mse,0.00465505607779004,0.0002012770320758254
ParkinsonsTelemonitoring_sample_5875,delta_mse,0.009963385380376704,0.10455847541885138
ParkinsonsTelemonitoring_sample_5875,p_wilcoxon,0.42916666666666664,0.08872998126753914
ParkinsonsTelemonitoring_sample_5875,should_proceed,0.0,0.0
