dataset,metric,mean,std
anm_data_sample_5000,mse,0.0017683029866731514,0.0
anm_data_sample_5000,aug_mse,0.001671612463447482,0.0
anm_data_sample_5000,delta_mse,-5.46798393456208,0.0
anm_data_sample_5000,p_wilcoxon,0.0048828125,0.0
anm_data_sample_5000,should_proceed,1.0,0.0
anm_data_sample_10000,mse,0.0015645312161028083,0.0
anm_data_sample_10000,aug_mse,0.0015116323391168392,0.0
anm_data_sample_10000,delta_mse,-3.381132727906722,0.0
anm_data_sample_10000,p_wilcoxon,0.0419921875,0.0
anm_data_sample_10000,should_proceed,1.0,0.0
anm_data_sample_15000,mse,0.0014292188332736694,0.0
anm_data_sample_15000,aug_mse,0.0014142215596147317,0.0
anm_data_sample_15000,delta_mse,-1.0493336156637338,0.0
anm_data_sample_15000,p_wilcoxon,0.0654296875,0.0
anm_data_sample_15000,should_proceed,0.0,0.0
anm_data_sample_20000,mse,0.0013656367821390945,0.0
anm_data_sample_20000,aug_mse,0.0013498476155252188,0.0
anm_data_sample_20000,delta_mse,-1.156176138514956,0.0
anm_data_sample_20000,p_wilcoxon,0.3125,0.0
anm_data_sample_20000,should_proceed,0.0,0.0
anm_data_sample_30000,mse,0.001363860064594436,0.0
anm_data_sample_30000,aug_mse,0.0013413041117189533,0.0
anm_data_sample_30000,delta_mse,-1.653831904095684,0.0
anm_data_sample_30000,p_wilcoxon,0.0068359375,0.0
anm_data_sample_30000,should_proceed,0.0,0.0
anm_data_sample_40000,mse,0.0013792000878525847,0.0
anm_data_sample_40000,aug_mse,0.0013570306248751178,0.0
anm_data_sample_40000,delta_mse,-1.6074145566496323,0.0
anm_data_sample_40000,p_wilcoxon,0.2783203125,0.0
anm_data_sample_40000,should_proceed,0.0,0.0
anm_data_sample_50000,mse,0.0013453904980178161,0.0
anm_data_sample_50000,aug_mse,0.0013152629351821743,0.0
anm_data_sample_50000,delta_mse,-2.239317349128689,0.0
anm_data_sample_50000,p_wilcoxon,0.384765625,0.0
anm_data_sample_50000,should_proceed,0.0,0.0
