dataset,metric,mean,std
anm_data_sample_5000,mse,0.002149274594048082,0.0
anm_data_sample_5000,aug_mse,0.0019900058412327453,0.0
anm_data_sample_5000,delta_mse,-7.41034920602489,0.0
anm_data_sample_5000,p_wilcoxon,0.0009765625,0.0
anm_data_sample_5000,should_proceed,1.0,0.0
anm_data_sample_10000,mse,0.0017323051250158117,0.0
anm_data_sample_10000,aug_mse,0.001621638777990499,0.0
anm_data_sample_10000,delta_mse,-6.3883865161631155,0.0
anm_data_sample_10000,p_wilcoxon,0.0009765625,0.0
anm_data_sample_10000,should_proceed,1.0,0.0
anm_data_sample_15000,mse,0.0015919758944562131,0.0
anm_data_sample_15000,aug_mse,0.0015270993150759932,0.0
anm_data_sample_15000,delta_mse,-4.075223727076628,0.0
anm_data_sample_15000,p_wilcoxon,0.0009765625,0.0
anm_data_sample_15000,should_proceed,1.0,0.0
anm_data_sample_20000,mse,0.0014615305673419936,0.0
anm_data_sample_20000,aug_mse,0.001415935239306401,0.0
anm_data_sample_20000,delta_mse,-3.1196971896738646,0.0
anm_data_sample_20000,p_wilcoxon,0.0009765625,0.0
anm_data_sample_20000,should_proceed,1.0,0.0
anm_data_sample_30000,mse,0.0014289652033009806,0.0
anm_data_sample_30000,aug_mse,0.0013875415627768936,0.0
anm_data_sample_30000,delta_mse,-2.8988557893779565,0.0
anm_data_sample_30000,p_wilcoxon,0.0009765625,0.0
anm_data_sample_30000,should_proceed,1.0,0.0
anm_data_sample_40000,mse,0.0014345033298153,0.0
anm_data_sample_40000,aug_mse,0.00139180925299988,0.0
anm_data_sample_40000,delta_mse,-2.9762270974245157,0.0
anm_data_sample_40000,p_wilcoxon,0.0009765625,0.0
anm_data_sample_40000,should_proceed,1.0,0.0
anm_data_sample_50000,mse,0.0013731263053785394,0.0
anm_data_sample_50000,aug_mse,0.0013488747207804567,0.0
anm_data_sample_50000,delta_mse,-1.7661583281224156,0.0
anm_data_sample_50000,p_wilcoxon,0.0009765625,0.0
anm_data_sample_50000,should_proceed,1.0,0.0
