Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,3840,68640,72480,0.053,1.000
Rand,0,72480,72480,0.0,1.056
LRU,0,72480,72480,0.0,1.056
Marker,0,72480,72480,0.0,1.056
OnlineMin,0,72480,72480,0.0,1.056
Predict[PLECO],3840,68640,72480,0.053,1.000
PredMark[PLECO],0,72480,72480,0.0,1.056
LMarker[PLECO],0,72480,72480,0.0,1.056
LNonMarker[PLECO],0,72480,72480,0.0,1.056
FollowerRobust[PLECOState],3840,68640,72480,0.053,1.000
PredictiveOnlineMin[PLECO]-msf-100,3840,68640,72480,0.053,1.000
RPB-OnlineMin[PLECO]-msf-100-pb-0,3840,68640,72480,0.053,1.000
RPB-OnlineMin[PLECO]-msf-100-pb-1,3840,68640,72480,0.053,1.000
RPB-OnlineMin[PLECO]-msf-100-pb-2,3840,68640,72480,0.053,1.000
RPB-OnlineMin[PLECO]-msf-100-pb-4,3840,68640,72480,0.053,1.000
RPB-OnlineMin[PLECO]-msf-100-pb-8,3840,68640,72480,0.053,1.000
RPB-OnlineMin[PLECO]-msf-100-pb-16,3840,68640,72480,0.053,1.000
RPB-OnlineMin-CF[PLECO]-msf-100-pb-0,3840,68640,72480,0.053,1.000
RPB-OnlineMin-CF[PLECO]-msf-100-pb-1,3840,68640,72480,0.053,1.000
RPB-OnlineMin-CF[PLECO]-msf-100-pb-2,3840,68640,72480,0.053,1.000
RPB-OnlineMin-CF[PLECO]-msf-100-pb-4,3840,68640,72480,0.053,1.000
RPB-OnlineMin-CF[PLECO]-msf-100-pb-8,3840,68640,72480,0.053,1.000
RPB-OnlineMin-CF[PLECO]-msf-100-pb-16,3840,68640,72480,0.053,1.000
RPB-OM-HC[PLECO]-msf-100-pb-0,3840,68640,72480,0.053,1.000
RPB-OM-HC[PLECO]-msf-100-pb-1,3840,68640,72480,0.053,1.000
RPB-OM-HC[PLECO]-msf-100-pb-2,3840,68640,72480,0.053,1.000
RPB-OM-HC[PLECO]-msf-100-pb-4,3840,68640,72480,0.053,1.000
RPB-OM-HC[PLECO]-msf-100-pb-8,3840,68640,72480,0.053,1.000
RPB-OM-HC[PLECO]-msf-100-pb-16,3840,68640,72480,0.053,1.000
RPB-OM-S[PLECO]-msf-100-pb-0,3840,68640,72480,0.053,1.000
RPB-OM-S[PLECO]-msf-100-pb-1,3840,68640,72480,0.053,1.000
RPB-OM-S[PLECO]-msf-100-pb-2,3840,68640,72480,0.053,1.000
RPB-OM-S[PLECO]-msf-100-pb-4,3840,68640,72480,0.053,1.000
RPB-OM-S[PLECO]-msf-100-pb-8,3840,68640,72480,0.053,1.000
RPB-OM-S[PLECO]-msf-100-pb-16,3840,68640,72480,0.053,1.000
"CombDet[Predict[PLECO], LRU]",3840,68640,72480,0.053,1.000
"CombineRandom[Predict[PLECO], LRU]",3840,68640,72480,0.053,1.000
