Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,165176,205512,370688,0.4456,1.000
Rand,76435,294253,370688,0.2062,1.432
LRU,100408,270280,370688,0.2709,1.315
Marker,95204,275484,370688,0.2568,1.340
OnlineMin,73558,297130,370688,0.1984,1.446
Predict[POPU],110263,260425,370688,0.2975,1.267
PredMark[POPU],116627,254061,370688,0.3146,1.236
LMarker[POPU],116596,254092,370688,0.3145,1.236
LNonMarker[POPU],118533,252155,370688,0.3198,1.227
FollowerRobust[POPUState],114420,256268,370688,0.3087,1.247
PredictiveOnlineMin[POPU]-msf-100,162055,208633,370688,0.4372,1.015
RPB-OnlineMin[POPU]-msf-100-pb-0,162098,208590,370688,0.4373,1.015
RPB-OnlineMin[POPU]-msf-100-pb-1,162242,208446,370688,0.4377,1.014
RPB-OnlineMin[POPU]-msf-100-pb-2,162244,208444,370688,0.4377,1.014
RPB-OnlineMin[POPU]-msf-100-pb-4,162243,208445,370688,0.4377,1.014
RPB-OnlineMin[POPU]-msf-100-pb-8,162243,208445,370688,0.4377,1.014
RPB-OnlineMin[POPU]-msf-100-pb-16,162243,208445,370688,0.4377,1.014
RPB-OM-HC[POPU]-msf-100-pb-0,162291,208397,370688,0.4378,1.014
RPB-OM-HC[POPU]-msf-100-pb-1,162251,208437,370688,0.4377,1.014
RPB-OM-HC[POPU]-msf-100-pb-2,162243,208445,370688,0.4377,1.014
RPB-OM-HC[POPU]-msf-100-pb-4,162243,208445,370688,0.4377,1.014
RPB-OM-HC[POPU]-msf-100-pb-8,162243,208445,370688,0.4377,1.014
RPB-OM-HC[POPU]-msf-100-pb-16,162243,208445,370688,0.4377,1.014
"CombDet[Predict[POPU], LRU]",119039,251649,370688,0.3211,1.224
"CombineRandom[Predict[POPU], LRU]",114642,256046,370688,0.3093,1.246
