Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,53944,90312,144256,0.3739,1.000
Rand,12065,132191,144256,0.0836,1.464
LRU,5787,138469,144256,0.0401,1.533
Marker,6953,137303,144256,0.0482,1.520
OnlineMin,12522,131734,144256,0.0868,1.459
Predict[PLECO],33411,110845,144256,0.2316,1.227
PredMark[PLECO],7966,136290,144256,0.0552,1.509
LMarker[PLECO],7986,136270,144256,0.0554,1.509
LNonMarker[PLECO],8930,135326,144256,0.0619,1.498
FollowerRobust[PLECOState],8647,135609,144256,0.0599,1.502
PredictiveOnlineMin[PLECO]-msf-100,22061,122195,144256,0.1529,1.353
RPB-OnlineMin[PLECO]-msf-100-pb-0,21922,122334,144256,0.152,1.355
RPB-OnlineMin[PLECO]-msf-100-pb-1,24103,120153,144256,0.1671,1.330
RPB-OnlineMin[PLECO]-msf-100-pb-2,24626,119630,144256,0.1707,1.325
RPB-OnlineMin[PLECO]-msf-100-pb-4,24798,119458,144256,0.1719,1.323
RPB-OnlineMin[PLECO]-msf-100-pb-8,24853,119403,144256,0.1723,1.322
RPB-OnlineMin[PLECO]-msf-100-pb-16,24853,119403,144256,0.1723,1.322
RPB-OnlineMin-CF[PLECO]-msf-100-pb-0,22115,122141,144256,0.1533,1.352
RPB-OnlineMin-CF[PLECO]-msf-100-pb-1,22103,122153,144256,0.1532,1.353
RPB-OnlineMin-CF[PLECO]-msf-100-pb-2,21871,122385,144256,0.1516,1.355
RPB-OnlineMin-CF[PLECO]-msf-100-pb-4,21942,122314,144256,0.1521,1.354
RPB-OnlineMin-CF[PLECO]-msf-100-pb-8,22022,122234,144256,0.1527,1.353
RPB-OnlineMin-CF[PLECO]-msf-100-pb-16,21918,122338,144256,0.1519,1.355
RPB-OM-HC[PLECO]-msf-100-pb-0,22286,121970,144256,0.1545,1.351
RPB-OM-HC[PLECO]-msf-100-pb-1,24108,120148,144256,0.1671,1.330
RPB-OM-HC[PLECO]-msf-100-pb-2,24641,119615,144256,0.1708,1.324
RPB-OM-HC[PLECO]-msf-100-pb-4,24820,119436,144256,0.1721,1.322
RPB-OM-HC[PLECO]-msf-100-pb-8,24856,119400,144256,0.1723,1.322
RPB-OM-HC[PLECO]-msf-100-pb-16,24853,119403,144256,0.1723,1.322
RPB-OM-S[PLECO]-msf-100-pb-0,22011,122245,144256,0.1526,1.354
RPB-OM-S[PLECO]-msf-100-pb-1,24112,120144,144256,0.1671,1.330
RPB-OM-S[PLECO]-msf-100-pb-2,24641,119615,144256,0.1708,1.324
RPB-OM-S[PLECO]-msf-100-pb-4,24807,119449,144256,0.172,1.323
RPB-OM-S[PLECO]-msf-100-pb-8,24849,119407,144256,0.1723,1.322
RPB-OM-S[PLECO]-msf-100-pb-16,24853,119403,144256,0.1723,1.322
"CombDet[Predict[PLECO], LRU]",33411,110845,144256,0.2316,1.227
"CombineRandom[Predict[PLECO], LRU]",33011,111245,144256,0.2288,1.232
