Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,11039,79393,90432,0.1221,1.000
Rand,3706,86726,90432,0.041,1.092
LRU,2601,87831,90432,0.0288,1.106
Marker,3611,86821,90432,0.0399,1.094
OnlineMin,3483,86949,90432,0.0385,1.095
Predict[POPU],340,90092,90432,0.0038,1.135
PredMark[POPU],3748,86684,90432,0.0414,1.092
LMarker[POPU],3745,86687,90432,0.0414,1.092
LNonMarker[POPU],3549,86883,90432,0.0392,1.094
FollowerRobust[POPUState],3687,86745,90432,0.0408,1.093
PredictiveOnlineMin[POPU]-msf-100,842,89590,90432,0.0093,1.128
RPB-OnlineMin[POPU]-msf-100-pb-0,826,89606,90432,0.0091,1.129
RPB-OnlineMin[POPU]-msf-100-pb-1,862,89570,90432,0.0095,1.128
RPB-OnlineMin[POPU]-msf-100-pb-2,877,89555,90432,0.0097,1.128
RPB-OnlineMin[POPU]-msf-100-pb-4,877,89555,90432,0.0097,1.128
RPB-OnlineMin[POPU]-msf-100-pb-8,878,89554,90432,0.0097,1.128
RPB-OnlineMin[POPU]-msf-100-pb-16,878,89554,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-0,824,89608,90432,0.0091,1.129
RPB-OM-HC[POPU]-msf-100-pb-1,860,89572,90432,0.0095,1.128
RPB-OM-HC[POPU]-msf-100-pb-2,875,89557,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-4,877,89555,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-8,878,89554,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-16,878,89554,90432,0.0097,1.128
"CombDet[Predict[POPU], LRU]",2473,87959,90432,0.0273,1.108
"CombineRandom[Predict[POPU], LRU]",626,89806,90432,0.0069,1.131
