Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,165176,205512,370688,0.4456,1.000
Rand,76135,294553,370688,0.2054,1.433
LRU,100408,270280,370688,0.2709,1.315
Marker,95027,275661,370688,0.2564,1.341
OnlineMin,70705,299983,370688,0.1907,1.460
Predict[PLECO],33680,337008,370688,0.0909,1.640
PredMark[PLECO],96372,274316,370688,0.26,1.335
LMarker[PLECO],96429,274259,370688,0.2601,1.335
LNonMarker[PLECO],98708,271980,370688,0.2663,1.323
FollowerRobust[PLECOState],93723,276965,370688,0.2528,1.348
PredictiveOnlineMin[PLECO]-msf-100,131027,239661,370688,0.3535,1.166
RPB-OnlineMin[PLECO]-msf-100-pb-0,130854,239834,370688,0.353,1.167
RPB-OnlineMin[PLECO]-msf-100-pb-1,138173,232515,370688,0.3727,1.131
RPB-OnlineMin[PLECO]-msf-100-pb-2,138607,232081,370688,0.3739,1.129
RPB-OnlineMin[PLECO]-msf-100-pb-4,138623,232065,370688,0.374,1.129
RPB-OnlineMin[PLECO]-msf-100-pb-8,138622,232066,370688,0.374,1.129
RPB-OnlineMin[PLECO]-msf-100-pb-16,138622,232066,370688,0.374,1.129
RPB-OnlineMin-CF[PLECO]-msf-100-pb-0,131010,239678,370688,0.3534,1.166
RPB-OnlineMin-CF[PLECO]-msf-100-pb-1,131063,239625,370688,0.3536,1.166
RPB-OnlineMin-CF[PLECO]-msf-100-pb-2,131272,239416,370688,0.3541,1.165
RPB-OnlineMin-CF[PLECO]-msf-100-pb-4,130727,239961,370688,0.3527,1.168
RPB-OnlineMin-CF[PLECO]-msf-100-pb-8,131928,238760,370688,0.3559,1.162
RPB-OnlineMin-CF[PLECO]-msf-100-pb-16,130888,239800,370688,0.3531,1.167
RPB-OM-HC[PLECO]-msf-100-pb-0,133488,237200,370688,0.3601,1.154
RPB-OM-HC[PLECO]-msf-100-pb-1,138386,232302,370688,0.3733,1.130
RPB-OM-HC[PLECO]-msf-100-pb-2,138607,232081,370688,0.3739,1.129
RPB-OM-HC[PLECO]-msf-100-pb-4,138621,232067,370688,0.374,1.129
RPB-OM-HC[PLECO]-msf-100-pb-8,138622,232066,370688,0.374,1.129
RPB-OM-HC[PLECO]-msf-100-pb-16,138622,232066,370688,0.374,1.129
RPB-OM-S[PLECO]-msf-100-pb-0,131600,239088,370688,0.355,1.163
RPB-OM-S[PLECO]-msf-100-pb-1,138160,232528,370688,0.3727,1.131
RPB-OM-S[PLECO]-msf-100-pb-2,138605,232083,370688,0.3739,1.129
RPB-OM-S[PLECO]-msf-100-pb-4,138622,232066,370688,0.374,1.129
RPB-OM-S[PLECO]-msf-100-pb-8,138622,232066,370688,0.374,1.129
RPB-OM-S[PLECO]-msf-100-pb-16,138622,232066,370688,0.374,1.129
"CombDet[Predict[PLECO], LRU]",100385,270303,370688,0.2708,1.315
"CombineRandom[Predict[PLECO], LRU]",93924,276764,370688,0.2534,1.347
