Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,53944,90312,144256,0.3739,1.000
Rand,11991,132265,144256,0.0831,1.465
LRU,5787,138469,144256,0.0401,1.533
Marker,6828,137428,144256,0.0473,1.522
OnlineMin,12674,131582,144256,0.0879,1.457
Predict[POPU],47863,96393,144256,0.3318,1.067
PredMark[POPU],9822,134434,144256,0.0681,1.489
LMarker[POPU],9842,134414,144256,0.0682,1.488
LNonMarker[POPU],10999,133257,144256,0.0762,1.476
FollowerRobust[POPUState],14668,129588,144256,0.1017,1.435
PredictiveOnlineMin[POPU]-msf-100,28789,115467,144256,0.1996,1.279
RPB-OnlineMin[POPU]-msf-100-pb-0,28798,115458,144256,0.1996,1.278
RPB-OnlineMin[POPU]-msf-100-pb-1,29154,115102,144256,0.2021,1.274
RPB-OnlineMin[POPU]-msf-100-pb-2,29222,115034,144256,0.2026,1.274
RPB-OnlineMin[POPU]-msf-100-pb-4,29197,115059,144256,0.2024,1.274
RPB-OnlineMin[POPU]-msf-100-pb-8,29183,115073,144256,0.2023,1.274
RPB-OnlineMin[POPU]-msf-100-pb-16,29183,115073,144256,0.2023,1.274
RPB-OM-HC[POPU]-msf-100-pb-0,28750,115506,144256,0.1993,1.279
RPB-OM-HC[POPU]-msf-100-pb-1,29196,115060,144256,0.2024,1.274
RPB-OM-HC[POPU]-msf-100-pb-2,29225,115031,144256,0.2026,1.274
RPB-OM-HC[POPU]-msf-100-pb-4,29183,115073,144256,0.2023,1.274
RPB-OM-HC[POPU]-msf-100-pb-8,29181,115075,144256,0.2023,1.274
RPB-OM-HC[POPU]-msf-100-pb-16,29183,115073,144256,0.2023,1.274
"CombDet[Predict[POPU], LRU]",47863,96393,144256,0.3318,1.067
"CombineRandom[Predict[POPU], LRU]",47375,96881,144256,0.3284,1.073
