Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,16938,4022,20960,0.8081,1.000
Rand,12312,8648,20960,0.5874,2.150
LRU,13375,7585,20960,0.6381,1.886
Marker,13265,7695,20960,0.6329,1.913
OnlineMin,12731,8229,20960,0.6074,2.046
Predict[POPU],13256,7704,20960,0.6324,1.915
PredMark[POPU],13654,7306,20960,0.6514,1.817
LMarker[POPU],13643,7317,20960,0.6509,1.819
LNonMarker[POPU],13659,7301,20960,0.6517,1.815
FollowerRobust[POPUState],13278,7682,20960,0.6335,1.910
PredictiveOnlineMin[POPU]-msf-100,13702,7258,20960,0.6537,1.805
RPB-OnlineMin[POPU]-msf-100-pb-0,13687,7273,20960,0.653,1.808
RPB-OnlineMin[POPU]-msf-100-pb-1,13768,7192,20960,0.6569,1.788
RPB-OnlineMin[POPU]-msf-100-pb-2,13785,7175,20960,0.6577,1.784
RPB-OnlineMin[POPU]-msf-100-pb-4,13811,7149,20960,0.6589,1.777
RPB-OnlineMin[POPU]-msf-100-pb-8,13805,7155,20960,0.6586,1.779
RPB-OnlineMin[POPU]-msf-100-pb-16,13802,7158,20960,0.6585,1.780
RPB-OM-HC[POPU]-msf-100-pb-0,13740,7220,20960,0.6555,1.795
RPB-OM-HC[POPU]-msf-100-pb-1,13769,7191,20960,0.6569,1.788
RPB-OM-HC[POPU]-msf-100-pb-2,13779,7181,20960,0.6574,1.785
RPB-OM-HC[POPU]-msf-100-pb-4,13804,7156,20960,0.6586,1.779
RPB-OM-HC[POPU]-msf-100-pb-8,13803,7157,20960,0.6585,1.779
RPB-OM-HC[POPU]-msf-100-pb-16,13802,7158,20960,0.6585,1.780
"CombDet[Predict[POPU], LRU]",13677,7283,20960,0.6525,1.811
"CombineRandom[Predict[POPU], LRU]",13284,7676,20960,0.6338,1.909
