Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,9348,18396,27744,0.3369,1.000
Rand,1193,26551,27744,0.043,1.443
LRU,0,27744,27744,0.0,1.508
Marker,327,27417,27744,0.0118,1.490
OnlineMin,1660,26084,27744,0.0598,1.418
Predict[POPU],3879,23865,27744,0.1398,1.297
PredMark[POPU],937,26807,27744,0.0338,1.457
LMarker[POPU],940,26804,27744,0.0339,1.457
LNonMarker[POPU],933,26811,27744,0.0336,1.457
FollowerRobust[POPUState],1161,26583,27744,0.0418,1.445
PredictiveOnlineMin[POPU]-msf-100,6958,20786,27744,0.2508,1.130
RPB-OnlineMin[POPU]-msf-100-pb-0,6981,20763,27744,0.2516,1.129
RPB-OnlineMin[POPU]-msf-100-pb-1,7565,20179,27744,0.2727,1.097
RPB-OnlineMin[POPU]-msf-100-pb-2,7594,20150,27744,0.2737,1.095
RPB-OnlineMin[POPU]-msf-100-pb-4,7598,20146,27744,0.2739,1.095
RPB-OnlineMin[POPU]-msf-100-pb-8,7598,20146,27744,0.2739,1.095
RPB-OnlineMin[POPU]-msf-100-pb-16,7598,20146,27744,0.2739,1.095
RPB-OM-HC[POPU]-msf-100-pb-0,7135,20609,27744,0.2572,1.120
RPB-OM-HC[POPU]-msf-100-pb-1,7579,20165,27744,0.2732,1.096
RPB-OM-HC[POPU]-msf-100-pb-2,7598,20146,27744,0.2739,1.095
RPB-OM-HC[POPU]-msf-100-pb-4,7598,20146,27744,0.2739,1.095
RPB-OM-HC[POPU]-msf-100-pb-8,7598,20146,27744,0.2739,1.095
RPB-OM-HC[POPU]-msf-100-pb-16,7598,20146,27744,0.2739,1.095
"CombDet[Predict[POPU], LRU]",3879,23865,27744,0.1398,1.297
"CombineRandom[Predict[POPU], LRU]",3879,23865,27744,0.1398,1.297
