Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,11039,79393,90432,0.1221,1.000
Rand,3677,86755,90432,0.0407,1.093
LRU,2601,87831,90432,0.0288,1.106
Marker,3738,86694,90432,0.0413,1.092
OnlineMin,3394,87038,90432,0.0375,1.096
Predict[POPU],340,90092,90432,0.0038,1.135
PredMark[POPU],3748,86684,90432,0.0414,1.092
LMarker[POPU],3748,86684,90432,0.0414,1.092
LNonMarker[POPU],3534,86898,90432,0.0391,1.095
FollowerRobust[POPUState],3797,86635,90432,0.042,1.091
PredictiveOnlineMin[POPU]-msf-100,825,89607,90432,0.0091,1.129
RPB-OnlineMin[POPU]-msf-100-pb-0,835,89597,90432,0.0092,1.129
RPB-OnlineMin[POPU]-msf-100-pb-1,854,89578,90432,0.0094,1.128
RPB-OnlineMin[POPU]-msf-100-pb-2,873,89559,90432,0.0097,1.128
RPB-OnlineMin[POPU]-msf-100-pb-4,877,89555,90432,0.0097,1.128
RPB-OnlineMin[POPU]-msf-100-pb-8,878,89554,90432,0.0097,1.128
RPB-OnlineMin[POPU]-msf-100-pb-16,878,89554,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-0,840,89592,90432,0.0093,1.128
RPB-OM-HC[POPU]-msf-100-pb-1,870,89562,90432,0.0096,1.128
RPB-OM-HC[POPU]-msf-100-pb-2,872,89560,90432,0.0096,1.128
RPB-OM-HC[POPU]-msf-100-pb-4,876,89556,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-8,878,89554,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-16,878,89554,90432,0.0097,1.128
"CombDet[Predict[POPU], LRU]",2473,87959,90432,0.0273,1.108
"CombineRandom[Predict[POPU], LRU]",641,89791,90432,0.0071,1.131
