Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,24274,73486,97760,0.2483,1.000
Rand,2079,95681,97760,0.0213,1.302
LRU,0,97760,97760,0.0,1.330
Marker,22,97738,97760,0.0002,1.330
OnlineMin,1818,95942,97760,0.0186,1.306
Predict[POPU],463,97297,97760,0.0047,1.324
PredMark[POPU],91,97669,97760,0.0009,1.329
LMarker[POPU],91,97669,97760,0.0009,1.329
LNonMarker[POPU],110,97650,97760,0.0011,1.329
FollowerRobust[POPUState],636,97124,97760,0.0065,1.322
PredictiveOnlineMin[POPU]-msf-100,3386,94374,97760,0.0346,1.284
RPB-OnlineMin[POPU]-msf-100-pb-0,3375,94385,97760,0.0345,1.284
RPB-OnlineMin[POPU]-msf-100-pb-1,3282,94478,97760,0.0336,1.286
RPB-OnlineMin[POPU]-msf-100-pb-2,3213,94547,97760,0.0329,1.287
RPB-OnlineMin[POPU]-msf-100-pb-4,3163,94597,97760,0.0324,1.287
RPB-OnlineMin[POPU]-msf-100-pb-8,3163,94597,97760,0.0324,1.287
RPB-OnlineMin[POPU]-msf-100-pb-16,3163,94597,97760,0.0324,1.287
RPB-OM-HC[POPU]-msf-100-pb-0,3382,94378,97760,0.0346,1.284
RPB-OM-HC[POPU]-msf-100-pb-1,3272,94488,97760,0.0335,1.286
RPB-OM-HC[POPU]-msf-100-pb-2,3202,94558,97760,0.0328,1.287
RPB-OM-HC[POPU]-msf-100-pb-4,3163,94597,97760,0.0324,1.287
RPB-OM-HC[POPU]-msf-100-pb-8,3163,94597,97760,0.0324,1.287
RPB-OM-HC[POPU]-msf-100-pb-16,3163,94597,97760,0.0324,1.287
"CombDet[Predict[POPU], LRU]",463,97297,97760,0.0047,1.324
"CombineRandom[Predict[POPU], LRU]",463,97297,97760,0.0047,1.324
