Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,27637,61867,89504,0.3088,1.000
Rand,8646,80858,89504,0.0966,1.307
LRU,8493,81011,89504,0.0949,1.309
Marker,8441,81063,89504,0.0943,1.310
OnlineMin,9151,80353,89504,0.1022,1.299
Predict[POPU],9701,79803,89504,0.1084,1.290
PredMark[POPU],9862,79642,89504,0.1102,1.287
LMarker[POPU],9865,79639,89504,0.1102,1.287
LNonMarker[POPU],10163,79341,89504,0.1135,1.282
FollowerRobust[POPUState],10594,78910,89504,0.1184,1.275
PredictiveOnlineMin[POPU]-msf-100,16070,73434,89504,0.1795,1.187
RPB-OnlineMin[POPU]-msf-100-pb-0,16101,73403,89504,0.1799,1.186
RPB-OnlineMin[POPU]-msf-100-pb-1,15785,73719,89504,0.1764,1.192
RPB-OnlineMin[POPU]-msf-100-pb-2,15747,73757,89504,0.1759,1.192
RPB-OnlineMin[POPU]-msf-100-pb-4,15734,73770,89504,0.1758,1.192
RPB-OnlineMin[POPU]-msf-100-pb-8,15734,73770,89504,0.1758,1.192
RPB-OnlineMin[POPU]-msf-100-pb-16,15734,73770,89504,0.1758,1.192
RPB-OM-HC[POPU]-msf-100-pb-0,16024,73480,89504,0.179,1.188
RPB-OM-HC[POPU]-msf-100-pb-1,15775,73729,89504,0.1762,1.192
RPB-OM-HC[POPU]-msf-100-pb-2,15750,73754,89504,0.176,1.192
RPB-OM-HC[POPU]-msf-100-pb-4,15734,73770,89504,0.1758,1.192
RPB-OM-HC[POPU]-msf-100-pb-8,15734,73770,89504,0.1758,1.192
RPB-OM-HC[POPU]-msf-100-pb-16,15734,73770,89504,0.1758,1.192
"CombDet[Predict[POPU], LRU]",9323,80181,89504,0.1042,1.296
"CombineRandom[Predict[POPU], LRU]",9881,79623,89504,0.1104,1.287
