Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,3840,68640,72480,0.053,1.000
Rand,0,72480,72480,0.0,1.056
LRU,0,72480,72480,0.0,1.056
Marker,0,72480,72480,0.0,1.056
OnlineMin,0,72480,72480,0.0,1.056
Predict[POPU],3840,68640,72480,0.053,1.000
PredMark[POPU],0,72480,72480,0.0,1.056
LMarker[POPU],0,72480,72480,0.0,1.056
LNonMarker[POPU],0,72480,72480,0.0,1.056
FollowerRobust[POPUState],960,71520,72480,0.0132,1.042
PredictiveOnlineMin[POPU]-msf-100,2818,69662,72480,0.0389,1.015
RPB-OnlineMin[POPU]-msf-100-pb-0,2808,69672,72480,0.0387,1.015
RPB-OnlineMin[POPU]-msf-100-pb-1,3116,69364,72480,0.043,1.011
RPB-OnlineMin[POPU]-msf-100-pb-2,3333,69147,72480,0.046,1.007
RPB-OnlineMin[POPU]-msf-100-pb-4,3456,69024,72480,0.0477,1.006
RPB-OnlineMin[POPU]-msf-100-pb-8,3456,69024,72480,0.0477,1.006
RPB-OnlineMin[POPU]-msf-100-pb-16,3456,69024,72480,0.0477,1.006
RPB-OM-HC[POPU]-msf-100-pb-0,3456,69024,72480,0.0477,1.006
RPB-OM-HC[POPU]-msf-100-pb-1,3456,69024,72480,0.0477,1.006
RPB-OM-HC[POPU]-msf-100-pb-2,3456,69024,72480,0.0477,1.006
RPB-OM-HC[POPU]-msf-100-pb-4,3456,69024,72480,0.0477,1.006
RPB-OM-HC[POPU]-msf-100-pb-8,3456,69024,72480,0.0477,1.006
RPB-OM-HC[POPU]-msf-100-pb-16,3456,69024,72480,0.0477,1.006
"CombDet[Predict[POPU], LRU]",3840,68640,72480,0.053,1.000
"CombineRandom[Predict[POPU], LRU]",3840,68640,72480,0.053,1.000
