Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,53944,90312,144256,0.3739,1.000
Rand,12043,132213,144256,0.0835,1.464
LRU,5787,138469,144256,0.0401,1.533
Marker,6863,137393,144256,0.0476,1.521
OnlineMin,12558,131698,144256,0.0871,1.458
Predict[PLECO],33411,110845,144256,0.2316,1.227
PredMark[PLECO],7966,136290,144256,0.0552,1.509
LMarker[PLECO],7986,136270,144256,0.0554,1.509
LNonMarker[PLECO],8938,135318,144256,0.062,1.498
FollowerRobust[PLECOState],8630,135626,144256,0.0598,1.502
PredictiveOnlineMin[PLECO]-msf-100,21943,122313,144256,0.1521,1.354
RPB-OnlineMin[PLECO]-msf-100-pb-0,21990,122266,144256,0.1524,1.354
RPB-OnlineMin[PLECO]-msf-100-pb-1,21967,122289,144256,0.1523,1.354
RPB-OnlineMin[PLECO]-msf-100-pb-2,21954,122302,144256,0.1522,1.354
RPB-OnlineMin[PLECO]-msf-100-pb-4,21998,122258,144256,0.1525,1.354
RPB-OnlineMin[PLECO]-msf-100-pb-8,21960,122296,144256,0.1522,1.354
RPB-OnlineMin[PLECO]-msf-100-pb-16,22047,122209,144256,0.1528,1.353
RPB-OM-A[PLECO]-msf-100-pb-0,22150,122106,144256,0.1535,1.352
RPB-OM-A[PLECO]-msf-100-pb-1,21956,122300,144256,0.1522,1.354
RPB-OM-A[PLECO]-msf-100-pb-2,22085,122171,144256,0.1531,1.353
RPB-OM-A[PLECO]-msf-100-pb-4,22176,122080,144256,0.1537,1.352
RPB-OM-A[PLECO]-msf-100-pb-8,22116,122140,144256,0.1533,1.352
RPB-OM-A[PLECO]-msf-100-pb-16,21857,122399,144256,0.1515,1.355
RPB-OM-B[PLECO]-msf-100-pb-0-c-2.0,22085,122171,144256,0.1531,1.353
RPB-OM-B[PLECO]-msf-100-pb-1-c-2.0,21985,122271,144256,0.1524,1.354
RPB-OM-B[PLECO]-msf-100-pb-4-c-2.0,21931,122325,144256,0.152,1.354
RPB-OM-B[PLECO]-msf-100-pb-16-c-2.0,22057,122199,144256,0.1529,1.353
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.5,22060,122196,144256,0.1529,1.353
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.2,22455,121801,144256,0.1557,1.349
"CombDet[Predict[PLECO], LRU]",33411,110845,144256,0.2316,1.227
"CombineRandom[Predict[PLECO], LRU]",33005,111251,144256,0.2288,1.232
