Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,53944,90312,144256,0.3739,1.000
Rand,11967,132289,144256,0.083,1.465
LRU,5787,138469,144256,0.0401,1.533
Marker,6839,137417,144256,0.0474,1.522
OnlineMin,12340,131916,144256,0.0855,1.461
Predict[POPU],47863,96393,144256,0.3318,1.067
PredMark[POPU],9822,134434,144256,0.0681,1.489
LMarker[POPU],9853,134403,144256,0.0683,1.488
LNonMarker[POPU],11015,133241,144256,0.0764,1.475
FollowerRobust[POPUState],14780,129476,144256,0.1025,1.434
PredictiveOnlineMin[POPU]-msf-100,28747,115509,144256,0.1993,1.279
RPB-OnlineMin[POPU]-msf-100-pb-0,28821,115435,144256,0.1998,1.278
RPB-OnlineMin[POPU]-msf-100-pb-1,28723,115533,144256,0.1991,1.279
RPB-OnlineMin[POPU]-msf-100-pb-2,28768,115488,144256,0.1994,1.279
RPB-OnlineMin[POPU]-msf-100-pb-4,28676,115580,144256,0.1988,1.280
RPB-OnlineMin[POPU]-msf-100-pb-8,28750,115506,144256,0.1993,1.279
RPB-OnlineMin[POPU]-msf-100-pb-16,28709,115547,144256,0.199,1.279
RPB-OM-A[POPU]-msf-100-pb-0,28828,115428,144256,0.1998,1.278
RPB-OM-A[POPU]-msf-100-pb-1,28817,115439,144256,0.1998,1.278
RPB-OM-A[POPU]-msf-100-pb-2,28805,115451,144256,0.1997,1.278
RPB-OM-A[POPU]-msf-100-pb-4,28863,115393,144256,0.2001,1.278
RPB-OM-A[POPU]-msf-100-pb-8,28766,115490,144256,0.1994,1.279
RPB-OM-A[POPU]-msf-100-pb-16,28644,115612,144256,0.1986,1.280
RPB-OM-B[POPU]-msf-100-pb-0-c-2.0,28723,115533,144256,0.1991,1.279
RPB-OM-B[POPU]-msf-100-pb-1-c-2.0,28661,115595,144256,0.1987,1.280
RPB-OM-B[POPU]-msf-100-pb-4-c-2.0,28679,115577,144256,0.1988,1.280
RPB-OM-B[POPU]-msf-100-pb-16-c-2.0,28649,115607,144256,0.1986,1.280
RPB-OM-B[POPU]-msf-100-pb-4-c-1.5,28733,115523,144256,0.1992,1.279
RPB-OM-B[POPU]-msf-100-pb-4-c-1.2,28854,115402,144256,0.2,1.278
"CombDet[Predict[POPU], LRU]",47863,96393,144256,0.3318,1.067
"CombineRandom[Predict[POPU], LRU]",47604,96652,144256,0.33,1.070
