Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,16938,4022,20960,0.8081,1.000
Rand,12324,8636,20960,0.588,2.147
LRU,13375,7585,20960,0.6381,1.886
Marker,13311,7649,20960,0.6351,1.902
OnlineMin,12878,8082,20960,0.6144,2.009
Predict[POPU],13256,7704,20960,0.6324,1.915
PredMark[POPU],13654,7306,20960,0.6514,1.817
LMarker[POPU],13611,7349,20960,0.6494,1.827
LNonMarker[POPU],13669,7291,20960,0.6521,1.813
FollowerRobust[POPUState],13327,7633,20960,0.6358,1.898
PredictiveOnlineMin[POPU]-msf-100,13788,7172,20960,0.6578,1.783
RPB-OnlineMin[POPU]-msf-100-pb-0,13704,7256,20960,0.6538,1.804
RPB-OnlineMin[POPU]-msf-100-pb-1,13700,7260,20960,0.6536,1.805
RPB-OnlineMin[POPU]-msf-100-pb-2,13758,7202,20960,0.6564,1.791
RPB-OnlineMin[POPU]-msf-100-pb-4,13703,7257,20960,0.6538,1.804
RPB-OnlineMin[POPU]-msf-100-pb-8,13635,7325,20960,0.6505,1.821
RPB-OnlineMin[POPU]-msf-100-pb-16,13748,7212,20960,0.6559,1.793
RPB-OM-A[POPU]-msf-100-pb-0,13725,7235,20960,0.6548,1.799
RPB-OM-A[POPU]-msf-100-pb-1,13732,7228,20960,0.6552,1.797
RPB-OM-A[POPU]-msf-100-pb-2,13719,7241,20960,0.6545,1.800
RPB-OM-A[POPU]-msf-100-pb-4,13781,7179,20960,0.6575,1.785
RPB-OM-A[POPU]-msf-100-pb-8,13739,7221,20960,0.6555,1.795
RPB-OM-A[POPU]-msf-100-pb-16,13704,7256,20960,0.6538,1.804
RPB-OM-B[POPU]-msf-100-pb-0-c-2.0,13743,7217,20960,0.6557,1.794
RPB-OM-B[POPU]-msf-100-pb-1-c-2.0,13724,7236,20960,0.6548,1.799
RPB-OM-B[POPU]-msf-100-pb-4-c-2.0,13729,7231,20960,0.655,1.798
RPB-OM-B[POPU]-msf-100-pb-16-c-2.0,13697,7263,20960,0.6535,1.806
RPB-OM-B[POPU]-msf-100-pb-4-c-1.5,13748,7212,20960,0.6559,1.793
RPB-OM-B[POPU]-msf-100-pb-4-c-1.2,13765,7195,20960,0.6567,1.789
"CombDet[Predict[POPU], LRU]",13677,7283,20960,0.6525,1.811
"CombineRandom[Predict[POPU], LRU]",13247,7713,20960,0.632,1.918
