Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,11039,79393,90432,0.1221,1.000
Rand,3646,86786,90432,0.0403,1.093
LRU,2601,87831,90432,0.0288,1.106
Marker,3649,86783,90432,0.0404,1.093
OnlineMin,3485,86947,90432,0.0385,1.095
Predict[POPU],340,90092,90432,0.0038,1.135
PredMark[POPU],3748,86684,90432,0.0414,1.092
LMarker[POPU],3744,86688,90432,0.0414,1.092
LNonMarker[POPU],3540,86892,90432,0.0391,1.094
FollowerRobust[POPUState],3685,86747,90432,0.0407,1.093
PredictiveOnlineMin[POPU]-msf-100,794,89638,90432,0.0088,1.129
RPB-OnlineMin[POPU]-msf-100-pb-0,822,89610,90432,0.0091,1.129
RPB-OnlineMin[POPU]-msf-100-pb-1,804,89628,90432,0.0089,1.129
RPB-OnlineMin[POPU]-msf-100-pb-2,845,89587,90432,0.0093,1.128
RPB-OnlineMin[POPU]-msf-100-pb-4,827,89605,90432,0.0091,1.129
RPB-OnlineMin[POPU]-msf-100-pb-8,832,89600,90432,0.0092,1.129
RPB-OnlineMin[POPU]-msf-100-pb-16,814,89618,90432,0.009,1.129
RPB-OM-A[POPU]-msf-100-pb-0,824,89608,90432,0.0091,1.129
RPB-OM-A[POPU]-msf-100-pb-1,842,89590,90432,0.0093,1.128
RPB-OM-A[POPU]-msf-100-pb-2,829,89603,90432,0.0092,1.129
RPB-OM-A[POPU]-msf-100-pb-4,821,89611,90432,0.0091,1.129
RPB-OM-A[POPU]-msf-100-pb-8,821,89611,90432,0.0091,1.129
RPB-OM-A[POPU]-msf-100-pb-16,814,89618,90432,0.009,1.129
RPB-OM-B[POPU]-msf-100-pb-0-c-2.0,830,89602,90432,0.0092,1.129
RPB-OM-B[POPU]-msf-100-pb-1-c-2.0,855,89577,90432,0.0095,1.128
RPB-OM-B[POPU]-msf-100-pb-4-c-2.0,833,89599,90432,0.0092,1.129
RPB-OM-B[POPU]-msf-100-pb-16-c-2.0,821,89611,90432,0.0091,1.129
RPB-OM-B[POPU]-msf-100-pb-4-c-1.5,805,89627,90432,0.0089,1.129
RPB-OM-B[POPU]-msf-100-pb-4-c-1.2,835,89597,90432,0.0092,1.129
"CombDet[Predict[POPU], LRU]",2473,87959,90432,0.0273,1.108
"CombineRandom[Predict[POPU], LRU]",488,89944,90432,0.0054,1.133
