Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,24274,73486,97760,0.2483,1.000
Rand,2123,95637,97760,0.0217,1.301
LRU,0,97760,97760,0.0,1.330
Marker,21,97739,97760,0.0002,1.330
OnlineMin,1845,95915,97760,0.0189,1.305
Predict[POPU],463,97297,97760,0.0047,1.324
PredMark[POPU],91,97669,97760,0.0009,1.329
LMarker[POPU],91,97669,97760,0.0009,1.329
LNonMarker[POPU],110,97650,97760,0.0011,1.329
FollowerRobust[POPUState],639,97121,97760,0.0065,1.322
PredictiveOnlineMin[POPU]-msf-100,3368,94392,97760,0.0345,1.284
RPB-OnlineMin[POPU]-msf-100-pb-0,3406,94354,97760,0.0348,1.284
RPB-OnlineMin[POPU]-msf-100-pb-1,3350,94410,97760,0.0343,1.285
RPB-OnlineMin[POPU]-msf-100-pb-2,3383,94377,97760,0.0346,1.284
RPB-OnlineMin[POPU]-msf-100-pb-4,3408,94352,97760,0.0349,1.284
RPB-OnlineMin[POPU]-msf-100-pb-8,3398,94362,97760,0.0348,1.284
RPB-OnlineMin[POPU]-msf-100-pb-16,3361,94399,97760,0.0344,1.285
RPB-OM-A[POPU]-msf-100-pb-0,3344,94416,97760,0.0342,1.285
RPB-OM-A[POPU]-msf-100-pb-1,3371,94389,97760,0.0345,1.284
RPB-OM-A[POPU]-msf-100-pb-2,3374,94386,97760,0.0345,1.284
RPB-OM-A[POPU]-msf-100-pb-4,3390,94370,97760,0.0347,1.284
RPB-OM-A[POPU]-msf-100-pb-8,3386,94374,97760,0.0346,1.284
RPB-OM-A[POPU]-msf-100-pb-16,3395,94365,97760,0.0347,1.284
RPB-OM-B[POPU]-msf-100-pb-0-c-2.0,3406,94354,97760,0.0348,1.284
RPB-OM-B[POPU]-msf-100-pb-1-c-2.0,3390,94370,97760,0.0347,1.284
RPB-OM-B[POPU]-msf-100-pb-4-c-2.0,3366,94394,97760,0.0344,1.285
RPB-OM-B[POPU]-msf-100-pb-16-c-2.0,3358,94402,97760,0.0343,1.285
RPB-OM-B[POPU]-msf-100-pb-4-c-1.5,3372,94388,97760,0.0345,1.284
RPB-OM-B[POPU]-msf-100-pb-4-c-1.2,3373,94387,97760,0.0345,1.284
"CombDet[Predict[POPU], LRU]",463,97297,97760,0.0047,1.324
"CombineRandom[Predict[POPU], LRU]",463,97297,97760,0.0047,1.324
