Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,27637,61867,89504,0.3088,1.000
Rand,8733,80771,89504,0.0976,1.306
LRU,8493,81011,89504,0.0949,1.309
Marker,8380,81124,89504,0.0936,1.311
OnlineMin,8724,80780,89504,0.0975,1.306
Predict[POPU],9701,79803,89504,0.1084,1.290
PredMark[POPU],9862,79642,89504,0.1102,1.287
LMarker[POPU],9865,79639,89504,0.1102,1.287
LNonMarker[POPU],10176,79328,89504,0.1137,1.282
FollowerRobust[POPUState],10570,78934,89504,0.1181,1.276
PredictiveOnlineMin[POPU]-msf-100,16068,73436,89504,0.1795,1.187
RPB-OnlineMin[POPU]-msf-100-pb-0,16075,73429,89504,0.1796,1.187
RPB-OnlineMin[POPU]-msf-100-pb-1,16072,73432,89504,0.1796,1.187
RPB-OnlineMin[POPU]-msf-100-pb-2,16068,73436,89504,0.1795,1.187
RPB-OnlineMin[POPU]-msf-100-pb-4,16070,73434,89504,0.1795,1.187
RPB-OnlineMin[POPU]-msf-100-pb-8,16063,73441,89504,0.1795,1.187
RPB-OnlineMin[POPU]-msf-100-pb-16,16087,73417,89504,0.1797,1.187
RPB-OM-A[POPU]-msf-100-pb-0,16059,73445,89504,0.1794,1.187
RPB-OM-A[POPU]-msf-100-pb-1,16088,73416,89504,0.1797,1.187
RPB-OM-A[POPU]-msf-100-pb-2,16095,73409,89504,0.1798,1.187
RPB-OM-A[POPU]-msf-100-pb-4,16058,73446,89504,0.1794,1.187
RPB-OM-A[POPU]-msf-100-pb-8,16021,73483,89504,0.179,1.188
RPB-OM-A[POPU]-msf-100-pb-16,16118,73386,89504,0.1801,1.186
RPB-OM-B[POPU]-msf-100-pb-0-c-2.0,16084,73420,89504,0.1797,1.187
RPB-OM-B[POPU]-msf-100-pb-1-c-2.0,16036,73468,89504,0.1792,1.188
RPB-OM-B[POPU]-msf-100-pb-4-c-2.0,16083,73421,89504,0.1797,1.187
RPB-OM-B[POPU]-msf-100-pb-16-c-2.0,16078,73426,89504,0.1796,1.187
RPB-OM-B[POPU]-msf-100-pb-4-c-1.5,15990,73514,89504,0.1787,1.188
RPB-OM-B[POPU]-msf-100-pb-4-c-1.2,16042,73462,89504,0.1792,1.187
"CombDet[Predict[POPU], LRU]",9323,80181,89504,0.1042,1.296
"CombineRandom[Predict[POPU], LRU]",9883,79621,89504,0.1104,1.287
