Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,29461,39979,69440,0.4243,1.000
Rand,12290,57150,69440,0.177,1.430
LRU,14191,55249,69440,0.2044,1.382
Marker,14120,55320,69440,0.2033,1.384
OnlineMin,10939,58501,69440,0.1575,1.463
Predict[POPU],11670,57770,69440,0.1681,1.445
PredMark[POPU],15409,54031,69440,0.2219,1.351
LMarker[POPU],15344,54096,69440,0.221,1.353
LNonMarker[POPU],15526,53914,69440,0.2236,1.349
FollowerRobust[POPUState],14495,54945,69440,0.2087,1.374
PredictiveOnlineMin[POPU]-msf-100,13979,55461,69440,0.2013,1.387
RPB-OnlineMin[POPU]-msf-100-pb-0,14078,55362,69440,0.2027,1.385
RPB-OnlineMin[POPU]-msf-100-pb-1,14071,55369,69440,0.2026,1.385
RPB-OnlineMin[POPU]-msf-100-pb-2,13975,55465,69440,0.2013,1.387
RPB-OnlineMin[POPU]-msf-100-pb-4,13929,55511,69440,0.2006,1.389
RPB-OnlineMin[POPU]-msf-100-pb-8,13936,55504,69440,0.2007,1.388
RPB-OnlineMin[POPU]-msf-100-pb-16,14031,55409,69440,0.2021,1.386
RPB-OM-A[POPU]-msf-100-pb-0,13928,55512,69440,0.2006,1.389
RPB-OM-A[POPU]-msf-100-pb-1,13996,55444,69440,0.2016,1.387
RPB-OM-A[POPU]-msf-100-pb-2,14008,55432,69440,0.2017,1.387
RPB-OM-A[POPU]-msf-100-pb-4,14075,55365,69440,0.2027,1.385
RPB-OM-A[POPU]-msf-100-pb-8,14079,55361,69440,0.2028,1.385
RPB-OM-A[POPU]-msf-100-pb-16,14034,55406,69440,0.2021,1.386
RPB-OM-B[POPU]-msf-100-pb-0-c-2.0,14051,55389,69440,0.2023,1.385
RPB-OM-B[POPU]-msf-100-pb-1-c-2.0,13997,55443,69440,0.2016,1.387
RPB-OM-B[POPU]-msf-100-pb-4-c-2.0,14044,55396,69440,0.2022,1.386
RPB-OM-B[POPU]-msf-100-pb-16-c-2.0,14023,55417,69440,0.2019,1.386
RPB-OM-B[POPU]-msf-100-pb-4-c-1.5,14049,55391,69440,0.2023,1.386
RPB-OM-B[POPU]-msf-100-pb-4-c-1.2,14048,55392,69440,0.2023,1.386
"CombDet[Predict[POPU], LRU]",13706,55734,69440,0.1974,1.394
"CombineRandom[Predict[POPU], LRU]",12270,57170,69440,0.1767,1.430
