Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,30706,10382,41088,0.7473,1.000
Rand,22869,18219,41088,0.5566,1.755
LRU,5236,35852,41088,0.1274,3.453
Marker,17353,23735,41088,0.4223,2.286
OnlineMin,20025,21063,41088,0.4874,2.029
Predict[PLECO],27297,13791,41088,0.6644,1.328
PredMark[PLECO],25554,15534,41088,0.6219,1.496
LMarker[PLECO],25309,15779,41088,0.616,1.520
LNonMarker[PLECO],24181,16907,41088,0.5885,1.628
FollowerRobust[PLECOState],21611,19477,41088,0.526,1.876
PredictiveOnlineMin[PLECO]-msf-100,29536,11552,41088,0.7188,1.113
RPB-OnlineMin[PLECO]-msf-100-pb-0,29509,11579,41088,0.7182,1.115
RPB-OnlineMin[PLECO]-msf-100-pb-1,29565,11523,41088,0.7196,1.110
RPB-OnlineMin[PLECO]-msf-100-pb-2,29578,11510,41088,0.7199,1.109
RPB-OnlineMin[PLECO]-msf-100-pb-4,29614,11474,41088,0.7207,1.105
RPB-OnlineMin[PLECO]-msf-100-pb-8,29658,11430,41088,0.7218,1.101
RPB-OnlineMin[PLECO]-msf-100-pb-16,29679,11409,41088,0.7223,1.099
RPB-OM-A[PLECO]-msf-100-pb-0,29559,11529,41088,0.7194,1.110
RPB-OM-A[PLECO]-msf-100-pb-1,29602,11486,41088,0.7205,1.106
RPB-OM-A[PLECO]-msf-100-pb-2,29631,11457,41088,0.7212,1.104
RPB-OM-A[PLECO]-msf-100-pb-4,29641,11447,41088,0.7214,1.103
RPB-OM-A[PLECO]-msf-100-pb-8,29671,11417,41088,0.7221,1.100
RPB-OM-A[PLECO]-msf-100-pb-16,29682,11406,41088,0.7224,1.099
RPB-OM-A-sum[PLECO]-msf-100-pb-0,29592,11496,41088,0.7202,1.107
RPB-OM-A-sum[PLECO]-msf-100-pb-1,29599,11489,41088,0.7204,1.107
RPB-OM-A-sum[PLECO]-msf-100-pb-4,29651,11437,41088,0.7216,1.102
RPB-OM-A-sum[PLECO]-msf-100-pb-16,29682,11406,41088,0.7224,1.099
RPB-OM-A-pr[PLECO]-msf-100-pb-0,29681,11407,41088,0.7224,1.099
RPB-OM-A-pr[PLECO]-msf-100-pb-1,29683,11405,41088,0.7224,1.099
RPB-OM-A-pr[PLECO]-msf-100-pb-4,29683,11405,41088,0.7224,1.099
RPB-OM-A-pr[PLECO]-msf-100-pb-16,29683,11405,41088,0.7224,1.099
RPB-OM-B[PLECO]-msf-100-pb-0-c-2.0,29537,11551,41088,0.7189,1.113
RPB-OM-B[PLECO]-msf-100-pb-1-c-2.0,29598,11490,41088,0.7204,1.107
RPB-OM-B[PLECO]-msf-100-pb-4-c-2.0,29651,11437,41088,0.7216,1.102
RPB-OM-B[PLECO]-msf-100-pb-16-c-2.0,29679,11409,41088,0.7223,1.099
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.5,29670,11418,41088,0.7221,1.100
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.2,29681,11407,41088,0.7224,1.099
"CombDet[Predict[PLECO], LRU]",27290,13798,41088,0.6642,1.329
"CombineRandom[Predict[PLECO], LRU]",27156,13932,41088,0.6609,1.342
