Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,4915,3725,8640,0.5689,1.000
Rand,3317,5323,8640,0.3839,1.429
LRU,3895,4745,8640,0.4508,1.274
Marker,3732,4908,8640,0.4319,1.318
OnlineMin,3189,5451,8640,0.3691,1.463
Predict[PLECO],2484,6156,8640,0.2875,1.653
PredMark[PLECO],3635,5005,8640,0.4207,1.344
LMarker[PLECO],3671,4969,8640,0.4249,1.334
LNonMarker[PLECO],3604,5036,8640,0.4171,1.352
FollowerRobust[PLECOState],3674,4966,8640,0.4252,1.333
PredictiveOnlineMin[PLECO]-msf-100,3502,5138,8640,0.4053,1.379
RPB-OnlineMin[PLECO]-msf-100-pb-0,3480,5160,8640,0.4028,1.385
RPB-OnlineMin[PLECO]-msf-100-pb-1,3468,5172,8640,0.4014,1.388
RPB-OnlineMin[PLECO]-msf-100-pb-2,3502,5138,8640,0.4053,1.379
RPB-OnlineMin[PLECO]-msf-100-pb-4,3463,5177,8640,0.4008,1.390
RPB-OnlineMin[PLECO]-msf-100-pb-8,3444,5196,8640,0.3986,1.395
RPB-OnlineMin[PLECO]-msf-100-pb-16,3371,5269,8640,0.3902,1.414
RPB-OM-A[PLECO]-msf-100-pb-0,3495,5145,8640,0.4045,1.381
RPB-OM-A[PLECO]-msf-100-pb-1,3512,5128,8640,0.4065,1.377
RPB-OM-A[PLECO]-msf-100-pb-2,3477,5163,8640,0.4024,1.386
RPB-OM-A[PLECO]-msf-100-pb-4,3449,5191,8640,0.3992,1.394
RPB-OM-A[PLECO]-msf-100-pb-8,3431,5209,8640,0.3971,1.398
RPB-OM-A[PLECO]-msf-100-pb-16,3356,5284,8640,0.3884,1.419
RPB-OM-A-sum[PLECO]-msf-100-pb-0,3473,5167,8640,0.402,1.387
RPB-OM-A-sum[PLECO]-msf-100-pb-1,3503,5137,8640,0.4054,1.379
RPB-OM-A-sum[PLECO]-msf-100-pb-4,3454,5186,8640,0.3998,1.392
RPB-OM-A-sum[PLECO]-msf-100-pb-16,3373,5267,8640,0.3904,1.414
RPB-OM-A-pr[PLECO]-msf-100-pb-0,3491,5149,8640,0.4041,1.382
RPB-OM-A-pr[PLECO]-msf-100-pb-1,3450,5190,8640,0.3993,1.393
RPB-OM-A-pr[PLECO]-msf-100-pb-4,3447,5193,8640,0.399,1.394
RPB-OM-A-pr[PLECO]-msf-100-pb-16,3349,5291,8640,0.3876,1.420
RPB-OM-B[PLECO]-msf-100-pb-0-c-2.0,3505,5135,8640,0.4057,1.379
RPB-OM-B[PLECO]-msf-100-pb-1-c-2.0,3465,5175,8640,0.401,1.389
RPB-OM-B[PLECO]-msf-100-pb-4-c-2.0,3493,5147,8640,0.4043,1.382
RPB-OM-B[PLECO]-msf-100-pb-16-c-2.0,3362,5278,8640,0.3891,1.417
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.5,3458,5182,8640,0.4002,1.391
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.2,3432,5208,8640,0.3972,1.398
"CombDet[Predict[PLECO], LRU]",3764,4876,8640,0.4356,1.309
"CombineRandom[Predict[PLECO], LRU]",2594,6046,8640,0.3002,1.623
