experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_0,100,locpc,True,[],"['7', '23', '26', '47', '77']",331
100_0,100,ldecc,True,"['7', '47']","['7', '23', '26', '47', '77']",2530
100_0,100,pc,True,"['13', '7', '77', '26', '47']","['7', '23', '26', '47', '77']",19229
100_0,100,CMB,True,['26'],"['7', '23', '26', '47', '77']",13422
100_0,100,MBbyMB,True,"['6', '47', '80', '98', '7', '34', '77']","['7', '23', '26', '47', '77']",5920
100_1,100,locpc,True,['36'],['36'],1345
100_1,100,ldecc,True,"['37', '93']",['36'],12321
100_1,100,pc,True,['36'],['36'],16538
100_1,100,CMB,True,['36'],['36'],9238
100_1,100,MBbyMB,True,['36'],['36'],2793
100_2,100,locpc,True,"['72', '46', '86']",['72'],874
100_2,100,ldecc,True,"['46', '86']",['72'],4622
100_2,100,pc,True,"['86', '46']",['72'],17537
100_2,100,CMB,True,['72'],['72'],344
100_2,100,MBbyMB,True,"['64', '72']",['72'],1031
100_3,100,locpc,True,"['18', '50', '57', '82', '58', '12', '70']","['12', '18', '36', '50', '57', '58']",2357
100_3,100,ldecc,True,"['58', '57', '70', '12', '18']","['12', '18', '36', '50', '57', '58']",1112
100_3,100,pc,True,"['82', '18', '58', '70', '57', '50', '12']","['12', '18', '36', '50', '57', '58']",18299
100_3,100,CMB,True,"['18', '57', '70', '58', '12', '50', '82']","['12', '18', '36', '50', '57', '58']",2506
100_3,100,MBbyMB,True,"['18', '57', '75', '80', '90', '14', '58', '12', '50']","['12', '18', '36', '50', '57', '58']",15590
100_4,100,locpc,True,"['9', '93', '52', '12']","['9', '12', '36', '52', '93']",4042
100_4,100,ldecc,True,"['9', '52', '46', '74', '21']","['9', '12', '36', '52', '93']",5996
100_4,100,pc,True,"['12', '9', '52', '93']","['9', '12', '36', '52', '93']",21003
100_4,100,CMB,True,"['46', '52', '9', '93', '12']","['9', '12', '36', '52', '93']",2767
100_4,100,MBbyMB,True,"['52', '81', '9', '33', '45', '93', '12', '75', '13', '97']","['9', '12', '36', '52', '93']",11447
100_5,100,locpc,True,"['86', '48']","['48', '86']",557
100_5,100,ldecc,False,,"['48', '86']",12669
100_5,100,pc,True,"['86', '48']","['48', '86']",18615
100_5,100,CMB,True,"['86', '48', '83']","['48', '86']",2120
100_5,100,MBbyMB,True,"['86', '48']","['48', '86']",2337
100_6,100,locpc,True,['43'],"['35', '43']",1985
100_6,100,ldecc,True,['43'],"['35', '43']",668
100_6,100,pc,True,['43'],"['35', '43']",15221
100_6,100,CMB,True,['43'],"['35', '43']",1217
100_6,100,MBbyMB,True,['13'],"['35', '43']",3161
100_7,100,locpc,True,"['70', '96']","['70', '96']",462
100_7,100,ldecc,True,"['70', '96']","['70', '96']",2103
100_7,100,pc,True,"['96', '70']","['70', '96']",20645
100_7,100,CMB,True,['96'],"['70', '96']",8128
100_7,100,MBbyMB,True,"['6', '70', '98']","['70', '96']",1953
100_8,100,locpc,True,"['89', '47']","['47', '89']",887
100_8,100,ldecc,True,"['6', '13', '28']","['47', '89']",1221
100_8,100,pc,True,"['47', '89']","['47', '89']",16532
100_8,100,CMB,True,"['47', '89']","['47', '89']",984
100_8,100,MBbyMB,True,"['47', '89']","['47', '89']",3091
100_9,100,locpc,True,"['90', '91', '50', '84', '40', '5']","['5', '40', '50', '84', '90', '91']",2830
100_9,100,ldecc,True,"['50', '88', '84', '91', '40']","['5', '40', '50', '84', '90', '91']",470
100_9,100,pc,True,"['5', '91', '90', '50', '84', '40']","['5', '40', '50', '84', '90', '91']",21546
100_9,100,CMB,True,"['40', '50', '91', '84', '5', '90']","['5', '40', '50', '84', '90', '91']",2130
100_9,100,MBbyMB,True,"['35', '40', '50', '91', '84', '57', '45', '54', '5', '46', '90', '33']","['5', '40', '50', '84', '90', '91']",10221
100_10,100,locpc,True,"['14', '13']","['13', '14']",477
100_10,100,ldecc,True,['13'],"['13', '14']",276
100_10,100,pc,True,"['14', '13']","['13', '14']",15487
100_10,100,CMB,True,"['14', '79', '13']","['13', '14']",1932
100_10,100,MBbyMB,True,"['14', '13']","['13', '14']",1676
100_11,100,locpc,True,"['31', '50', '15', '16']","['15', '16', '31']",1542
100_11,100,ldecc,True,"['16', '15', '31']","['15', '16', '31']",693
100_11,100,pc,True,"['16', '15', '31', '42', '50']","['15', '16', '31']",16121
100_11,100,CMB,True,['15'],"['15', '16', '31']",1549
100_11,100,MBbyMB,True,"['16', '44', '86', '31', '15', '95', '42']","['15', '16', '31']",5300
100_12,100,locpc,True,"['89', '53']","['53', '89']",460
100_12,100,ldecc,True,"['53', '89']","['53', '89']",315
100_12,100,pc,True,"['53', '89']","['53', '89']",16004
100_12,100,CMB,True,"['53', '89']","['53', '89']",141
100_12,100,MBbyMB,True,"['1', '53', '56', '89', '82']","['53', '89']",1716
100_13,100,locpc,True,"['44', '76']","['38', '44', '76']",735
100_13,100,ldecc,True,"['38', '76', '44']","['38', '44', '76']",626
100_13,100,pc,True,"['76', '44']","['38', '44', '76']",15485
100_13,100,CMB,True,"['38', '44', '76']","['38', '44', '76']",789
100_13,100,MBbyMB,True,"['44', '76']","['38', '44', '76']",2386
100_14,100,locpc,True,"['3', '0']","['0', '3']",398
100_14,100,ldecc,True,['3'],"['0', '3']",307
100_14,100,pc,True,"['3', '0']","['0', '3']",16259
100_14,100,CMB,True,"['0', '3']","['0', '3']",126
100_14,100,MBbyMB,True,"['0', '3', '11', '63']","['0', '3']",1393
100_15,100,locpc,True,"['54', '46']","['46', '54']",825
100_15,100,ldecc,True,"['73', '46', '25', '55']","['46', '54']",1765
100_15,100,pc,True,"['54', '46']","['46', '54']",18945
100_15,100,CMB,True,"['46', '64', '54']","['46', '54']",1393
100_15,100,MBbyMB,True,"['46', '53', '70', '76', '61', '54']","['46', '54']",4105
100_16,100,locpc,True,"['79', '60', '7', '61', '95', '48']","['48', '79']",2554
100_16,100,ldecc,True,['60'],"['48', '79']",1852
100_16,100,pc,True,"['95', '61', '60', '79', '48', '7']","['48', '79']",17468
100_16,100,CMB,True,['77'],"['48', '79']",1910
100_16,100,MBbyMB,True,"['11', '48', '79', '60', '30', '65']","['48', '79']",7011
100_17,100,locpc,True,"['74', '82', '34']","['74', '82']",945
100_17,100,ldecc,True,"['74', '82']","['74', '82']",336
100_17,100,pc,True,"['74', '82', '34']","['74', '82']",21388
100_17,100,CMB,True,['74'],"['74', '82']",2736
100_17,100,MBbyMB,True,"['0', '39', '74', '17', '82', '86', '34']","['74', '82']",6313
100_18,100,locpc,True,"['27', '56', '85']","['27', '85']",1337
100_18,100,ldecc,True,"['84', '85', '56', '77']","['27', '85']",912
100_18,100,pc,True,"['85', '27', '56']","['27', '85']",16876
100_18,100,CMB,True,"['27', '66', '85', '86']","['27', '85']",736
100_18,100,MBbyMB,True,"['64', '27', '85']","['27', '85']",2009
100_19,100,locpc,True,"['73', '7']","['7', '73']",908
100_19,100,ldecc,True,"['7', '73']","['7', '73']",358
100_19,100,pc,True,"['73', '7']","['7', '73']",16802
100_19,100,CMB,True,"['73', '7', '71']","['7', '73']",2846
100_19,100,MBbyMB,True,"['68', '73', '7', '35']","['7', '73']",4177
100_20,100,locpc,True,"['47', '25', '69', '60', '9']","['25', '60', '69']",5352
100_20,100,ldecc,True,"['9', '12', '2', '60']","['25', '60', '69']",3445
100_20,100,pc,True,"['47', '9', '69', '25', '60']","['25', '60', '69']",21170
100_20,100,CMB,True,"['60', '25', '69']","['25', '60', '69']",182
100_20,100,MBbyMB,True,"['7', '24', '60', '25', '63', '78']","['25', '60', '69']",4998
100_21,100,locpc,True,"['94', '59', '0', '82']","['0', '59', '94']",931
100_21,100,ldecc,True,"['58', '71', '0']","['0', '59', '94']",5420
