experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,False,,['4'],178
10_0,10,ldecc,True,[],['4'],271
10_0,10,pc,True,[],['4'],448
10_0,10,CMB,False,,['4'],2725
10_0,10,MBbyMB,True,"['3', '4']",['4'],624
10_1,10,locpc,True,"['2', '9', '0']","['0', '2']",162
10_1,10,ldecc,False,,"['0', '2']",234
10_1,10,pc,True,"['9', '2', '0']","['0', '2']",319
10_1,10,CMB,True,['2'],"['0', '2']",1192
10_1,10,MBbyMB,True,['4'],"['0', '2']",1630
10_2,10,locpc,False,,['3'],810
10_2,10,ldecc,False,,['3'],564
10_2,10,pc,False,,['3'],1114
10_2,10,CMB,False,,['3'],6744
10_2,10,MBbyMB,False,,['3'],5587
10_3,10,locpc,True,"['4', '3', '5', '8']","['4', '8']",231
10_3,10,ldecc,True,[],"['4', '8']",315
10_3,10,pc,True,"['4', '3', '5', '8']","['4', '8']",607
10_3,10,CMB,True,['8'],"['4', '8']",2973
10_3,10,MBbyMB,True,[],"['4', '8']",2039
10_4,10,locpc,False,,"['3', '4', '6']",224
10_4,10,ldecc,True,['3'],"['3', '4', '6']",205
10_4,10,pc,True,"['3', '4', '9']","['3', '4', '6']",366
10_4,10,CMB,True,['4'],"['3', '4', '6']",761
10_4,10,MBbyMB,True,"['3', '4', '9']","['3', '4', '6']",1673
10_5,10,locpc,True,"['8', '2', '7', '0']","['0', '3', '7']",304
10_5,10,ldecc,True,"['3', '7', '0']","['0', '3', '7']",168
10_5,10,pc,True,"['3', '8', '7', '2', '0']","['0', '3', '7']",509
10_5,10,CMB,True,"['0', '7', '3', '2']","['0', '3', '7']",690
10_5,10,MBbyMB,True,"['7', '8', '2']","['0', '3', '7']",3067
10_6,10,locpc,True,"['8', '2']","['2', '7', '8']",623
10_6,10,ldecc,False,,"['2', '7', '8']",296
10_6,10,pc,True,"['2', '8']","['2', '7', '8']",879
10_6,10,CMB,True,"['2', '8', '7']","['2', '7', '8']",391
