experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,True,"['5', '7']","['5', '7']",232
10_0,10,pc,True,"['5', '7']","['5', '7']",367
10_1,10,locpc,True,"['0', '8']","['0', '8']",120
10_1,10,pc,True,"['0', '8']","['0', '8']",272
10_2,10,locpc,True,"['0', '7', '1']","['1', '7']",90
10_2,10,pc,True,"['1', '7', '0']","['1', '7']",213
10_3,10,locpc,True,"['7', '1']","['1', '7']",111
10_3,10,pc,True,"['1', '7']","['1', '7']",357
10_4,10,locpc,True,[],['9'],709
10_4,10,pc,True,[],['9'],1069
10_5,10,locpc,True,"['9', '8', '4', '7']","['4', '7', '8', '9']",290
10_5,10,pc,True,"['4', '9', '8', '7']","['4', '7', '8', '9']",553
10_6,10,locpc,True,"['3', '9', '1']","['1', '3', '9']",173
10_6,10,pc,True,"['9', '1', '3']","['1', '3', '9']",322
10_7,10,locpc,True,"['4', '6']","['4', '6']",77
10_7,10,pc,True,"['4', '6']","['4', '6']",204
10_8,10,locpc,True,"['9', '6', '4']","['4', '6', '9']",127
10_8,10,pc,True,"['4', '9', '6']","['4', '6', '9']",277
10_9,10,locpc,True,"['2', '4', '1']","['1', '2', '4']",157
10_9,10,pc,True,"['1', '2', '4']","['1', '2', '4']",423
10_10,10,locpc,False,,"['2', '9']",39
10_10,10,pc,True,"['2', '9']","['2', '9']",229
10_11,10,locpc,True,[],['2'],93
10_11,10,pc,True,['2'],['2'],185
10_12,10,locpc,True,"['5', '7']","['5', '7']",70
10_12,10,pc,True,"['7', '5']","['5', '7']",252
10_13,10,locpc,True,"['5', '0']","['0', '5']",96
10_13,10,pc,True,"['5', '0']","['0', '5']",312
10_14,10,locpc,True,"['3', '5']","['3', '5']",194
10_14,10,pc,True,"['3', '5']","['3', '5']",290
10_15,10,locpc,True,"['0', '6']","['0', '6']",132
10_15,10,pc,True,"['0', '6']","['0', '6']",217
10_16,10,locpc,True,[],"['3', '4', '8']",44
10_16,10,pc,True,"['3', '4']","['3', '4', '8']",646
10_17,10,locpc,True,"['7', '9']","['7', '9']",55
10_17,10,pc,True,"['9', '7']","['7', '9']",185
10_18,10,locpc,True,"['1', '0', '4']","['0', '1', '4']",57
10_18,10,pc,True,"['0', '4', '1']","['0', '1', '4']",149
10_19,10,locpc,True,"['8', '9']","['8', '9']",135
10_19,10,pc,True,"['9', '8']","['8', '9']",451
10_20,10,locpc,True,"['0', '5', '8', '2']","['0', '2', '5']",125
10_20,10,pc,True,"['0', '5', '8', '2']","['0', '2', '5']",189
10_21,10,locpc,True,"['8', '6', '3']","['3', '6', '8']",112
10_21,10,pc,True,"['3', '8', '6']","['3', '6', '8']",290
10_22,10,locpc,True,"['8', '0']","['0', '8']",179
10_22,10,pc,True,"['8', '0']","['0', '8']",276
10_23,10,locpc,True,"['4', '1']","['1', '4']",209
10_23,10,pc,True,"['4', '1']","['1', '4']",324
10_24,10,locpc,True,"['6', '0', '4']","['0', '4', '6']",90
10_24,10,pc,True,"['0', '4', '6']","['0', '4', '6']",170
10_25,10,locpc,True,"['7', '5']","['5', '7']",58
10_25,10,pc,True,"['5', '7']","['5', '7']",193
10_26,10,locpc,True,[],"['0', '7', '8']",320
10_26,10,pc,True,"['0', '8', '7']","['0', '7', '8']",460
10_27,10,locpc,True,"['0', '8', '6']","['6', '8']",84
10_27,10,pc,True,"['0', '8', '6']","['6', '8']",194
10_28,10,locpc,True,"['5', '8']","['5', '8']",77
10_28,10,pc,True,"['5', '8']","['5', '8']",156
10_29,10,locpc,True,"['5', '1']","['1', '5']",60
10_29,10,pc,True,"['5', '1']","['1', '5']",168
10_30,10,locpc,True,"['0', '8']","['0', '8']",192
10_30,10,pc,True,"['0', '8']","['0', '8']",294
10_31,10,locpc,True,"['0', '1']","['0', '1']",287
10_31,10,pc,True,"['1', '0']","['0', '1']",646
10_32,10,locpc,True,"['0', '4']","['0', '4']",112
10_32,10,pc,True,"['0', '4']","['0', '4']",189
