"Elevation","TSeason","PSeason","swe","scd","awc","clay","sand","coarse","bulk_density","aspect","slope","tri","dist2fw","dist2cst","dr","As","Cd","Co","Cr","Hg","Mn","Ni","Pb","Sb","Zn","copper","erosion","pH_H2O","OC","CaCO3","P","N","K","parmado_bin"
NA,0.00192251770051017,0,2.0077354067045e-06,2.64989870809344e-27,0,3.43741857728741e-90,4.07147099278894e-41,0,4.43872333826838e-153,0.000363978590797082,0,0,1.82162667295031e-152,0,3.98297530247947e-65,0,0.0316580639942887,0,1.29335605250847e-87,0.000927701315475474,0,1.04325888389718e-132,7.0709354079233e-67,0,7.38082984282073e-199,3.11581243715947e-110,4.59197389894476e-08,9.91857713365319e-66,0.0270359755904517,3.22764518892636e-170,0,0.98602217951972,1.44184639814635e-46,0
0.00192251770050949,NA,1.82020186680488e-204,0,0,8.12766527293271e-290,6.05584027033299e-206,0.000693213734000742,1.51339078387199e-95,3.42696276294313e-45,3.03044990366966e-09,3.4123486283755e-66,5.41518344745343e-124,0.000350560169351586,0,0,0,1.17728649359029e-210,1.77067038186364e-36,1.47508871967685e-71,4.76909581195198e-31,7.69419658545982e-212,7.3793107953845e-91,0,0,6.25679516780697e-272,4.02241829791295e-173,0.0130530445364464,2.54683628348904e-79,0.466443683016827,5.9450955618699e-44,1.17707778585274e-96,1.2841821295523e-94,2.40826620325812e-170,0
0,1.82020186679619e-204,NA,1.82288224474048e-31,1.44174279702835e-64,1.58952237133293e-36,9.54933754598904e-06,7.21800706507045e-40,3.61448670382317e-77,0.00493623512458018,0.215385385754574,2.97736508151118e-103,2.57335746254164e-142,5.32818887910472e-59,1.310134076318e-18,0.00231962805352131,3.05094971271788e-27,9.86363046506693e-148,6.4343502183499e-08,1.06065016898641e-26,1.21823306346431e-130,0.000317989186895505,6.03302503513449e-16,4.37719416602651e-302,7.04625122874733e-16,2.71404020690951e-76,9.68518644605426e-18,8.02168397658551e-08,7.30816355524643e-59,5.50709126975301e-116,6.09035895767229e-71,5.42187639746184e-320,6.86662328374624e-185,0.0443743283077446,6.01428630674974e-97
2.00773540670365e-06,0,1.8228822447283e-31,NA,0,0,0,9.03407370084725e-26,6.86266745834384e-24,2.55678442107258e-14,3.54699197921995e-05,5.42617842062891e-06,1.60814822894624e-08,8.54351850132909e-20,9.14661960361877e-65,0,0,0.00150736380042459,0,0,1.75422611718658e-249,0,0,0,0,0,0,3.28562980625732e-21,0,0,0,4.2978796524917e-11,7.06895014734519e-120,0,0
2.649898708094e-27,0,1.44174279701239e-64,0,NA,0,0,1.75535253142927e-33,6.92019338166439e-41,4.57075226120259e-06,3.26886877334806e-06,0.00603801235963309,0.137025029396545,3.20114306221525e-13,5.3218692906276e-54,0,0,0.474520603429201,0,0,6.23003048144611e-173,0,0,0,0,0,0,8.34292384322789e-21,0,0,0,2.23588024252408e-09,2.15480019795034e-79,0,0
0,8.12766527293271e-290,1.58952237133332e-36,0,0,NA,0,0,0,0,0.0882560284414711,0,0,7.78947033385959e-109,2.34070305198295e-09,4.14120804102807e-245,0,1.06063640423245e-116,0,0,3.99198238440807e-86,0,0,0,0,0,0,7.88570824271965e-08,0,4.60697940061364e-39,0,1.06948059991055e-133,2.34239616145509e-256,0,0
3.4374185772842e-90,6.05584027030199e-206,9.54933754597387e-06,0,0,0,NA,0,3.09541252674524e-128,0,0.120981028336167,1.33300250738339e-35,5.82702922136307e-44,3.02895712762466e-14,1.57120272531371e-18,6.79652078982234e-170,0,8.08034311405863e-21,0,0,1.55172600928119e-23,0,0,0,0,0,0,4.74667950396438e-14,0,1.40166997066278e-145,0,6.22986187369366e-77,0.803346458091009,0,0
4.07147099278865e-41,0.000693213734000714,7.21800706506244e-40,9.03407370084181e-26,1.75535253142798e-33,0,0,NA,1.83230229385572e-12,3.44658288546274e-194,0.00114047005350129,3.8347571185986e-13,6.23835860937973e-38,1.37652760046794e-14,6.18154458171999e-07,1.6872612864129e-51,0,3.27421166139287e-76,0,0,1.49823887960267e-311,0,0,0,3.01609849493026e-298,0,0,0.000194654937210235,1.55141206333895e-209,1.12327261600701e-308,1.1888415493389e-266,5.95738269704924e-05,0,0,3.67182177004527e-317
0,1.51339078387356e-95,3.61448670382102e-77,6.86266745835227e-24,6.92019338166902e-41,0,3.09541252674869e-128,1.83230229385563e-12,NA,2.23505824844978e-163,0.00403251791729661,0,0,6.08839294108576e-84,2.10817759965009e-08,2.51351896908244e-45,0,9.70730736343694e-08,1.76736584447936e-311,6.54458617580811e-155,3.55106087670967e-07,6.15595422291184e-143,1.19297289354194e-151,1.41390081292024e-124,7.96087833951509e-268,2.79873277883704e-220,2.57188547023296e-233,0.184047346201181,9.80165152385639e-26,1.13312782110821e-47,1.98458911087792e-124,5.28844999095812e-96,5.80580230421656e-47,5.51887433354054e-68,5.07650990151607e-265
4.43872333826671e-153,3.42696276294201e-45,0.00493623512458076,2.55678442107297e-14,4.57075226120421e-06,0,0,3.44658288546529e-194,2.23505824845e-163,NA,0.00983914179015651,0,0,8.56622310602333e-136,1.14707442013322e-115,2.75755639171472e-09,4.23857377657707e-181,8.26176241347261e-97,0,0,3.60948854782185e-240,1.20637126708517e-204,1.43209938968827e-301,0,1.26046167952709e-279,0,0,0.0226419520994639,1.94531740572515e-26,0,1.11879854697726e-07,8.65004967730342e-100,0,8.65720614347961e-78,9.62057163615925e-163
0.000363978590797085,3.03044990366976e-09,0.215385385754576,3.54699197922021e-05,3.26886877334821e-06,0.0882560284414727,0.120981028336171,0.00114047005350128,0.00403251791729665,0.00983914179015645,NA,1.21086364068098e-05,2.02307634024682e-08,0.684128948613377,0.136135004169619,0.0546444121467559,0.0104107578695339,0.813434515582767,0.143033213022564,0.645322923897292,0.05293494496125,0.22002374991452,0.00526804368901987,0.160204254317796,0.077830562339587,0.0404839357020811,0.912184840519512,0.00134484741605074,0.139683009626095,0.771533945321181,0.14026513274788,0.00101891005197907,0.269100128868883,0.619212473048566,8.36164629932886e-06
0,3.41234862837864e-66,2.97736508150981e-103,5.42617842062507e-06,0.00603801235963331,0,1.33300250738458e-35,3.83475711859835e-13,0,0,1.21086364068094e-05,NA,0,2.73802689135831e-246,0.00358519176877414,1.3025472908809e-91,0,1.77782714870991e-82,0,5.63565571399709e-268,1.59188774695014e-147,0,0,0,0,0,0,0.00246921453574968,2.85471283190772e-19,1.19275517675783e-187,2.64075683977517e-23,0,2.36370622713339e-166,3.2029524322495e-06,0
0,5.41518344745435e-124,2.57335746254327e-142,1.60814822894497e-08,0.137025029396528,0,5.8270292213693e-44,6.23835860937858e-38,0,0,2.02307634024674e-08,0,NA,0,0.188360960069113,1.92328740182229e-56,0,4.2901592095161e-88,0,2.79413598432393e-266,9.96842498141154e-160,0,1.38139069520714e-300,0,0,0,0,0.000465082010474481,3.47192940926116e-22,7.69726268275787e-162,1.85838120853816e-29,0,1.16382430259097e-142,7.73557558530643e-08,0
1.82162667294826e-152,0.000350560169351622,5.32818887909857e-59,8.54351850133062e-20,3.20114306221639e-13,7.78947033385836e-109,3.02895712762406e-14,1.37652760046801e-14,6.08839294108155e-84,8.56622310602408e-136,0.684128948613381,2.73802689135701e-246,0,NA,0.442563955794325,6.68788027370755e-19,2.35054030940956e-52,6.38132589247431e-14,1.19522659019205e-114,5.29933713387029e-58,1.06630387212442e-39,7.48407997766172e-62,2.02070995336854e-58,1.54900501358642e-41,1.16454874475605e-108,5.36262670828362e-93,1.40150531449161e-108,0.0265564483378271,0.575163667813362,5.51032684585677e-40,6.60182702616264e-16,1.52830346752302e-47,5.22732616694207e-40,0.000559060215213542,1.0706056547925e-37
0,0,1.3101340763185e-18,9.14661960358331e-65,5.32186929060366e-54,2.34070305198087e-09,1.57120272531483e-18,6.18154458172098e-07,2.10817759964901e-08,1.14707442013313e-115,0.136135004169623,0.00358519176877282,0.188360960069163,0.442563955794337,NA,1.23753648361608e-06,2.89167847748733e-05,6.52469638921451e-34,1.60616280672752e-08,7.66043460888591e-06,0.137047009486145,8.69052971670858e-120,0.0216436649878163,0.0786981906846554,1.06635658847823e-24,2.67614737177244e-10,1.56314242813281e-109,0.0156015776614417,0.0850402080036142,1.0777142303936e-124,1.46053377473106e-19,0.00846998990158639,6.1165989154331e-78,2.24176502958553e-13,1.06170979368717e-183
3.9829753024785e-65,0,0.00231962805351943,0,0,4.14120804102216e-245,6.79652078983175e-170,1.68726128641068e-51,2.51351896908156e-45,2.75755639171424e-09,0.0546444121467559,1.3025472908793e-91,1.9232874018212e-56,6.68788027371108e-19,1.23753648361736e-06,NA,0,3.24134116644643e-67,7.55601899249963e-192,5.24388257879787e-213,0.132071684981154,0,6.59899019263209e-199,5.54489459017498e-247,0,1.42217229137858e-293,9.72963565488845e-269,0.0126371488604772,1.99824001425584e-144,1.38340916911839e-27,7.51277164739603e-39,0.0624950077612918,5.49734253676987e-05,1.471396068026e-67,0
0,0,3.05094971271333e-27,0,0,0,0,0,0,4.23857377657923e-181,0.0104107578695337,0,0,2.35054030941039e-52,2.89167847748482e-05,0,NA,0,0,0,1.47252553881018e-30,0,0,0,0,0,0,2.98021144615949e-10,0,7.43568729333294e-15,0,2.02588966001155e-20,6.72068157624877e-50,0,0
0.0316580639942918,1.17728649359392e-210,9.86363046506693e-148,0.00150736380042376,0.474520603429294,1.0606364042328e-116,8.08034311406352e-21,3.27421166139222e-76,9.70730736343632e-08,8.2617624134634e-97,0.813434515582768,1.77782714870809e-82,4.29015920951123e-88,6.38132589247267e-14,6.52469638921792e-34,3.24134116644803e-67,0,NA,2.16998478022039e-32,3.53646590474052e-140,1.66741301880462e-314,3.85059638927442e-87,1.22280843071002e-176,0,0,2.54859412993789e-219,5.88727303598227e-150,0.00291598349378578,6.97826354874834e-05,2.99406964300131e-158,1.35245561132816e-22,8.35964238131461e-49,1.0017143184302e-232,9.28622898150453e-07,0.0258729609091901
0,1.77067038185937e-36,6.4343502183506e-08,0,0,0,0,0,1.76736584447541e-311,0,0.143033213022558,0,0,1.19522659019157e-114,1.6061628067283e-08,7.55601899247422e-192,0,2.16998478022039e-32,NA,0,4.86310484928554e-37,0,0,0,0,0,0,1.95930701898954e-13,0,7.82152256080216e-15,2.11982208810215e-176,2.42364275969615e-206,2.72834490969337e-41,0,0
1.29335605250307e-87,1.47508871967469e-71,1.06065016898711e-26,0,0,0,0,0,6.5445861757933e-155,0,0.645322923897278,5.63565571396626e-268,2.79413598430315e-266,5.29933713386756e-58,7.66043460889173e-06,5.24388257880193e-213,0,3.53646590473988e-140,0,NA,2.71468245582269e-75,0,0,0,0,0,0,3.03020247769464e-10,0,0.257107508840102,2.01058514506361e-173,4.52464615100251e-65,2.60836092602197e-91,0,0
0.000927701315475703,4.76909581195504e-31,1.21823306346769e-130,1.75422611718532e-249,6.23003048144052e-173,3.99198238440387e-86,1.55172600928124e-23,1.49823887960267e-311,3.55106087670907e-07,3.60948854781421e-240,0.0529349449612496,1.5918877469475e-147,9.9684249813934e-160,1.06630387212365e-39,0.137047009486152,0.132071684981151,1.47252553881018e-30,1.66741301880462e-314,4.86310484927946e-37,2.71468245581843e-75,NA,4.1058911545056e-36,9.28243381093955e-37,0,2.21905073370606e-42,7.69271336153607e-269,1.74439104137804e-74,2.97196203374328e-13,0,0,1.54532379648566e-235,3.75504011269339e-66,0,0.260419245594474,6.32383739986625e-180
0,7.69419658544792e-212,0.000317989186894988,0,0,0,0,0,6.15595422291519e-143,1.20637126708661e-204,0.220023749914516,0,0,7.48407997766527e-62,8.69052971665171e-120,0,0,3.85059638927089e-87,0,0,4.10589115450837e-36,NA,0,0,0,0,0,1.77827180932415e-18,0,5.56513436521107e-96,2.1054676049531e-211,3.65482561352155e-56,8.89802172759281e-19,0,0
