env,algorithm,run,trial,mc_mean,mc_stddev
taxi,UCT,0,1000,-60.385,18.6347
taxi,UCT,0,2000,-55.21,16.6427
taxi,UCT,0,3000,-53.75,15.9215
taxi,UCT,0,4000,-49.8,17.1192
taxi,UCT,0,5000,-47.63,18.8747
taxi,UCT,0,6000,-48.955,17.7275
taxi,UCT,0,7000,-46.065,20.0918
taxi,UCT,0,8000,-44.09,21.1318
taxi,UCT,0,9000,-44.47,20.78
taxi,UCT,0,10000,-43.265,21.0045
taxi,UCT,0,11000,-42.35,22.0838
taxi,UCT,0,12000,-44.01,19.1521
taxi,UCT,0,13000,-42.625,20.7159
taxi,UCT,0,14000,-41.81,19.895
taxi,UCT,0,15000,-41.835,20.2094
taxi,UCT,0,16000,-40.59,22.0108
taxi,UCT,0,17000,-41.455,20.7783
taxi,UCT,0,18000,-42.48,20.0997
taxi,UCT,0,19000,-40.705,19.5694
taxi,UCT,0,20000,-42.03,22.4951
taxi,UCT,0,21000,-42.43,18.0742
taxi,UCT,0,22000,-40.39,20.6402
taxi,UCT,0,23000,-39.275,21.7907
taxi,UCT,0,24000,-40.34,19.9697
taxi,UCT,0,25000,-40.88,19.5143
taxi,UCT,0,26000,-42.135,20.2528
taxi,UCT,0,27000,-39.815,21.1831
taxi,UCT,0,28000,-40.89,19.5278
taxi,UCT,0,29000,-40.92,21.0038
taxi,UCT,0,30000,-40.195,19.2807
taxi,UCT,1,1000,-44.295,34.3372
taxi,UCT,1,2000,-39.88,33.4028
taxi,UCT,1,3000,-36.13,33.5392
taxi,UCT,1,4000,-32.175,34.7326
taxi,UCT,1,5000,-32.445,34.0589
taxi,UCT,1,6000,-34.16,33.8798
taxi,UCT,1,7000,-36.475,32.8314
taxi,UCT,1,8000,-32.875,34.2832
taxi,UCT,1,9000,-30.5,33.9765
taxi,UCT,1,10000,-31.47,33.2841
taxi,UCT,1,11000,-28.905,32.0628
taxi,UCT,1,12000,-36.41,30.6275
taxi,UCT,1,13000,-31.395,31.6185
taxi,UCT,1,14000,-27.53,32.9473
taxi,UCT,1,15000,-28.44,32.1
taxi,UCT,1,16000,-30.77,31.936
taxi,UCT,1,17000,-29.005,32.6851
taxi,UCT,1,18000,-26.485,33.7031
taxi,UCT,1,19000,-26.33,32.7733
taxi,UCT,1,20000,-27.3,32.7003
taxi,UCT,1,21000,-27.015,32.4126
taxi,UCT,1,22000,-26.915,32.3802
taxi,UCT,1,23000,-26.68,32.5997
taxi,UCT,1,24000,-31.11,30.9462
taxi,UCT,1,25000,-30.685,30.5513
taxi,UCT,1,26000,-23.985,31.9342
taxi,UCT,1,27000,-28.26,32.3078
taxi,UCT,1,28000,-26.235,31.1196
taxi,UCT,1,29000,-27.285,31.2139
taxi,UCT,1,30000,-27.46,31.8116
taxi,UCT,2,1000,-61.85,16.9459
taxi,UCT,2,2000,-59.01,16.5359
taxi,UCT,2,3000,-38.45,34.4265
taxi,UCT,2,4000,-30.715,35.612
taxi,UCT,2,5000,-30.63,34.8398
taxi,UCT,2,6000,-28.575,34.2966
taxi,UCT,2,7000,-28.415,34.5772
taxi,UCT,2,8000,-25.225,35.1317
taxi,UCT,2,9000,-25.96,34.5796
taxi,UCT,2,10000,-23.18,33.6502
taxi,UCT,2,11000,-23.99,34.1279
taxi,UCT,2,12000,-18.15,32.9613
taxi,UCT,2,13000,-17.8,34.0816
taxi,UCT,2,14000,-20.34,34.2654
taxi,UCT,2,15000,-21.01,33.8519
taxi,UCT,2,16000,-17.44,33.1662
taxi,UCT,2,17000,-17.26,33.4451
taxi,UCT,2,18000,-18.615,34.0171
taxi,UCT,2,19000,-12.515,32.4971
taxi,UCT,2,20000,-21.525,34.1257
taxi,UCT,2,21000,-20.62,33.7559
taxi,UCT,2,22000,-17.555,33.7527
taxi,UCT,2,23000,-17.28,33.1461
taxi,UCT,2,24000,-13.24,32.1907
taxi,UCT,2,25000,-17.65,32.8359
taxi,UCT,2,26000,-15.295,31.9524
taxi,UCT,2,27000,-18.21,33.8484
taxi,UCT,2,28000,-19,32.8008
taxi,UCT,2,29000,-14.765,31.7731
taxi,UCT,2,30000,-14.89,32.3273
taxi,UCT,3,1000,-54.06,19.2755
taxi,UCT,3,2000,-54.215,18.9953
taxi,UCT,3,3000,-51.6,21.9078
taxi,UCT,3,4000,-47.705,25.7668
taxi,UCT,3,5000,-47.715,24.187
taxi,UCT,3,6000,-43.605,28.0998
taxi,UCT,3,7000,-42.64,27.1454
taxi,UCT,3,8000,-45.095,26.8877
taxi,UCT,3,9000,-39.325,27.7519
taxi,UCT,3,10000,-41.235,27.4365
taxi,UCT,3,11000,-39.145,28.2018
taxi,UCT,3,12000,-40.595,26.7497
taxi,UCT,3,13000,-40.31,28.4084
taxi,UCT,3,14000,-43.2,26.6132
taxi,UCT,3,15000,-41.79,26.2752
taxi,UCT,3,16000,-31.24,34.2573
taxi,UCT,3,17000,-31.11,34.5262
taxi,UCT,3,18000,-26.65,35.888
taxi,UCT,3,19000,-30.765,34.1322
taxi,UCT,3,20000,-29.705,35.4426
taxi,UCT,3,21000,-27.84,33.8528
taxi,UCT,3,22000,-29.52,34.4016
taxi,UCT,3,23000,-30.415,33.8228
taxi,UCT,3,24000,-28.235,33.7569
taxi,UCT,3,25000,-26.385,34.7262
taxi,UCT,3,26000,-21.43,34.3465
taxi,UCT,3,27000,-22.385,32.7667
taxi,UCT,3,28000,-24.85,33.8477
taxi,UCT,3,29000,-23.94,34.0407
taxi,UCT,3,30000,-21.375,34.3364
taxi,UCT,4,1000,-34.115,39.4032
taxi,UCT,4,2000,-34.73,38.2298
taxi,UCT,4,3000,-30.655,38.9478
taxi,UCT,4,4000,-32.03,38.1818
taxi,UCT,4,5000,-32.2,38.3368
taxi,UCT,4,6000,-27.85,37.6783
taxi,UCT,4,7000,-32.875,37.5727
taxi,UCT,4,8000,-24.985,37.5389
taxi,UCT,4,9000,-26.73,38.1034
taxi,UCT,4,10000,-27.53,37.503
taxi,UCT,4,11000,-19.955,37.6449
taxi,UCT,4,12000,-21.12,35.3737
taxi,UCT,4,13000,-17.71,36.0108
taxi,UCT,4,14000,-16.92,35.8526
taxi,UCT,4,15000,-19.7,36.753
taxi,UCT,4,16000,-16.19,35.2627
taxi,UCT,4,17000,-23.44,36.6627
taxi,UCT,4,18000,-20.035,36.5013
taxi,UCT,4,19000,-15.63,35.4967
taxi,UCT,4,20000,-18.22,36.3363
taxi,UCT,4,21000,-16.33,34.619
taxi,UCT,4,22000,-15.685,35.4132
taxi,UCT,4,23000,-13.42,35.1786
taxi,UCT,4,24000,-17.52,35.4266
taxi,UCT,4,25000,-15.91,35.1582
taxi,UCT,4,26000,-17.8,34.94
taxi,UCT,4,27000,-14.975,34.7244
taxi,UCT,4,28000,-17.605,34.7569
taxi,UCT,4,29000,-18.095,35.8378
taxi,UCT,4,30000,-15.71,35.2385
taxi,UCT,5,1000,-65.92,19.3714
taxi,UCT,5,2000,-60.855,19.7518
taxi,UCT,5,3000,-58.75,21.0727
taxi,UCT,5,4000,-44,31.8345
taxi,UCT,5,5000,-41.695,33.041
taxi,UCT,5,6000,-38.13,34.4276
taxi,UCT,5,7000,-38.895,33.7085
taxi,UCT,5,8000,-38.665,33.7676
taxi,UCT,5,9000,-42.1,32.3135
taxi,UCT,5,10000,-38.54,32.9429
taxi,UCT,5,11000,-35.735,33.729
taxi,UCT,5,12000,-34.985,33.8173
taxi,UCT,5,13000,-36.32,33.4878
taxi,UCT,5,14000,-28.92,36.1959
taxi,UCT,5,15000,-28.855,34.1703
taxi,UCT,5,16000,-33.64,34.4379
taxi,UCT,5,17000,-27.38,34.555
taxi,UCT,5,18000,-31.53,35.0569
taxi,UCT,5,19000,-31.25,34.1081
taxi,UCT,5,20000,-24.725,34.7794
taxi,UCT,5,21000,-28.39,35.1449
taxi,UCT,5,22000,-30.535,33.3385
taxi,UCT,5,23000,-27.56,34.0245
taxi,UCT,5,24000,-25.745,34.4211
taxi,UCT,5,25000,-27.25,33.3236
taxi,UCT,5,26000,-31.445,32.6147
taxi,UCT,5,27000,-28.02,34.3481
taxi,UCT,5,28000,-25.855,33.7949
taxi,UCT,5,29000,-24.77,33.3874
taxi,UCT,5,30000,-26.63,33.7602
taxi,UCT,6,1000,-63.11,16.2304
taxi,UCT,6,2000,-57.29,17.5535
taxi,UCT,6,3000,-55.94,16.1708
taxi,UCT,6,4000,-53.255,15.1568
taxi,UCT,6,5000,-52.895,15.8242
taxi,UCT,6,6000,-52.22,15.8438
taxi,UCT,6,7000,-51.42,18.4593
taxi,UCT,6,8000,-51.07,17.9845
taxi,UCT,6,9000,-49.93,15.7376
taxi,UCT,6,10000,-49.815,16.2833
taxi,UCT,6,11000,-50.2,16.5927
taxi,UCT,6,12000,-47.185,16.3092
taxi,UCT,6,13000,-46.75,14.6636
taxi,UCT,6,14000,-47.765,16.4035
taxi,UCT,6,15000,-48.325,16.0921
taxi,UCT,6,16000,-46.545,17.4298
taxi,UCT,6,17000,-46.685,16.225
taxi,UCT,6,18000,-45.355,15.0175
taxi,UCT,6,19000,-47.22,16.6293
taxi,UCT,6,20000,-45.875,17.3304
taxi,UCT,6,21000,-45.555,16.7826
taxi,UCT,6,22000,-45.49,16.9282
taxi,UCT,6,23000,-45.14,18.5537
taxi,UCT,6,24000,-44.965,16.6843
taxi,UCT,6,25000,-45.895,15.8312
taxi,UCT,6,26000,-45.31,17.7575
taxi,UCT,6,27000,-44.705,16.8797
taxi,UCT,6,28000,-45.11,16.7973
taxi,UCT,6,29000,-44.12,14.6255
taxi,UCT,6,30000,-43.175,16.2766
taxi,UCT,7,1000,-61.67,15.3466
taxi,UCT,7,2000,-60.005,17.0882
taxi,UCT,7,3000,-56.045,15.8986
taxi,UCT,7,4000,-54.2,15.1783
taxi,UCT,7,5000,-53.66,16.7159
taxi,UCT,7,6000,-51.815,15.4936
taxi,UCT,7,7000,-52.365,15.4605
taxi,UCT,7,8000,-52.04,16.6525
taxi,UCT,7,9000,-50.915,15.2206
taxi,UCT,7,10000,-51.815,15.8571
taxi,UCT,7,11000,-48.755,16.2581
taxi,UCT,7,12000,-50.96,16.2567
taxi,UCT,7,13000,-48.335,16.0352
taxi,UCT,7,14000,-48.53,16.0163
taxi,UCT,7,15000,-47.84,15.2857
taxi,UCT,7,16000,-46.87,14.7717
taxi,UCT,7,17000,-47.45,14.5415
taxi,UCT,7,18000,-47.63,15.1114
taxi,UCT,7,19000,-46.36,15.577
taxi,UCT,7,20000,-47.7,14.5716
taxi,UCT,7,21000,-46.685,15.5853
taxi,UCT,7,22000,-47.065,15.5967
taxi,UCT,7,23000,-46.94,14.8864
taxi,UCT,7,24000,-47.315,15.3749
taxi,UCT,7,25000,-46.865,16.1521
taxi,UCT,7,26000,-48.53,15.1813
taxi,UCT,7,27000,-47.15,15.8823
taxi,UCT,7,28000,-46.1,14.5485
taxi,UCT,7,29000,-48.035,14.4974
taxi,UCT,7,30000,-47.045,14.7291
taxi,UCT,8,1000,-61.38,18.4499
taxi,UCT,8,2000,-59.41,18.009
taxi,UCT,8,3000,-56.955,18.9045
taxi,UCT,8,4000,-57.03,17.4615
taxi,UCT,8,5000,-54.62,17.2074
taxi,UCT,8,6000,-55,17.572
taxi,UCT,8,7000,-51.635,17.9052
taxi,UCT,8,8000,-50.66,18.3857
taxi,UCT,8,9000,-52.205,18.2085
taxi,UCT,8,10000,-51.875,19.2985
taxi,UCT,8,11000,-50.365,18.3169
taxi,UCT,8,12000,-51.025,17.0274
taxi,UCT,8,13000,-49.065,20.3302
taxi,UCT,8,14000,-49.38,20.4499
taxi,UCT,8,15000,-47.56,22.5642
taxi,UCT,8,16000,-46.305,21.8589
taxi,UCT,8,17000,-49.035,20.519
taxi,UCT,8,18000,-45.575,22.6732
taxi,UCT,8,19000,-47.535,20.0103
taxi,UCT,8,20000,-48.065,20.9697
taxi,UCT,8,21000,-46.49,19.9192
taxi,UCT,8,22000,-47.05,19.3104
taxi,UCT,8,23000,-46.7,19.8783
taxi,UCT,8,24000,-47.05,20.8521
taxi,UCT,8,25000,-43.955,22.2668
taxi,UCT,8,26000,-45.9,20.9481
taxi,UCT,8,27000,-44.06,21.6485
taxi,UCT,8,28000,-43.7,22.0361
taxi,UCT,8,29000,-45.895,20.8369
taxi,UCT,8,30000,-44.84,22.8982
taxi,UCT,9,1000,-46.815,32.2121
taxi,UCT,9,2000,-45.255,31.7032
taxi,UCT,9,3000,-43.205,32.4759
taxi,UCT,9,4000,-40.23,33.9738
taxi,UCT,9,5000,-39.45,35.5944
taxi,UCT,9,6000,-36.76,36.0459
taxi,UCT,9,7000,-40.58,33.0389
taxi,UCT,9,8000,-34.515,35.0716
taxi,UCT,9,9000,-35.135,35.5189
taxi,UCT,9,10000,-32.38,34.9109
taxi,UCT,9,11000,-29.995,35.3284
taxi,UCT,9,12000,-29.265,34.3411
taxi,UCT,9,13000,-25.855,35.6914
taxi,UCT,9,14000,-32.765,34.003
taxi,UCT,9,15000,-32.44,33.3368
taxi,UCT,9,16000,-27.695,36.1605
taxi,UCT,9,17000,-30.745,34.4962
taxi,UCT,9,18000,-29.725,34.4767
taxi,UCT,9,19000,-30.07,34.6192
taxi,UCT,9,20000,-28.07,34.6266
