decay_alpha,seed,method,balancedness_est,all_mse,related_mse,outlier_mse,selected_q
0.0,1,DP,1.0,0.36290880153520816,0.04943436190984855,3.1841787581634446,
0.0,1,ITL,1.0,0.2159400788957238,0.11264382864903115,1.1456063311159577,
0.0,1,ARMUL,1.0,0.1754458628748354,0.05313211187862161,1.2762696218407596,0.1
0.0,1,OURS,1.0,0.0683195942397748,0.014693707367808962,0.5509525760874675,1.0
0.0,11,DP,1.0,0.35915173019486285,0.04072667477805112,3.2249772289461682,
0.0,11,ITL,1.0,0.20876452011718113,0.10087415072015486,1.179777844690417,
0.0,11,ARMUL,1.0,0.1752482515683752,0.043384545921298555,1.3620216023920648,0.1
0.0,11,OURS,1.0,0.07088067050049235,0.0173791514813975,0.5523943416723459,1.0
0.0,21,DP,1.0,0.37303128629125143,0.05425887744868123,3.241982965874383,
0.0,21,ITL,1.0,0.21505208572538995,0.11365703258321334,1.1276075640049794,
0.0,21,ARMUL,1.0,0.18167588848720279,0.05579440116363052,1.3146092743993536,0.1
0.0,21,OURS,1.0,0.07150904506931074,0.01821182281659514,0.5511840453437511,1.0
0.0,31,DP,1.0,0.35542013773418935,0.0447581746855947,3.1513778051715406,
0.0,31,ITL,1.0,0.19180595486283322,0.10931288456843515,0.9342435875124165,
0.0,31,ARMUL,1.0,0.15432988242685167,0.04883031749437271,1.1038259668191623,0.1
0.0,31,OURS,1.0,0.06611038807241358,0.017088059216339352,0.5073113477770815,1.0
0.0,41,DP,1.0,0.37030007679100335,0.05156701241649108,3.238897656161614,
0.0,41,ITL,1.0,0.2207612819469561,0.11504490820061104,1.1722086456640615,
0.0,41,ARMUL,1.0,0.19019530200950666,0.056119875691035756,1.3968741388757449,0.1
0.0,41,OURS,1.0,0.07482647692930927,0.023539943118228157,0.5364052812290393,1.0
0.0,51,DP,1.0,0.3578334656849101,0.04577339647647555,3.1663740885608207,
0.0,51,ITL,1.0,0.19892763884599154,0.10399274212806496,1.053341709307331,
0.0,51,ARMUL,1.0,0.16279543917441547,0.04680277738247368,1.2067293953018916,0.1
0.0,51,OURS,1.0,0.0561455428629581,0.01599620487786665,0.4174895847287811,1.0
0.0,61,DP,1.0,0.3409141580535861,0.037473190334245,3.071882867527657,
0.0,61,ITL,1.0,0.22678475565663106,0.10017618552593473,1.3662618868328977,
0.0,61,ARMUL,1.0,0.18618505566149585,0.041615724995850076,1.487309031652308,0.1
0.0,61,OURS,1.0,0.06901866435301136,0.015172813284720553,0.5536313239676285,1.0
0.0,71,DP,1.0,0.36497763098371633,0.05459823786743662,3.158392169030234,
0.0,71,ITL,1.0,0.1975927000809393,0.10732782988267996,1.009976531865273,
0.0,71,ARMUL,1.0,0.16305456702503934,0.05288967486264333,1.1545385964866035,0.1
0.0,71,OURS,1.0,0.05332943182198325,0.01634807699010393,0.38616162530889725,1.0
0.0,81,DP,1.0,0.3563071324312895,0.04386184171708164,3.16831474885916,
0.0,81,ITL,1.0,0.20465708851136755,0.10404373174955858,1.1101772993676484,
0.0,81,ARMUL,1.0,0.17177685801751094,0.04687594734785786,1.295885054044389,0.1
0.0,81,OURS,1.0,0.06557259806102575,0.015278315949452666,0.5182211370651834,1.0
0.0,91,DP,1.0,0.3630557219611615,0.05045472456619985,3.1764646985158165,
0.0,91,ITL,1.0,0.20774400944802368,0.10912243407239126,1.095338187828716,
0.0,91,ARMUL,1.0,0.17051740343115,0.05178293767211116,1.2391275952624994,0.1
0.0,91,OURS,1.0,0.057409449150332116,0.020129605745958932,0.39292803978969076,1.0
