delta,seed,method,balancedness_est,all_mse,related_mse,outlier_mse,selected_q
0.2,1,DP,1.0000000000000007,0.04143711222989199,0.04133806998896544,0.042328492398230944,
0.2,1,ITL,1.0000000000000007,0.0417773485083892,0.04100366477475889,0.04874050211106196,
0.2,1,ARMUL,1.0000000000000007,0.038659597286139796,0.03880819806123136,0.03732219031031578,0.1
0.2,1,OURS,1.0000000000000007,0.006897891718155845,0.0015420840951796183,0.055100160324941895,8.0
0.2,11,DP,1.0000000000000007,0.03602637757460896,0.03169285828683672,0.07502805116455934,
0.2,11,ITL,1.0000000000000007,0.034543536440646276,0.030422807121706592,0.07163010031110341,
0.2,11,ARMUL,1.0000000000000007,0.032153157788325115,0.027343232989771135,0.07544248097531094,0.1
0.2,11,OURS,1.0000000000000007,0.014261458240150574,0.0029225920000782507,0.11631125440080149,16.0
0.2,21,DP,1.0000000000000007,0.05045360074931345,0.0450368926373668,0.0992039737568333,
0.2,21,ITL,1.0000000000000007,0.046193657833762516,0.042269585097835106,0.08151031245710927,
0.2,21,ARMUL,1.0000000000000007,0.047864104363460884,0.04231473861922562,0.09780839606157832,0.1
0.2,21,OURS,1.0000000000000007,0.017681125824876687,0.0030173701980791253,0.14965492646605477,8.0
0.2,31,DP,1.0000000000000007,0.04269960782732147,0.03858370784145137,0.07974270770015236,
0.2,31,ITL,1.0000000000000007,0.04226731579937924,0.04031390002934353,0.059848057729700664,
0.2,31,ARMUL,1.0000000000000007,0.041088797945415305,0.03726901788250946,0.07546681851156792,0.1
0.2,31,OURS,1.0000000000000007,0.014052441079543648,0.0016413985157084723,0.12575182415406022,16.0
0.2,41,DP,1.0000000000000007,0.047846876745318755,0.044063942527715054,0.08189328470375207,
0.2,41,ITL,1.0000000000000007,0.04644867848303322,0.04460166579081643,0.06307179271298428,
0.2,41,ARMUL,1.0000000000000007,0.04566119601679635,0.04174716705474076,0.08088745667529662,0.1
0.2,41,OURS,1.0000000000000007,0.017347227708769133,0.0031733927633757937,0.14491174221730926,16.0
0.2,51,DP,1.0000000000000007,0.043467687223313047,0.034130796950719466,0.12749969967665536,
0.2,51,ITL,1.0000000000000007,0.041770768650759044,0.035394872100056485,0.09915383760708207,
0.2,51,ARMUL,1.0000000000000007,0.04001656802393512,0.030544378071621293,0.12526627759475956,0.1
0.2,51,OURS,1.0000000000000007,0.016193887618152245,0.0005458368095785488,0.1570263448953155,16.0
0.2,61,DP,1.0000000000000007,0.04792410013197244,0.029719519651731658,0.21176532445413954,
0.2,61,ITL,1.0000000000000007,0.04331948902813212,0.033085684856851885,0.13542372656965426,
0.2,61,ARMUL,1.0000000000000007,0.03922043890458194,0.028127598216227324,0.1390560050997735,0.1
0.2,61,OURS,1.0000000000000007,0.013398549468749797,0.001358585391442387,0.12175822616451648,16.0
0.2,71,DP,1.0000000000000007,0.04610986893124578,0.04487841306119652,0.05719297176168914,
0.2,71,ITL,1.0000000000000007,0.04517834654569927,0.040230798637535994,0.08970627771916884,
0.2,71,ARMUL,1.0000000000000007,0.043701181822259336,0.042157767460319864,0.0575919110797146,0.1
0.2,71,OURS,1.0000000000000007,0.012650883545816172,0.0069086813570042,0.06433070324512391,8.0
0.2,81,DP,1.0000000000000007,0.04577520612879023,0.03713001940108933,0.12358188667809815,
0.2,81,ITL,1.0000000000000007,0.04393683479707753,0.03726877894679254,0.10394933744964237,
0.2,81,ARMUL,1.0000000000000007,0.04369499934433227,0.034747484943195954,0.124222628954559,0.1
0.2,81,OURS,1.0000000000000007,0.012201331289005718,0.00032759748344838587,0.11906493553902171,16.0
0.2,91,DP,1.0000000000000007,0.055192126926490045,0.03662051151235652,0.22233666565369178,
0.2,91,ITL,1.0000000000000007,0.04890869457772216,0.03856764862615073,0.14197810814186493,
0.2,91,ARMUL,1.0000000000000007,0.04923165946002253,0.03573800501170272,0.17067454949490088,0.1
0.2,91,OURS,1.0000000000000007,0.02140728555886238,0.0011007342328449902,0.20416624749301884,16.0
0.2,101,DP,1.0000000000000007,0.04237908004948642,0.040961952193088375,0.05513323075706875,
0.2,101,ITL,1.0000000000000007,0.04306438053081885,0.04150391319302814,0.057108586570935184,
0.2,101,ARMUL,1.0000000000000007,0.03955238273536679,0.03773946018626712,0.05586868567726386,0.1
0.2,101,OURS,1.0000000000000007,0.011215057387291416,0.00547581826162774,0.06286820951826451,8.0
0.2,111,DP,1.0000000000000007,0.04878151751658794,0.03874365017024986,0.13912232363363056,
0.2,111,ITL,1.0000000000000007,0.04298909900924266,0.037412607103089614,0.09317752616462026,
0.2,111,ARMUL,1.0000000000000007,0.046181324376584065,0.03721488052181291,0.12687931906952457,0.1
0.2,111,OURS,1.0000000000000007,0.01622486025805923,0.0011184430551092778,0.1521826150846088,16.0
0.2,121,DP,1.0000000000000007,0.04549958422656809,0.040553545773050474,0.09001393030822662,
0.2,121,ITL,1.0000000000000007,0.04590354845661047,0.04373639104226004,0.06540796518576429,
0.2,121,ARMUL,1.0000000000000007,0.04235106435680783,0.038723478317313424,0.0749993387122575,0.1
0.2,121,OURS,1.0000000000000007,0.011267548153168836,0.0016758218012800882,0.09759308532016754,16.0
0.2,131,DP,1.0000000000000007,0.03663906637277698,0.03048437796653765,0.09203126202893096,
0.2,131,ITL,1.0000000000000007,0.032555219698349194,0.028052184377203106,0.07308253758866402,
0.2,131,ARMUL,1.0000000000000007,0.033133420322532595,0.02682271857388346,0.08992973606037478,0.1
0.2,131,OURS,1.0000000000000007,0.019178829828543627,0.00258703638550764,0.16850497081586754,16.0
0.2,141,DP,1.0000000000000007,0.03982666625698507,0.030832913718879005,0.12077043909993974,
0.2,141,ITL,1.0000000000000007,0.040474907502121744,0.03231839144096622,0.11388355205252139,
0.2,141,ARMUL,1.0000000000000007,0.0372231293834162,0.0278415118787883,0.12165768692506741,0.1
0.2,141,OURS,1.0000000000000007,0.016029471996776644,0.0019421700069292389,0.14281518990540332,16.0
0.2,151,DP,1.0000000000000007,0.05459766556397647,0.03722429932620956,0.21095796170387857,
0.2,151,ITL,1.0000000000000007,0.04600490837989952,0.03880213608899431,0.11082985899804637,
0.2,151,ARMUL,1.0000000000000007,0.04486646596892231,0.03481918214429354,0.13529202039058127,0.1
0.2,151,OURS,1.0000000000000007,0.02350295463534602,0.002615039856323046,0.2114941876465528,16.0
0.2,161,DP,1.0000000000000007,0.03861664066062849,0.03624862071709069,0.059928820152468705,
0.2,161,ITL,1.0000000000000007,0.04015607364616861,0.036371754571914695,0.07421494531445384,
0.2,161,ARMUL,1.0000000000000007,0.036587425071877656,0.03384565082458965,0.061263393297469736,0.1
0.2,161,OURS,1.0000000000000007,0.007798900824453842,0.001931599579423253,0.06060461202972913,16.0
0.2,171,DP,1.0000000000000007,0.042265587723247934,0.03860891069864755,0.07517568094465127,
0.2,171,ITL,1.0000000000000007,0.04145929093613244,0.03612502174169668,0.08946771368605407,
0.2,171,ARMUL,1.0000000000000007,0.039981026348958955,0.03600537655664019,0.07576187447982768,0.1
0.2,171,OURS,1.0000000000000007,0.010010820254267623,0.0004915082899005189,0.09568462793357156,16.0
0.2,181,DP,1.0000000000000007,0.04265201449746263,0.03141139305299247,0.1438176074976941,
0.2,181,ITL,1.0000000000000007,0.04018637248671257,0.033478006849749276,0.10056166321938233,
0.2,181,ARMUL,1.0000000000000007,0.038260093570519925,0.029738102325335337,0.11495801477718119,0.1
0.2,181,OURS,1.0000000000000007,0.016779013318599597,0.005934986099631669,0.11437525828931094,8.0
0.2,191,DP,1.0000000000000007,0.0461524282247117,0.03819365649130728,0.11778137382535153,
0.2,191,ITL,1.0000000000000007,0.0473490737538107,0.04120535454494943,0.10264254663356209,
0.2,191,ARMUL,1.0000000000000007,0.04328862379310659,0.035173617113820284,0.11632368390668339,0.1
0.2,191,OURS,1.0000000000000007,0.009409432010743365,0.0014885905631990262,0.0806970050386424,16.0
