epsilon,seed,method,balancedness_est,all_mse,related_mse,outlier_mse,selected_q
0.05,1,DP,1.0000000000000007,0.04558332094688451,0.04328339088148528,0.1122812928434622,
0.05,1,ITL,1.0000000000000007,0.04825647124780426,0.0471638053195557,0.07994378316701221,
0.05,1,ARMUL,1.0000000000000007,0.04369618445003249,0.04177835750677086,0.09931316580461973,0.1
0.05,1,OURS,1.0000000000000007,0.003436237799525349,0.001824715973865076,0.050170370743673275,16.0
0.05,11,DP,1.0000000000000007,0.04368578247911751,0.04118528861575208,0.11620010451671496,
0.05,11,ITL,1.0000000000000007,0.042284629071179455,0.04106944282921337,0.07752503008819622,
0.05,11,ARMUL,1.0000000000000007,0.04146090472171217,0.03895069893961799,0.11425687240244348,0.1
0.05,11,OURS,1.0000000000000007,0.0075077230534587305,0.0017103176514732849,0.17563247971103663,16.0
0.05,21,DP,1.0000000000000007,0.03798803629087632,0.03736816159626075,0.05596440243472764,
0.05,21,ITL,1.0000000000000007,0.03998773146160013,0.03957162123429837,0.052054928053351456,
0.05,21,ARMUL,1.0000000000000007,0.034688795520476955,0.034006703128834026,0.05446947487812195,0.1
0.05,21,OURS,1.0000000000000007,0.004276204753141157,0.00019058633580598032,0.12275913885586125,16.0
0.05,31,DP,1.0000000000000007,0.04453632900600873,0.04443140638504691,0.04757908501390137,
0.05,31,ITL,1.0000000000000007,0.04812186032308257,0.04859079909423158,0.034522635959761405,
0.05,31,ARMUL,1.0000000000000007,0.04252835366394877,0.0425653838843678,0.041454477271796915,0.1
0.05,31,OURS,1.0000000000000007,0.0031412991587982096,0.002130863243266391,0.03244394070922091,16.0
0.05,41,DP,1.0000000000000007,0.049746913124421616,0.03588703702205963,0.4516833200929196,
0.05,41,ITL,1.0000000000000007,0.04780036170142654,0.04308502424329307,0.18454514798729724,
0.05,41,ARMUL,1.0000000000000007,0.041030727600798636,0.03549422778967708,0.2015892221233239,0.1
0.05,41,OURS,1.0000000000000007,0.009119425108619008,0.0007885879674065246,0.2507137022037811,16.0
0.05,51,DP,1.0000000000000007,0.03860777642516053,0.03786474633383655,0.060155649073555986,
0.05,51,ITL,1.0000000000000007,0.043221112304648354,0.042525954623380324,0.0633806850614214,
0.05,51,ARMUL,1.0000000000000007,0.03505061151950548,0.03417044947606365,0.060575310779318485,0.1
0.05,51,OURS,1.0000000000000007,0.005342884507712706,0.0023928747902685742,0.09089316631359252,16.0
0.05,61,DP,1.0000000000000007,0.041331496059124964,0.03615255031208234,0.1915209227233609,
0.05,61,ITL,1.0000000000000007,0.04420894678037571,0.04158925644986956,0.12017996636505403,
0.05,61,ARMUL,1.0000000000000007,0.03792589051139288,0.034653964420793854,0.13281174713876473,0.1
