"model","theta_atlas","se","num_items","time_sec"
"YeungNLP/firefly-zephyr-6x7b",-0.297453760123401,0.111120824555032,30,1.79870557785034
"HanNayeoniee/LHK",-0.336633851080873,0.111933496388007,30,1.68160891532898
"Weyaxi/Einstein-bagel-7B",0.252548670331186,0.0739692474038747,30,1.69411110877991
"ibivibiv/orthorus-125b-v2",0.222229033229448,0.0796961762598198,30,1.73711967468262
"yeontaek/llama-2-13B-ensemble-v3",-0.545104702240092,0.130777566078384,30,1.68139338493347
"AGI-0/ThetaWave-7B-v0.1",0.0137292005264336,0.11188889705248,30,1.68429279327393
"Inv/Dykh-Tau-7B",-0.0557299370361029,0.10734241634631,30,1.73644161224365
"LeroyDyer/Mixtral_AI_SwahiliTron_7b",-0.640980587643601,0.122621035549787,30,1.62887811660767
"ResplendentAI/Paradigm_Shift_7B",0.741446789979244,0.0576995137152688,30,1.67468476295471
"AA051610/C0322-reft",-0.983203840844687,0.13775962894073,30,1.6857442855835
"allknowingroger/ROGERphi-7B-slerp",0.500589484728849,0.0669799943066226,30,1.70209860801697
"nisten/BigCodeLlama-92b",-1.4225404382835,0.142082547081853,30,1.72214269638062
"macadeliccc/Monarch-7B-SFT",-0.064155129394344,0.105802144455315,30,1.69545340538025
"yleo/EmertonMonarch-7B",1.74606506929917,0.11576098748826,30,1.72577118873596
"MSL7/INEX8-7B",2.45922981701301,0.266103242420197,30,1.68561482429504
"kyujinpy/Sakura-SOLAR-Instruct",0.402596870597792,0.0664979365576892,30,1.69316840171814
"azarafrooz/Mistral-7B-Instruct-v0.2-Selfplay-v0",-0.464593101697839,0.110795411292829,30,1.73769760131836
"dillfrescott/amadeus-v0.1",0.739694717797036,0.0591563223044445,30,1.64982390403748
"lodrick-the-lafted/Grafted-Hermetic-Platypus-D-2x7B",-0.623771469700825,0.118133373491011,30,1.67271304130554
"Josephgflowers/Cinder-Phi-2-V1-F16-gguf",-1.23720609611434,0.139876706110198,30,1.71993899345398
"ewqr2130/alignment-handbook-zephyr-7b_ppo_5e7step_102",-0.606931252232722,0.117941104046637,30,1.68187189102173
"kekmodel/StopCarbon-10.7B-v3",0.399089903793756,0.0668497051271294,30,1.69457364082336
"nextai-team/Moe-2x7b-QA-Code",0.238135303967951,0.0777293190261898,30,1.70482587814331
"freeCS-dot-org/ThetaWave-7B-v0.1",0.489179378126755,0.0693110347841474,30,1.73695182800293
"MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1",-0.947813287933444,0.134095853155615,30,1.69678926467896
"Kukedlc/NeuralSynthesis-7b-v0.4-slerp",2.45507097216482,0.267518933332276,30,1.69347262382507
"Muhammad2003/TriMistral-7B-SLERP",0.00213183747723545,0.112047485466216,30,1.67387294769287
"FelixChao/ShadowNeural-7B-ORPO",0.497667619167883,0.0656081797055152,30,1.68580055236816
"LTC-AI-Labs/L2-7b-Hermes-Synthia",-2.06991771694221,0.139954347910645,30,1.68251085281372
"Yuma42/KangalKhan-RawEmerald-7B",0.410085062637443,0.0672517013132568,30,1.66786456108093
"Alsebay/Kilo-2x8B",-1.12157504999923,0.14560527393166,30,1.7624728679657
"Radu1999/MisterUkrainianDPO",0.500257328991858,0.0690207358398819,30,1.67905592918396
"core-3/kuno-royale-v3-7b",1.03280309549649,0.0615321894065565,30,1.6810188293457
"Stopwolf/Bumbar-7B-slerp",0.245056439197563,0.074698457148554,30,1.74188995361328
"raidhon/coven_7b_128k_orpo_alpha",0.262751642708976,0.0767914939036999,30,1.6110200881958
"EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-9984",0.0428196621454122,0.101982230919023,30,1.65880751609802
"rhysjones/Phi-3-mini-mango-1-llamafied",-0.773466342921369,0.136242292341605,30,1.78416228294373
"bartowski/internlm2-chat-7b-sft-llama",-1.09454373768405,0.139991944784583,30,1.68310856819153
"AA051612/A0123",-0.178548156024018,0.108880454443855,30,1.68842649459839
"Test157t/Eris-Floramix-7b",1.49588899334652,0.0693965835643456,30,1.73421573638916
"Replete-AI/Phi-Elothir",-1.04197286526371,0.1506016515253,30,1.69501614570618
"kimwooglae/AISquare-Instruct-SOLAR-10.7b-v0.5.32",-0.520514451996341,0.111515209765143,30,1.6887092590332
"jeiku/Garbage_9B",-0.200954805323869,0.11430735133952,30,1.71091723442078
"adamo1139/yi-34b-200k-rawrr-dpo-1",-0.417962710094338,0.106410143103129,30,1.66132044792175
"SC99/Mistral-7B-summ-lora-tuned-8h",-0.530118388026158,0.11528026712323,30,1.66086912155151
"Artples/M-LChat-7b",0.259058985435669,0.0756120694917236,30,1.72232460975647
"Kukedlc/Neural-4-QA-7b",1.89989137220877,0.143953099692359,30,1.68824315071106
"abhishekchohan/Yi-9B-Forest-DPO-v1.0",-1.13836113427925,0.136644191750862,30,1.68183064460754
"StarFox7/gemma-2b-dpo-v1",-1.64667832150389,0.159270397856015,30,1.73178696632385
"Kquant03/Samlagast-7B-laser-bf16",1.40746701749348,0.0629250655348875,30,1.68594646453857
"Gille/StrangeMerges_2-7B-slerp",0.426771931971921,0.0661293988295571,30,1.69437694549561
"ChavyvAkvar/llama-3-lumimaid-habib-v3",-1.08385715390071,0.141642722395697,30,1.67907738685608
"automerger/ShadowYam-7B",1.98425785499631,0.161918232256593,30,1.73042678833008
"DUAL-GPO-2/phi-2-gpo-renew2-b0.001-extra-v2-i1",-1.19935610050232,0.139776446432436,30,1.67099547386169
"vicgalle/Configurable-Llama-3-8B-v0.2",-0.872299936012471,0.131802309329592,30,1.64345717430115
"TomGrc/FusionNet_34Bx2_MoE",0.217378974048183,0.0780381869513386,30,1.73832726478577
