"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"YeungNLP/firefly-zephyr-6x7b",0.541830913725751,-0.296079996275489,30,839,0.766666666666667,0.533493370353406
"HanNayeoniee/LHK",0.556172587209588,-0.187955566765784,31,839,0.516129032258065,0.557708911718866
"Weyaxi/Einstein-bagel-7B",0.594027225662045,0.2495917565485,30,839,0.666666666666667,0.591333550470279
"ibivibiv/orthorus-125b-v2",0.587610905726481,0.209942437182775,30,839,0.633333333333333,0.585915389251567
"yeontaek/llama-2-13B-ensemble-v3",0.527881505343715,-0.452649593631457,30,839,0.633333333333333,0.523971054367586
"AGI-0/ThetaWave-7B-v0.1",0.577252060655157,0.0866520172401271,30,839,0.833333333333333,0.567755845351888
"Inv/Dykh-Tau-7B",0.565272595466476,-0.0251286684208626,30,839,0.666666666666667,0.561512617548051
"LeroyDyer/Mixtral_AI_SwahiliTron_7b",0.501316438361537,-0.71237464976536,30,839,0.666666666666667,0.495184785890395
"ResplendentAI/Paradigm_Shift_7B",0.63956522635334,0.691042114823907,30,839,0.6,0.64103241645297
"AA051610/C0322-reft",0.46613924895265,-1.12560513342177,30,839,0.633333333333333,0.459939221101697
"allknowingroger/ROGERphi-7B-slerp",0.62035565191614,0.499823467083863,30,839,0.7,0.617402215027987
"nisten/BigCodeLlama-92b",0.431627707787901,-1.54753968821509,30,839,0.533333333333333,0.427856176556303
"macadeliccc/Monarch-7B-SFT",0.558772015331487,-0.0857915226583314,30,839,0.633333333333333,0.556007071524249
"yleo/EmertonMonarch-7B",0.717532530734199,1.74793102525682,30,839,0.8,0.714474404556234
"MSL7/INEX8-7B",0.724370554166675,2.43285350928811,500,839,0.67,0.804563111934631
"kyujinpy/Sakura-SOLAR-Instruct",0.609718220210302,0.421995418211706,30,839,0.666666666666667,0.607606411318224
"azarafrooz/Mistral-7B-Instruct-v0.2-Selfplay-v0",0.519471357780048,-0.521472585176333,30,839,0.733333333333333,0.511540753000569
"dillfrescott/amadeus-v0.1",0.641503126867402,0.735735410394548,30,839,0.533333333333333,0.645514367665946
"lodrick-the-lafted/Grafted-Hermetic-Platypus-D-2x7B",0.508541822988824,-0.63701993435202,30,839,0.666666666666667,0.502678108142921
"Josephgflowers/Cinder-Phi-2-V1-F16-gguf",0.454259037316523,-1.25937299486228,30,839,0.633333333333333,0.447618457736171
"ewqr2130/alignment-handbook-zephyr-7b_ppo_5e7step_102",0.516503468063061,-0.550078899566343,30,839,0.666666666666667,0.510934993454769
"kekmodel/StopCarbon-10.7B-v3",0.601837480103024,0.333056542031521,30,839,0.6,0.601905619043803
"nextai-team/Moe-2x7b-QA-Code",0.590003437325068,0.225993426209052,30,839,0.633333333333333,0.588396642664687
"freeCS-dot-org/ThetaWave-7B-v0.1",0.619080341206197,0.49727662966597,30,839,0.766666666666667,0.613607424316439
"MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1",0.478573999504354,-0.973682513532373,30,839,0.666666666666667,0.471598993305504
"Kukedlc/NeuralSynthesis-7b-v0.4-slerp",0.719602620900483,2.37737699768896,500,839,0.664,0.801612386240428
"Muhammad2003/TriMistral-7B-SLERP",0.567588947607571,-0.00130034911085399,30,839,0.6,0.566387054440979
"FelixChao/ShadowNeural-7B-ORPO",0.618079672448947,0.499086062561936,30,839,0.6,0.61875011765719
"LTC-AI-Labs/L2-7b-Hermes-Synthia",0.397537123775481,-2.05330215978475,30,839,0.3,0.401154075213385
"Yuma42/KangalKhan-RawEmerald-7B",0.613520175967811,0.450767477979042,30,839,0.733333333333333,0.609077166423972
"Alsebay/Kilo-2x8B",0.460766882290184,-1.18578557409248,30,839,0.633333333333333,0.454367631942478
"Radu1999/MisterUkrainianDPO",0.616219356405849,0.494543118792981,30,839,0.633333333333333,0.615584721909156
"core-3/kuno-royale-v3-7b",0.678492161370285,1.08878699653091,30,839,0.7,0.677694590098478
"Stopwolf/Bumbar-7B-slerp",0.592523797914251,0.245460939207048,30,839,0.6,0.592246559270775
"raidhon/coven_7b_128k_orpo_alpha",0.594454415168235,0.252099123646867,30,839,0.666666666666667,0.591776581367304
"EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-9984",0.571673895804087,0.0304150162263454,30,839,0.6,0.570623484029208
"rhysjones/Phi-3-mini-mango-1-llamafied",0.496402919449254,-0.775387449340312,30,839,0.666666666666667,0.490089059849103
"bartowski/internlm2-chat-7b-sft-llama",0.472498926518082,-1.03647178567101,30,839,0.7,0.464062545548419
"AA051612/A0123",0.565461347084252,-0.0366886800569225,30,839,0.7,0.560472274664633
"Test157t/Eris-Floramix-7b",0.707379941239736,1.49750635456711,30,839,0.733333333333333,0.706417516316611
"Replete-AI/Phi-Elothir",0.478058826762453,-1.00664186609118,30,839,0.6,0.473536904392705
"kimwooglae/AISquare-Instruct-SOLAR-10.7b-v0.5.32",0.523286040921717,-0.486991242808022,30,839,0.7,0.51673298928717
"jeiku/Garbage_9B",0.545837782466402,-0.236982154321406,30,839,0.566666666666667,0.545065388738333
"adamo1139/yi-34b-200k-rawrr-dpo-1",0.52798151287955,-0.423055630508382,30,839,0.633333333333333,0.524074770464701
"SC99/Mistral-7B-summ-lora-tuned-8h",0.527401665783769,-0.429871944185686,30,839,0.7,0.521001233118148
"Artples/M-LChat-7b",0.601754820556166,0.308602191451063,30,839,0.7,0.59811161241857
"Kukedlc/Neural-4-QA-7b",0.724528915190041,1.94400225599779,30,839,0.833333333333333,0.720494140722429
"abhishekchohan/Yi-9B-Forest-DPO-v1.0",0.455255204930915,-1.24538459604465,30,839,0.7,0.446179378166919
"StarFox7/gemma-2b-dpo-v1",0.42816392248343,-1.62668419573658,30,839,0.5,0.425500038273916
"Kquant03/Samlagast-7B-laser-bf16",0.704373427273128,1.47020392127197,30,839,0.7,0.70453560628202
"Gille/StrangeMerges_2-7B-slerp",0.614571335158193,0.477695243501807,30,839,0.633333333333333,0.613875587389028
"ChavyvAkvar/llama-3-lumimaid-habib-v3",0.475230162200536,-1.01406774485593,30,839,0.7,0.466895063147403
"automerger/ShadowYam-7B",0.723459652684234,2.00691390625121,30,839,0.766666666666667,0.721857414835689
"DUAL-GPO-2/phi-2-gpo-renew2-b0.001-extra-v2-i1",0.468438593219458,-1.09187219785684,30,839,0.7,0.459851643647868
"vicgalle/Configurable-Llama-3-8B-v0.2",0.482518463104609,-0.914023788171365,30,839,0.733333333333333,0.473217540846436
"TomGrc/FusionNet_34Bx2_MoE",0.58637767703629,0.198469001946118,30,839,0.633333333333333,0.584636428965942
"Kukedlc/NeuralSynthesis-7B-v0.3",0.72475811258355,2.22580785302985,51,839,0.607843137254902,0.732324944743146
"migtissera/Tess-72B-v1.5b",0.580343157777804,0.135215111843875,30,839,0.7,0.575905944840022
"cloudyu/4bit_quant_TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO",0.578162010294335,0.0972942086394076,30,839,0.733333333333333,0.57240782031761
"weezywitasneezy/OxytocinErosEngineeringF1-7B-slerp",0.601531205626896,0.311133757367153,30,839,0.733333333333333,0.59664361127437
"saishf/Merge-Mayhem-L3-V2.1",0.487243157372468,-0.863121719474578,30,839,0.666666666666667,0.480589627979606
"rwitz2/pee",0.643371925335914,0.739768868267532,30,839,0.633333333333333,0.643744184619076
"icefog72/IceLatteRP-7b",0.644822102235453,0.747602302516134,30,839,0.666666666666667,0.644012044221934
"ALBADDAWI/DeepCode-7B-Aurora",0.428349515810097,-1.61898926657469,30,839,0.5,0.425692513924192
"zhengr/MixTAO-7Bx2-MoE-DPO",0.645927161122189,0.748167403178848,30,839,0.733333333333333,0.642685893920292
"liminerity/M7-7b",0.724164776278427,2.27243373120931,76,839,0.618421052631579,0.734697571818611
"uukuguy/zephyr-7b-alpha-dare-0.85",0.536954507883619,-0.337063582907888,30,839,0.6,0.5346166033552
"ABX-AI/Silver-Sun-11B",0.563632689437538,-0.0348677545228548,30,839,0.766666666666667,0.556103617352404
"kyujinpy/PlatYi-34B-Llama",0.52981311628796,-0.427552247744615,30,839,0.633333333333333,0.525974294889492
"migtissera/Tess-XS-v1.0",0.538870570357267,-0.317266601023497,30,839,0.6,0.536603718825399
"openlynn/Llama-3-Soliloquy-Max-70B-v1",0.494050079725387,-0.818791489368783,30,839,0.633333333333333,0.488885064140419
"BFauber/lora_llama2-13b_10e5_r32_a16",0.474204467376266,-1.01443215094644,30,839,0.7,0.46583133266834
"vicgalle/franken-SOLAR-18B-v1.0",0.555081004348354,-0.130448145886642,30,839,0.666666666666667,0.550943093508367
"SUSTech/SUS-Chat-72B",0.537449102509346,-0.332235844235589,30,839,0.633333333333333,0.533893445000422
"Eric111/Yarn-Mistral-7b-128k-DPO",0.522833090513517,-0.4761685429662,30,839,0.666666666666667,0.517499336144426
"ewqr2130/llama_sft_longer",0.411835117473654,-1.91941752612444,30,839,0.566666666666667,0.406093527268721
"jan-hq/komodo-7b-chat",0.401178348828555,-2.06224946350877,30,839,0.433333333333333,0.399985951380912
"shanchen/llama3-slerp-med",0.468303088473203,-1.08999674412497,30,839,0.633333333333333,0.462183301890009
"nbeerbower/slerp-bophades-truthy-math-mistral-7B",0.723252636866177,1.97636372781081,30,839,0.766666666666667,0.721642722287667
"nbeerbower/flammen16-mistral-7B",0.686068960040021,1.23507791238412,30,839,0.533333333333333,0.691732827532235
"budecosystem/code-millenials-34b",0.422401677510881,-1.67582680549144,30,839,0.566666666666667,0.417051925131803
"tyson0420/stack_llama_fil_ai",0.403127633978522,-2.02368068193282,30,839,0.433333333333333,0.402007521517899
"Kabster/BioMistral-Zephyr-Beta-SLERP",0.539242891463969,-0.307878416731449,30,839,0.666666666666667,0.534517658761768
"amu/spin-phi2-2",0.452752438504049,-1.2655269765134,30,839,0.633333333333333,0.446055989993692
"fhai50032/RP-Coder-SM3",0.592925108552874,0.247859646860945,30,839,0.666666666666667,0.590190563752609
"bardsai/jaskier-7b-dpo-v3.3",0.720591343795123,1.79681880325737,30,839,0.833333333333333,0.716410553082952
"andysalerno/mistral-sft-v3",0.532339981724934,-0.359962012123751,30,839,0.6,0.529830957561458
"PulsarAI/Draco-8x7B",0.585271978846437,0.184137849238647,30,839,0.6,0.584725822314167
"freecs/Zero-7B-test-1",0.563928412756667,-0.0279580482058518,30,839,0.7,0.55888249481192
"netcat420/MFANN3bv0.4",0.461744989476853,-1.18845517791751,30,839,0.633333333333333,0.455382010100223
"xDAN2099/xDAN-L2-moe-2x-v1",0.529889366284974,-0.410698118106572,30,839,0.633333333333333,0.526053372451289
"NECOUDBFM/Jellyfish",0.525127358446907,-0.467878460004362,30,839,0.7,0.518642588055569
"FelixChao/Patronum-7B",0.691997822645516,1.25005889044124,30,839,0.666666666666667,0.692937173299862
"karakuri-ai/karakuri-lm-70b-chat-v0.1",0.483278976549451,-0.915294417544488,30,839,0.7,0.475242350216303
"nbeerbower/flammen17-mistral-7B",0.688188827130803,1.24027892656832,30,839,0.6,0.691459117382872
"Lazycuber/L2-7b-Guanaco-Random-Test",0.396711619685582,-2.20630682565072,30,839,0.433333333333333,0.395353583332761
"TeeZee/NEBULA-23B-v1.0",0.559082532464452,-0.0750012888908716,30,839,0.6,0.557565197450773
"Charlie911/llama2-MultiLoRA-sharegpt-mmlu-drop-ffn-1.0general",0.403142698371097,-2.00353112132755,30,839,0.4,0.403259238483746
"Ba2han/BruinsV2-OpHermesNeu-11B",0.626993753891408,0.550657325549242,30,839,0.6,0.627994758362041
"nlpguy/Hermes-low-tune",0.58331621628056,0.16388488565045,30,839,0.566666666666667,0.583933628503572
"CallComply/zephyr-7b-beta-128k",0.519166659722092,-0.521463101710381,30,839,0.666666666666667,0.513696943766174
"Sao10K/14B-Glacier-Stack",0.611300130368743,0.422422342251854,30,839,0.766666666666667,0.60553870133421
"01-ai/Yi-34B-Chat",0.519116082191129,-0.538047940254186,30,839,0.666666666666667,0.513644490677821
"Azazelle/Mocha-Dare-7b-ex",0.548027922578308,-0.229005554898846,30,839,0.633333333333333,0.544864557531768
"NLUHOPOE/test-case-0",0.473028346429116,-1.03089456360418,30,839,0.7,0.464611597841815
"jisukim8873/mistralai-case-0-1",0.532417662964978,-0.396914019746122,30,839,0.633333333333333,0.528675425497672
"Nitral-AI/Lelanta-lake-7b",0.706655488428909,1.49707880345007,30,839,0.733333333333333,0.705666198753838
"Muhammad2003/Myriad-7B-Slerp",0.721987096763548,2.4734244464401,500,839,0.664,0.807513788155212
"openagi-project/OpenAGI-7B-v0.2",0.605074169918951,0.372965771078443,30,839,0.666666666666667,0.60279014655377
"cstr/llama3-8b-spaetzle-v13",0.528619870053085,-0.428856669968477,30,839,0.8,0.51855633000561
"meraGPT/mera-mix-4x7B",0.708970374940998,1.50011546285072,30,839,0.766666666666667,0.706830833838687
"KingNish/KingNish-Llama3-8b",0.647667179777163,0.751835086516876,30,839,0.566666666666667,0.650670907086575
"ALBADDAWI/DeepCode-7B-Aurora-v2",0.423291115112081,-1.658688454438,30,839,0.5,0.420446533472232
"Artples/L-MChat-Small",0.474604235137822,-1.03086342559103,30,839,0.633333333333333,0.468718112831437
"abideen/PhigRange-2.7B-slerp",0.460272685686963,-1.17113389166674,30,839,0.666666666666667,0.452619015193278
"NLUHOPOE/test-case-5",0.456610474467855,-1.24988966287387,30,839,0.566666666666667,0.452529280690396
"abacusai/Llama-3-Smaug-8B",0.465583776269467,-1.13286920730178,30,839,0.633333333333333,0.459363149925937
"cookinai/titanbagel",0.540668361119715,-0.287509683388815,30,839,0.666666666666667,0.535995988849742
"decruz07/kellemar-DPO-7B-v1.01",0.595834198417418,0.259446026107309,30,839,0.733333333333333,0.590735342981723
"pansophic/new_model_test3",0.415876355910141,-1.74973860427348,30,839,0.4,0.416465095931531
"Undi95/Llama-3-8B-Instruct-OAS",0.48563844849635,-0.884683554648432,30,839,0.633333333333333,0.480161505918958
"Weyaxi/Platypus-Nebula-v2-7B",0.547027888461392,-0.240061360587137,30,839,0.6,0.545063533274546
"Nitral-AI/Nyanade_Stunna-Maid-7B",0.596366961864709,0.270371777421182,30,839,0.633333333333333,0.594996144628543
"Q-bert/MetaMath-Cybertron",0.58570794887747,0.194737486806563,30,839,0.566666666666667,0.586414053285782
"MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2",0.561225232892187,-0.102541298632277,30,839,0.666666666666667,0.557315167362849
"Gille/StrangeMerges_22-7B-slerp",0.720255382251337,1.77965877935366,30,839,0.866666666666667,0.714826039195144
"Azure99/blossom-v4-yi-34b",0.532335358206299,-0.375856019757582,30,839,0.666666666666667,0.527353974703443
"Weyaxi/Einstein-v4-Qwen-1.5-32B",0.478605896516384,-0.984543962275377,30,839,0.766666666666667,0.467923791319217
"sr5434/CodegebraGPT-10b",0.476650651713297,-0.983442258335028,30,839,0.7,0.468368228414655
"jingyeom/freeze_KoSoLAR-10.7B-v0.2_1.4_dedup",0.481588014000808,-0.926035549742545,30,839,0.666666666666667,0.474724775953867
"Alsebay/L3-krai-test",0.48980361391362,-0.838022821058031,30,839,0.666666666666667,0.483245033465423
"AA051610/FT",0.513840376273593,-0.570832214950513,30,839,0.633333333333333,0.509409240659511
"fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser",0.599138086240542,0.302615427565814,30,839,0.6,0.599106124049214
"SC99/Mistral-7B-privatemix-ia3",0.721409316931312,1.86181716997914,30,839,0.866666666666667,0.71602276502518
"VAGOsolutions/SauerkrautLM-14b-MoE-LaserChat",0.578735856824131,0.109230096523748,30,839,0.633333333333333,0.576711228523419
"nlpguy/Hermes-low-tune-3.1",0.593546729216336,0.249656230180869,30,839,0.666666666666667,0.590835235862182
"leejaymin/etri-ones-solar",0.521877819750552,-0.502688270646616,30,839,0.6,0.518980829135616
"Weyaxi/Stellaris-internlm2-20b-r512",0.474367490491917,-1.01884535980063,30,839,0.7,0.466000401140567
"frankenmerger/delta-4B-super",0.463466580550504,-1.17099395912454,30,839,0.566666666666667,0.459639630509113
"YeungNLP/firefly-zephyr-6x7b-lora",0.538992096229445,-0.306207054078896,30,839,0.666666666666667,0.534257563333133
"leveldevai/BeagleMist-7B",0.656280832601856,0.860874348594448,30,839,0.6,0.658367884490677
"eren23/slerp-test-turdus-beagle",0.69375392329362,1.25308500250965,30,839,0.7,0.693522301166066
"Changgil/K2S3-Llama2-13b-v1.0",0.446527270214344,-1.3451756625791,30,839,0.633333333333333,0.439599974919449
"Gille/StrangeMerges_4-7B-slerp",0.637706395303539,0.694965411089125,30,839,0.533333333333333,0.641576842595388
"uukuguy/speechless-llama2-13b",0.502445822608891,-0.699901541160562,30,839,0.733333333333333,0.493883863002298
"chlee10/T3Q-platypus-SOLAR-10.7B-v1.0",0.516823973035415,-0.546986508204364,30,839,0.666666666666667,0.511267383654775
"fzzhang/mistralv1_gsm8k_merged_s",0.539278780653012,-0.288168184377244,30,839,0.6,0.537027066709367
"allknowingroger/JaskierMistral-7B-slerp",0.725725200520775,2.27896120151489,82,839,0.634146341463415,0.735645235451691
"upaya07/Birbal-7B-V1",0.543092383380436,-0.263975801344789,30,839,0.6,0.540982088573777
"P0x0/IceMerge-7b-32k",0.570906382094996,0.0247332345768245,30,839,0.7,0.566119226919285
"EleutherAI/llemma_34b",0.461590036137588,-1.1920757008202,30,839,0.666666666666667,0.453985216711293
"Xenon1/MetaModel_moex8",0.612498150334605,0.451282553402358,30,839,0.633333333333333,0.611725523029337
"Antonio88/TaliML-7B-V.1-ENG",0.532977804266607,-0.365030093668351,30,839,0.633333333333333,0.529256338417408
"YeungNLP/firefly-qwen1.5-en-7b",0.442347722707738,-1.42027705432364,30,839,0.566666666666667,0.437737625898384
"snorkelai/Snorkel-Mistral-PairRM-DPO",0.573491125121369,0.0440114158538416,30,839,0.666666666666667,0.570035913444782
"Mihaiii/Metis-0.5",0.557647815302868,-0.111188285112488,30,839,0.6,0.556077276933383
"DreadPoor/NewtoccineLake-slerp-7B",0.62514982952288,0.529691597734738,30,839,0.7,0.622374174251788
"ShenaoZhang/0.001_3iters_bs256_nodpo_only4w_iter_3",0.570882964455889,0.0195303643587158,30,839,0.666666666666667,0.567331034831262
"sarahlintang/mistral-indo-7b",0.51141994529392,-0.605192477448083,30,839,0.633333333333333,0.506899053277625
"OmnicromsBrain/NeuralStar_AlphaWriter_4x7b",0.684186106499399,1.17333283043037,30,839,0.7,0.683599682760193
"Muhammad2003/Llama3-8B-OpenHermes-DPO",0.472874905370001,-1.03023183442863,30,839,0.7,0.464452466755786
"ajibawa-2023/Uncensored-Jordan-13B",0.463702695471249,-1.15704614175471,30,839,0.566666666666667,0.459884501236561
"YeungNLP/firefly-qwen1.5-en-7b-unsloth",0.436501490000511,-1.4654147434913,30,839,0.566666666666667,0.431674598405969
"kaitchup/Mayonnaise-4in1-022",0.702466578286566,1.42011609912837,30,839,0.733333333333333,0.701321952017835
"Sao10K/Venomia-1.1-m7",0.524950334279883,-0.467407407324682,30,839,0.633333333333333,0.520931187219805
"abideen/Mistral-v2-orpo",0.532105357558125,-0.378410413326365,30,839,0.666666666666667,0.527115444983025
"nbeerbower/Flammen-Trismegistus-7B",0.559770301439438,-0.087182506500429,30,839,0.8,0.550861907178849
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v3",0.51553989665547,-0.563352192114167,30,839,0.733333333333333,0.507463502217477
"uukuguy/speechless-mistral-7B-v0.2-mixed-1",0.523339724046308,-0.47049369693116,30,839,0.6,0.520496944962734
"beberik/Nyxene-11B",0.6191166274593,0.500039544635604,30,839,0.633333333333333,0.618589431938631
"Gille/StrangeMerges_36-7B-slerp",0.708743841156487,1.50060460383883,30,839,0.766666666666667,0.706595899543007
"NLUHOPOE/Mistral-7B-length-100000",0.449066483933326,-1.32269204767626,30,839,0.566666666666667,0.444705537725662
"cognitivecomputations/dolphin-2.6-mistral-7b",0.567677987736414,0.00307585850453835,30,839,0.6,0.566479396428741
"Delcos/Velara-11B-V2",0.573739623326068,0.0613927941024839,30,839,0.866666666666667,0.562877063004414
"paulml/DPOB-NMTOB-7B",0.716178723991359,1.72735110757297,30,839,0.8,0.713070394843944
"Deci/DeciLM-7B",0.489084625987979,-0.839401407185015,30,839,0.633333333333333,0.483735477384319
"xriminact/TarsChattyBasev0.0",0.590450130330005,0.235528114613129,30,839,0.566666666666667,0.591332088191439
"automerger/OgnoExperiment27-7B",0.727396075734505,2.29313963749653,164,839,0.609756097560976,0.755978233394445
"LeroyDyer/Mixtral_Uncensored",0.592120963389655,0.232464079135798,30,839,0.633333333333333,0.590592692563561
"alvarobartt/mistral-7b-orpo-alignment-handbook",0.534384276844128,-0.358035935665365,30,839,0.633333333333333,0.530714966961957
"flammenai/flammen23X-mistral-7B",0.638706584920558,0.692659761252118,30,839,0.733333333333333,0.635197558403397
"jondurbin/nontoxic-bagel-34b-v0.2",0.564580484361525,-0.0898986058203606,30,839,0.666666666666667,0.560794841012756
"mahiatlinux/MasherAI-7B-v6.1",0.553251188439317,-0.188307629831043,30,839,0.666666666666667,0.549045422868463
"fhai50032/BeagleLake-7B",0.656416701550335,0.862577990307581,30,839,0.533333333333333,0.660980979728963
"Weyaxi/Instruct-v0.2-Seraph-7B",0.594893281784401,0.254241991745394,30,839,0.7,0.590995628451313
"google/codegemma-7b",0.436824496745246,-1.47260295647411,30,839,0.6,0.430773489207987
"chihoonlee10/T3Q-EN-DPO-Mistral-7B",0.726323112087716,2.24691967963633,56,839,0.678571428571429,0.729738302735113
"itsliupeng/Mixtral-8x7B-v0.1-top3",0.541422614802563,-0.327200525964428,30,839,0.633333333333333,0.538014306327999
"tuantran1632001/Psyfighter2-Orca2-ties",0.535421808098942,-0.342677571169192,30,839,0.7,0.529318784913489
"JCX-kcuf/openchat_3.5-gpt-4-80k",0.559240937303292,-0.0975948018259732,30,839,0.7,0.554021194558049
"xriminact/TarsChattyBasev0.1",0.531882907421209,-0.400359780641276,30,839,0.733333333333333,0.524412557881823
"saucam/Athena-8B",0.473071377525097,-1.033055730221,30,839,0.633333333333333,0.467128412538388
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e1",0.525388058114066,-0.467431050321264,30,839,0.666666666666667,0.520149049144254
"ZoidBB/MultiKory-0.1-4x11b-pre1",0.690615160963554,1.24969666539023,30,839,0.633333333333333,0.692739332569125
"souvik0306/mistral_7b_2epoch_norobots",0.535440752364146,-0.339657412091291,30,839,0.633333333333333,0.531810619571716
"CultriX/MistralTrix-v1",0.67173311980321,1.00306722285638,30,839,0.5,0.678101467879967
"kyujinpy/Sakura-SOLRCA-Math-Instruct-DPO-v1",0.600535773013445,0.325849149076461,30,839,0.633333333333333,0.59931954704361
"dreamgen/opus-v1-34b",0.524261743142225,-0.477090684936215,30,839,0.733333333333333,0.516508779352691
"LeroyDyer/Mixtral_AI_CyberCoder",0.432040040885446,-1.52073790226552,30,839,0.5,0.429519894070321
"Nekochu/Luminia-13B-v3",0.419452773384679,-1.7128656588052,30,839,0.466666666666667,0.417701949159142
"TeeZee/DarkSapling-7B-v1.0",0.540479223802389,-0.288372792820659,30,839,0.633333333333333,0.537035931730784
"Weyaxi/OpenHermes-2.5-neural-chat-v3-2-Slerp",0.616004300199998,0.490722396813591,30,839,0.566666666666667,0.617833878699379
"abacusai/MetaMath-Bagel-DPO-34B",0.541907882875068,-0.292168090577509,30,839,0.666666666666667,0.53728147556512
"TeeZee/DarkSapling-7B-v1.1",0.563907441180168,-0.0279463484544514,30,839,0.6,0.56256902737968
