"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"0-hero/Matter-0.1-Slim-7B-B",0.54123792130875,-0.28044242203182,30,839,0.666666666666667,0.536586669935774,0.537914691943128,844,0.00332322936562202,0.00332322936562202,1.10438534165325e-05
"01-ai/Yi-34B-Chat",0.519389250056395,-0.536247351962516,30,839,0.733333333333333,0.511455600491119,0.604265402843602,844,-0.0848761527872069,0.0848761527872069,0.0072039613119573
"01-ai/Yi-9B",0.469222929817907,-1.07427879059655,30,839,0.666666666666667,0.461901159601018,0.542654028436019,844,-0.073431098618112,0.073431098618112,0.00539212624426289
"01-ai/Yi-9B-200K",0.455444040239779,-1.22816327930854,30,839,0.6,0.450083497850648,0.496445497630332,844,-0.041001457390553,0.041001457390553,0.00168111950814933
"922CA/Silicon-Monika-7b",0.569745918362233,0.019542313974568,30,839,0.6,0.568624011750202,0.566350710900474,844,0.00339520746175903,0.00339520746175903,1.15274337083842e-05
"AA051610/C0322-reft",0.478153232733073,-0.983203840844687,30,839,0.7,0.46992652937336,0.588862559241706,844,-0.110709326508633,0.110709326508633,0.0122565549759951
"AA051610/FT",0.515676433535358,-0.555827510467763,30,839,0.633333333333333,0.511313384099092,0.561611374407583,844,-0.045934940872225,0.045934940872225,0.00211001879293481
"AA051611/A0118",0.502514266741514,-0.68516231023363,30,839,0.6,0.498899221008813,0.528436018957346,844,-0.025921752215832,0.025921752215832,0.000671937237938993
"AA051612/A0123",0.552712457038051,-0.178548156024018,30,839,0.733333333333333,0.546014525902256,0.624407582938389,844,-0.071695125900338,0.071695125900338,0.00514019107786532
"AA051615/A0305a",0.48409667998274,-0.916301238014137,30,839,0.666666666666667,0.477326470340567,0.537914691943128,844,-0.053818011960388,0.053818011960388,0.00289637841136847
"AA051615/A0306",0.51818831080283,-0.543600180821787,30,839,0.666666666666667,0.512682314911711,0.601895734597156,844,-0.0837074237943259,0.0837074237943259,0.00700693279828288
"abacusai/Llama-3-Giraffe-70B-Instruct",0.527716321631339,-0.462934730442718,30,839,0.766666666666667,0.518855369405059,0.643364928909953,844,-0.115648607278614,0.115648607278614,0.0133746003654831
"abacusai/Llama-3-Smaug-8B",0.46922165388654,-1.08396139745524,30,839,0.666666666666667,0.46189983635452,0.516587677725118,844,-0.047366023838578,0.047366023838578,0.00224354021427674
"abacusai/MetaMath-Bagel-DPO-34B",0.540124031532389,-0.293712206861364,30,839,0.666666666666667,0.535431473987237,0.633886255924171,844,-0.0937622243917821,0.0937622243917821,0.00879135472289489
"abacusai/Smaug-34B-v0.1",0.564796991300196,-0.0335585591965344,30,839,0.733333333333333,0.558547188752614,0.707345971563981,844,-0.142548980263785,0.142548980263785,0.020320211774245
"abhishekchohan/Yi-9B-Forest-DPO-v1.0",0.464328336265362,-1.13836113427925,30,839,0.733333333333333,0.454352872838861,0.527251184834123,844,-0.062922848568761,0.062922848568761,0.00395928487200723
"abideen/AlphaMonarch-laser",0.719572214522025,1.79745646397176,30,839,0.833333333333333,0.715353631624201,0.716824644549763,844,0.002747569972262,0.002747569972262,7.5491407524758e-06
"abideen/Mistral-v2-orpo",0.535393709266199,-0.348800920184925,30,839,0.7,0.529289644096837,0.537914691943128,844,-0.00252098267692902,0.00252098267692902,6.3553536573762e-06
"abideen/PhigRange-2.7B-slerp",0.46136370868645,-1.15862291706167,30,839,0.666666666666667,0.45375049640041,0.550947867298578,844,-0.089584158612128,0.089584158612128,0.00802532147424291
"aboros98/lilo2",0.439797126990771,-1.47311808713089,30,839,0.633333333333333,0.432620259017623,0.41824644549763,844,0.021550681493141,0.021550681493141,0.000464431872818809
"ABX-AI/Silver-Sun-11B",0.56194910877044,-0.0519297597599206,30,839,0.766666666666667,0.554357604769344,0.649289099526066,844,-0.0873399907556259,0.0873399907556259,0.00762827398519282
"adamo1139/LWM-7B-1M-1000000ctx-AEZAKMI-3_1-1702",0.411709312891317,-1.83460295658753,30,839,0.433333333333333,0.410907433270476,0.399289099526066,844,0.012420213365251,0.012420213365251,0.00015426170003836
"adamo1139/yi-34b-200k-rawrr-dpo-1",0.528392899601025,-0.417962710094338,30,839,0.633333333333333,0.524501412565216,0.591232227488152,844,-0.062839327887127,0.062839327887127,0.00394878112930586
"AGI-0/ThetaWave-7B-v0.1",0.57010185604225,0.0137292005264336,30,839,0.8,0.561576584943693,0.619668246445498,844,-0.049566390403248,0.049566390403248,0.00245682705760719
"ajibawa-2023/Uncensored-Jordan-13B",0.460115158422263,-1.17906292800744,30,839,0.6,0.454927834259924,0.488151658767773,844,-0.02803650034551,0.02803650034551,0.000786045351623781
"AlanRobotics/nanit_v3",0.464964841724541,-1.13004269082307,30,839,0.666666666666667,0.457485169600606,0.517772511848341,844,-0.0528076701238001,0.0528076701238001,0.00278865002390409
"ALBADDAWI/DeepCode-7B-Aurora",0.436194786109565,-1.49221380663286,30,839,0.6,0.430120427127225,0.438388625592417,844,-0.00219383948285196,0.00219383948285196,4.81293167652014e-06
"ALBADDAWI/DeepCode-7B-Aurora-v2",0.427505620772168,-1.60775195625507,30,839,0.5,0.424817324879913,0.462085308056872,844,-0.034579687284704,0.034579687284704,0.00119575477270792
"alignment-handbook/zephyr-7b-dpo-full",0.563036016497352,-0.0507988341977726,30,839,0.766666666666667,0.555484818097996,0.566350710900474,844,-0.00331469440312193,0.00331469440312193,1.09871989860879e-05
"allknowingroger/JaskierMistral-7B-slerp",0.728524849383745,2.42259179984644,30,839,0.6,0.73329091301973,0.709715639810427,844,0.018809209573318,0.018809209573318,0.000353786364772997
"allknowingroger/JupiterINEX12-12B-MoE",0.690236066882884,1.24863600467087,30,839,0.6,0.693582274554684,0.706161137440758,844,-0.0159250705578741,0.0159250705578741,0.000253607872273267
"allknowingroger/LimyQstar-7B-slerp",0.598983348322629,0.295089963687874,30,839,0.566666666666667,0.600181741956349,0.638625592417062,844,-0.039642244094433,0.039642244094433,0.0015715075168426
"allknowingroger/mergekit-slerp-zplzqvn",0.729348681976344,2.44988622581235,30,839,0.7,0.730437013817247,0.716824644549763,844,0.0125240374265809,0.0125240374265809,0.0001568515134624
"allknowingroger/NeuralCeptrix-7B-slerp",0.716305671923158,1.72363535023577,30,839,0.733333333333333,0.71567423824911,0.697867298578199,844,0.018438373344959,0.018438373344959,0.000339973611608095
"allknowingroger/ROGERphi-7B-slerp",0.621533459968346,0.500589484728849,30,839,0.766666666666667,0.616151511635899,0.632701421800948,844,-0.011167961832602,0.011167961832602,0.000124723371494456
"allknowingroger/Synthiallamaguanco-7B-slerp",0.417572028398214,-1.82450768319376,30,839,0.6,0.410807085075527,0.444312796208531,844,-0.026740767810317,0.026740767810317,0.000715068663085285
"Alsebay/Kilo-2x8B",0.465803539341125,-1.12157504999923,30,839,0.633333333333333,0.459591062431649,0.535545023696682,844,-0.069741484355557,0.069741484355557,0.0048638746401164
"Alsebay/L3-krai-test",0.481858344098982,-0.935905169843437,30,839,0.7,0.47376903671081,0.536729857819905,844,-0.054871513720923,0.054871513720923,0.00301088301802544
